Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-74d9,checkpoint-9nfr,checkpoint-33a1,randomiser-pv2z,Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: item,Spreadsheet: nsl_id_gloss,Spreadsheet: norsk_video,Spreadsheet: picture_name,Spreadsheet: trial_number,Manipulation: Spreadsheet,Store: progress
11,1696327076115,03/10/2023 09:57:56,1696334276115,2,03/10/2023 13:57:56,142915,11,task-qcg3,,32000805,BLIND,9462565,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.6,810x1080,1080x707,Accepted,,0,familiarity ratings,27,Not on phone,Accepted,,list1,survey_list,2,trial,Screen 1,9lhd9n,1,response,yes,5549,9480,9496,5549,9480,9496,1,5549,3947,0,,Rating Scale,Use,7,object-12,trial,flower,blomst,Blomst.mp4,Flower 1.jpg,2,,9
12,1696327076116,03/10/2023 09:57:56,1696334276116,2,03/10/2023 13:57:56,142915,11,task-qcg3,,32000805,BLIND,9462565,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.6,810x1080,1080x707,Accepted,,0,familiarity ratings,27,Not on phone,Accepted,,list1,survey_list,2,trial,Screen 1,9lhd9n,1,response,4,8281,9480,9496,8281,9480,9496,1,8281,1215,0,,Rating Scale,Similarity,9,object-14,trial,flower,blomst,Blomst.mp4,Flower 1.jpg,2,,10
13,1696327076423,03/10/2023 09:57:56,1696334276423,2,03/10/2023 13:57:56,142915,11,task-qcg3,,32000805,BLIND,9462565,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.6,810x1080,1080x707,Accepted,,0,familiarity ratings,27,Not on phone,Accepted,,list1,survey_list,3,trial,Screen 1,9lhd9n,1,info,Video start,141.1313750523139,129,141.1313750523139,141.1313750523139,129,141.1313750523139,1,141.1313750523139,0,0,,Video,Video,2,object-8,trial,book,bok,Bok.mp4,Book 1.jpg,3,,11
14,1696327081945,03/10/2023 09:58:01,1696334281945,2,03/10/2023 13:58:01,142915,11,task-qcg3,,32000805,BLIND,9462565,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.6,810x1080,1080x707,Accepted,,0,familiarity ratings,27,Not on phone,Accepted,,list1,survey_list,3,trial,Screen 1,9lhd9n,1,continue,,5887.000000000015,5881,5887.000000000015,5887.000000000015,5881,5887.000000000015,1,5887.000000000015,0,0,,Click To Continue,Continue Button,10,object-24,trial,book,bok,Bok.mp4,Book 1.jpg,3,,12
15,1696327081946,03/10/2023 09:58:01,1696334281946,2,03/10/2023 13:58:01,142915,11,task-qcg3,,32000805,BLIND,9462565,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.6,810x1080,1080x707,Accepted,,0,familiarity ratings,27,Not on phone,Accepted,,list1,survey_list,3,trial,Screen 1,9lhd9n,1,response,7,3066,5881,5889,3066,5881,5889,1,3066,2823,0,,Rating Scale,Familiarity,5,object-10,trial,book,bok,Bok.mp4,Book 1.jpg,3,,13
16,1696327081946,03/10/2023 09:58:01,1696334281946,2,03/10/2023 13:58:01,142915,11,task-qcg3,,32000805,BLIND,9462565,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.6,810x1080,1080x707,Accepted,,0,familiarity ratings,27,Not on phone,Accepted,,list1,survey_list,3,trial,Screen 1,9lhd9n,1,response,yes,4054,5881,5890.000000000015,4054,5881,5890.000000000015,1,4054,1836.0000000000146,0,,Rating Scale,Use,7,object-12,trial,book,bok,Bok.mp4,Book 1.jpg,3,,14
17,1696327081947,03/10/2023 09:58:01,1696334281947,2,03/10/2023 13:58:01,142915,11,task-qcg3,,32000805,BLIND,9462565,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.6,810x1080,1080x707,Accepted,,0,familiarity ratings,27,Not on phone,Accepted,,list1,survey_list,3,trial,Screen 1,9lhd9n,1,response,7,5131,5881,5890.000000000015,5131,5881,5890.000000000015,1,5131,759.0000000000146,0,,Rating Scale,Similarity,9,object-14,trial,book,bok,Bok.mp4,Book 1.jpg,3,,15
18,1696327082268,03/10/2023 09:58:02,1696334282268,2,03/10/2023 13:58:02,142915,11,task-qcg3,,32000805,BLIND,9462565,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.6,810x1080,1080x707,Accepted,,0,familiarity ratings,27,Not on phone,Accepted,,list1,survey_list,4,trial,Screen 1,9lhd9n,1,info,Video start,-78,-156,-78,-78,-156,-78,1,-78,0,0,,Video,Video,2,object-8,trial,magazine,dagbladet,Dagbladet.mp4,Magazine 1.jpg,4,,16
19,1696327095651,03/10/2023 09:58:15,1696334295651,2,03/10/2023 13:58:15,142915,11,task-qcg3,,32000805,BLIND,9462565,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.6,810x1080,1080x707,Accepted,,0,familiarity ratings,27,Not on phone,Accepted,,list1,survey_list,4,trial,Screen 1,9lhd9n,1,continue,,13696,13680,13696,13696,13680,13696,1,13696,0,0,,Click To Continue,Continue Button,10,object-24,trial,magazine,dagbladet,Dagbladet.mp4,Magazine 1.jpg,4,,17
20,1696327095667,03/10/2023 09:58:15,1696334295667,2,03/10/2023 13:58:15,142915,11,task-qcg3,,32000805,BLIND,9462565,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.6,810x1080,1080x707,Accepted,,0,familiarity ratings,27,Not on phone,Accepted,,list1,survey_list,4,trial,Screen 1,9lhd9n,1,response,5,7165,13680,13696,7165,13680,13696,1,7165,6531,0,,Rating Scale,Familiarity,5,object-10,trial,magazine,dagbladet,Dagbladet.mp4,Magazine 1.jpg,4,,18
