Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-74d9,checkpoint-9nfr,checkpoint-33a1,randomiser-pv2z,Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: item,Spreadsheet: nsl_id_gloss,Spreadsheet: norsk_video,Spreadsheet: picture_name,Spreadsheet: trial_number,Manipulation: Spreadsheet,Store: progress
1,1696510461611,05/10/2023 12:54:21,1696517661611,2,05/10/2023 16:54:21,142915,11,task-qcg3,,32050536,wh8dvie9,9479027,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 117.0.0.0,1920x1200,1920x1075,Accepted,,0,familiarity ratings,27,Not on phone,Accepted,,list2,survey_list,,,,,,5,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,
2,1696510474508,05/10/2023 12:54:34,1696517674508,2,05/10/2023 16:54:34,142915,11,task-qcg3,,32050536,wh8dvie9,9479027,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 117.0.0.0,1920x1200,1920x1075,Accepted,,0,familiarity ratings,27,Not on phone,Accepted,,list2,survey_list,1,Instructions,Screen 1,apt9h7,1,continue,,12764.894000000746,12748.991999999998,12764.894000000746,12764.894000000746,12748.991999999998,12764.894000000746,1,12764.894000000746,0,0,,Click To Continue,Continue Button,2,object-4,Instructions,,,,,,,
3,1696510474886,05/10/2023 12:54:34,1696517674886,2,05/10/2023 16:54:34,142915,11,task-qcg3,,32050536,wh8dvie9,9479027,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 117.0.0.0,1920x1200,1920x1075,Accepted,,0,familiarity ratings,27,Not on phone,Accepted,,list2,survey_list,1,trial,Screen 1,9lhd9n,1,info,Video start,139.7869999977656,135.66500000000815,139.7869999977656,139.7869999977656,135.66500000000815,139.7869999977656,1,139.7869999977656,0,0,,Video,Video,2,object-8,trial,children,barn,Barn.mp4,Children 1.jpg,1,,1
4,1696510513735,05/10/2023 12:55:13,1696517713735,2,05/10/2023 16:55:13,142915,11,task-qcg3,,32050536,wh8dvie9,9479027,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 117.0.0.0,1920x1200,1920x1075,Accepted,,0,familiarity ratings,27,Not on phone,Accepted,,list2,survey_list,1,trial,Screen 1,9lhd9n,1,continue,,39231.683000000005,39215.116,39231.683000000005,39231.683000000005,39215.116,39231.683000000005,1,39231.683000000005,0,0,,Click To Continue,Continue Button,10,object-24,trial,children,barn,Barn.mp4,Children 1.jpg,1,,2
5,1696510513740,05/10/2023 12:55:13,1696517713740,2,05/10/2023 16:55:13,142915,11,task-qcg3,,32050536,wh8dvie9,9479027,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 117.0.0.0,1920x1200,1920x1075,Accepted,,0,familiarity ratings,27,Not on phone,Accepted,,list2,survey_list,1,trial,Screen 1,9lhd9n,1,response,5,13049.301000000001,39215.116,39231.683000000005,13049.301000000001,39215.116,39231.683000000005,1,13049.301000000001,26182.382000000005,0,,Rating Scale,Familiarity,5,object-10,trial,children,barn,Barn.mp4,Children 1.jpg,1,,3
6,1696510513741,05/10/2023 12:55:13,1696517713741,2,05/10/2023 16:55:13,142915,11,task-qcg3,,32050536,wh8dvie9,9479027,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 117.0.0.0,1920x1200,1920x1075,Accepted,,0,familiarity ratings,27,Not on phone,Accepted,,list2,survey_list,1,trial,Screen 1,9lhd9n,1,response,yes,35698.083,39215.116,39231.683000000005,35698.083,39215.116,39231.683000000005,1,35698.083,3533.600000000006,0,,Rating Scale,Use,7,object-12,trial,children,barn,Barn.mp4,Children 1.jpg,1,,4
7,1696510513742,05/10/2023 12:55:13,1696517713742,2,05/10/2023 16:55:13,142915,11,task-qcg3,,32050536,wh8dvie9,9479027,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 117.0.0.0,1920x1200,1920x1075,Accepted,,0,familiarity ratings,27,Not on phone,Accepted,,list2,survey_list,1,trial,Screen 1,9lhd9n,1,response,4,31599.295,39215.116,39231.683000000005,31599.295,39215.116,39231.683000000005,1,31599.295,7632.388000000006,0,,Rating Scale,Similarity,9,object-14,trial,children,barn,Barn.mp4,Children 1.jpg,1,,5
8,1696510513865,05/10/2023 12:55:13,1696517713865,2,05/10/2023 16:55:13,142915,11,task-qcg3,,32050536,wh8dvie9,9479027,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 117.0.0.0,1920x1200,1920x1075,Accepted,,0,familiarity ratings,27,Not on phone,Accepted,,list2,survey_list,2,trial,Screen 1,9lhd9n,1,info,Video start,159.38999999850702,149.75799999999435,159.38999999850702,159.38999999850702,149.75799999999435,159.38999999850702,1,159.38999999850702,0,0,,Video,Video,2,object-8,trial,flower,blomst,Blomst.mp4,Flower 1.jpg,2,,6
9,1696510525784,05/10/2023 12:55:25,1696517725784,2,05/10/2023 16:55:25,142915,11,task-qcg3,,32050536,wh8dvie9,9479027,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 117.0.0.0,1920x1200,1920x1075,Accepted,,0,familiarity ratings,27,Not on phone,Accepted,,list2,survey_list,2,trial,Screen 1,9lhd9n,1,continue,,12078.985999999997,12065.48799999999,12078.985999999997,12078.985999999997,12065.48799999999,12078.985999999997,1,12078.985999999997,0,0,,Click To Continue,Continue Button,10,object-24,trial,flower,blomst,Blomst.mp4,Flower 1.jpg,2,,7
10,1696510525789,05/10/2023 12:55:25,1696517725789,2,05/10/2023 16:55:25,142915,11,task-qcg3,,32050536,wh8dvie9,9479027,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 117.0.0.0,1920x1200,1920x1075,Accepted,,0,familiarity ratings,27,Not on phone,Accepted,,list2,survey_list,2,trial,Screen 1,9lhd9n,1,response,5,7632.523999999998,12065.48799999999,12082.122999999985,7632.523999999998,12065.48799999999,12082.122999999985,1,7632.523999999998,4449.598999999987,0,,Rating Scale,Familiarity,5,object-10,trial,flower,blomst,Blomst.mp4,Flower 1.jpg,2,,8
11,1696510525790,05/10/2023 12:55:25,1696517725790,2,05/10/2023 16:55:25,142915,11,task-qcg3,,32050536,wh8dvie9,9479027,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 117.0.0.0,1920x1200,1920x1075,Accepted,,0,familiarity ratings,27,Not on phone,Accepted,,list2,survey_list,2,trial,Screen 1,9lhd9n,1,response,yes,8883.714999999997,12065.48799999999,12082.122999999985,8883.714999999997,12065.48799999999,12082.122999999985,1,8883.714999999997,3198.4079999999885,0,,Rating Scale,Use,7,object-12,trial,flower,blomst,Blomst.mp4,Flower 1.jpg,2,,9
12,1696510525791,05/10/2023 12:55:25,1696517725791,2,05/10/2023 16:55:25,142915,11,task-qcg3,,32050536,wh8dvie9,9479027,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 117.0.0.0,1920x1200,1920x1075,Accepted,,0,familiarity ratings,27,Not on phone,Accepted,,list2,survey_list,2,trial,Screen 1,9lhd9n,1,response,4,10683.159,12065.48799999999,12082.122999999985,10683.159,12065.48799999999,12082.122999999985,1,10683.159,1398.9639999999854,0,,Rating Scale,Similarity,9,object-14,trial,flower,blomst,Blomst.mp4,Flower 1.jpg,2,,10
13,1696510526156,05/10/2023 12:55:26,1696517726156,2,05/10/2023 16:55:26,142915,11,task-qcg3,,32050536,wh8dvie9,9479027,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 117.0.0.0,1920x1200,1920x1075,Accepted,,0,familiarity ratings,27,Not on phone,Accepted,,list2,survey_list,3,trial,Screen 1,9lhd9n,1,info,Video start,167.27700000010373,150.60500000011234,167.27700000010373,167.27700000010373,150.60500000011234,167.27700000010373,1,167.27700000010373,0,0,,Video,Video,2,object-8,trial,book,bok,Bok.mp4,Book 1.jpg,3,,11
14,1696510533038,05/10/2023 12:55:33,1696517733038,2,05/10/2023 16:55:33,142915,11,task-qcg3,,32050536,wh8dvie9,9479027,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 117.0.0.0,1920x1200,1920x1075,Accepted,,0,familiarity ratings,27,Not on phone,Accepted,,list2,survey_list,3,trial,Screen 1,9lhd9n,1,continue,,7266.126000000018,7249.700000000012,7266.126000000018,7266.126000000018,7249.700000000012,7266.126000000018,1,7266.126000000018,0,0,,Click To Continue,Continue Button,10,object-24,trial,book,bok,Bok.mp4,Book 1.jpg,3,,12
15,1696510533039,05/10/2023 12:55:33,1696517733039,2,05/10/2023 16:55:33,142915,11,task-qcg3,,32050536,wh8dvie9,9479027,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 117.0.0.0,1920x1200,1920x1075,Accepted,,0,familiarity ratings,27,Not on phone,Accepted,,list2,survey_list,3,trial,Screen 1,9lhd9n,1,response,7,3666.738000000012,7249.700000000012,7266.126000000018,3666.738000000012,7249.700000000012,7266.126000000018,1,3666.738000000012,3599.3880000000063,0,,Rating Scale,Familiarity,5,object-10,trial,book,bok,Bok.mp4,Book 1.jpg,3,,13
16,1696510533039,05/10/2023 12:55:33,1696517733039,2,05/10/2023 16:55:33,142915,11,task-qcg3,,32050536,wh8dvie9,9479027,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 117.0.0.0,1920x1200,1920x1075,Accepted,,0,familiarity ratings,27,Not on phone,Accepted,,list2,survey_list,3,trial,Screen 1,9lhd9n,1,response,yes,4816.7040000000125,7249.700000000012,7266.126000000018,4816.7040000000125,7249.700000000012,7266.126000000018,1,4816.7040000000125,2449.422000000006,0,,Rating Scale,Use,7,object-12,trial,book,bok,Bok.mp4,Book 1.jpg,3,,14
