Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-74d9,checkpoint-9nfr,checkpoint-33a1,Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: item,Spreadsheet: nsl_id_gloss,Spreadsheet: norsk_video,Spreadsheet: picture_name,Spreadsheet: trial_number,Manipulation: Spreadsheet,Store: progress
1,1696583728756,06/10/2023 09:15:28,1696590928756,2,06/10/2023 13:15:28,146116,4,task-qcg3,,32064953,x2vqwljt,9482437,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.5.2,3440x1440,777x678,Accepted,,0,familiarity ratings,28,Not on phone,Accepted,,survey_list,,,,,,5,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,
2,1696583797519,06/10/2023 09:16:37,1696590997519,2,06/10/2023 13:16:37,146116,4,task-qcg3,,32064953,x2vqwljt,9482437,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.5.2,3440x1440,777x678,Accepted,,0,familiarity ratings,28,Not on phone,Accepted,,survey_list,1,Instructions,Screen 1,apt9h7,1,continue,,67928,67919,67928,67928,67919,67928,1,67928,0,0,,Click To Continue,Continue Button,2,object-4,Instructions,,,,,,,
3,1696583797832,06/10/2023 09:16:37,1696590997832,2,06/10/2023 13:16:37,146116,4,task-qcg3,,32064953,x2vqwljt,9482437,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.5.2,3440x1440,777x678,Accepted,,0,familiarity ratings,28,Not on phone,Accepted,,survey_list,1,trial,Screen 1,9lhd9n,1,info,Video start,83.95633300025636,76,83.95633300025636,83.95633300025636,76,83.95633300025636,1,83.95633300025636,0,0,,Video,Video,2,object-8,trial,children,barn,Barn.mp4,Children 1.jpg,1,,1
4,1696583823917,06/10/2023 09:17:03,1696591023917,2,06/10/2023 13:17:03,146116,4,task-qcg3,,32064953,x2vqwljt,9482437,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.5.2,3440x1440,777x678,Accepted,,0,familiarity ratings,28,Not on phone,Accepted,,survey_list,1,trial,Screen 1,9lhd9n,1,continue,,26405,26400,26405,26405,26400,26405,1,26405,0,0,,Click To Continue,Continue Button,10,object-24,trial,children,barn,Barn.mp4,Children 1.jpg,1,,2
5,1696583823919,06/10/2023 09:17:03,1696591023919,2,06/10/2023 13:17:03,146116,4,task-qcg3,,32064953,x2vqwljt,9482437,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.5.2,3440x1440,777x678,Accepted,,0,familiarity ratings,28,Not on phone,Accepted,,survey_list,1,trial,Screen 1,9lhd9n,1,response,7,13050,26400,26410,13050,26400,26410,1,13050,13360,0,,Rating Scale,Familiarity,5,object-10,trial,children,barn,Barn.mp4,Children 1.jpg,1,,3
6,1696583823920,06/10/2023 09:17:03,1696591023920,2,06/10/2023 13:17:03,146116,4,task-qcg3,,32064953,x2vqwljt,9482437,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.5.2,3440x1440,777x678,Accepted,,0,familiarity ratings,28,Not on phone,Accepted,,survey_list,1,trial,Screen 1,9lhd9n,1,response,yes,16433,26400,26410,16433,26400,26410,1,16433,9977,0,,Rating Scale,Use,7,object-12,trial,children,barn,Barn.mp4,Children 1.jpg,1,,4
7,1696583823921,06/10/2023 09:17:03,1696591023921,2,06/10/2023 13:17:03,146116,4,task-qcg3,,32064953,x2vqwljt,9482437,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.5.2,3440x1440,777x678,Accepted,,0,familiarity ratings,28,Not on phone,Accepted,,survey_list,1,trial,Screen 1,9lhd9n,1,response,7,22383,26400,26411,22383,26400,26411,1,22383,4028,0,,Rating Scale,Similarity,9,object-14,trial,children,barn,Barn.mp4,Children 1.jpg,1,,5
8,1696583824262,06/10/2023 09:17:04,1696591024262,2,06/10/2023 13:17:04,146116,4,task-qcg3,,32064953,x2vqwljt,9482437,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.5.2,3440x1440,777x678,Accepted,,0,familiarity ratings,28,Not on phone,Accepted,,survey_list,2,trial,Screen 1,9lhd9n,1,info,Video start,112,112,112,112,112,112,1,112,0,0,,Video,Video,2,object-8,trial,flower,blomst,Blomst.mp4,Flower 1.jpg,2,,6
9,1696583833223,06/10/2023 09:17:13,1696591033223,2,06/10/2023 13:17:13,146116,4,task-qcg3,,32064953,x2vqwljt,9482437,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.5.2,3440x1440,777x678,Accepted,,0,familiarity ratings,28,Not on phone,Accepted,,survey_list,2,trial,Screen 1,9lhd9n,1,continue,,9313,9300,9313,9313,9300,9313,1,9313,0,0,,Click To Continue,Continue Button,10,object-24,trial,flower,blomst,Blomst.mp4,Flower 1.jpg,2,,7
10,1696583833224,06/10/2023 09:17:13,1696591033224,2,06/10/2023 13:17:13,146116,4,task-qcg3,,32064953,x2vqwljt,9482437,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.5.2,3440x1440,777x678,Accepted,,0,familiarity ratings,28,Not on phone,Accepted,,survey_list,2,trial,Screen 1,9lhd9n,1,response,7,5667,9300,9314,5667,9300,9314,1,5667,3647,0,,Rating Scale,Familiarity,5,object-10,trial,flower,blomst,Blomst.mp4,Flower 1.jpg,2,,8
11,1696583833224,06/10/2023 09:17:13,1696591033224,2,06/10/2023 13:17:13,146116,4,task-qcg3,,32064953,x2vqwljt,9482437,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.5.2,3440x1440,777x678,Accepted,,0,familiarity ratings,28,Not on phone,Accepted,,survey_list,2,trial,Screen 1,9lhd9n,1,response,yes,7183,9300,9315,7183,9300,9315,1,7183,2132,0,,Rating Scale,Use,7,object-12,trial,flower,blomst,Blomst.mp4,Flower 1.jpg,2,,9
12,1696583833225,06/10/2023 09:17:13,1696591033225,2,06/10/2023 13:17:13,146116,4,task-qcg3,,32064953,x2vqwljt,9482437,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.5.2,3440x1440,777x678,Accepted,,0,familiarity ratings,28,Not on phone,Accepted,,survey_list,2,trial,Screen 1,9lhd9n,1,response,7,8367,9300,9315,8367,9300,9315,1,8367,948,0,,Rating Scale,Similarity,9,object-14,trial,flower,blomst,Blomst.mp4,Flower 1.jpg,2,,10
13,1696583833561,06/10/2023 09:17:13,1696591033561,2,06/10/2023 13:17:13,146116,4,task-qcg3,,32064953,x2vqwljt,9482437,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.5.2,3440x1440,777x678,Accepted,,0,familiarity ratings,28,Not on phone,Accepted,,survey_list,3,trial,Screen 1,9lhd9n,1,info,Video start,110,110,110,110,110,110,1,110,0,0,,Video,Video,2,object-8,trial,book,bok,Bok.mp4,Book 1.jpg,3,,11
14,1696583841295,06/10/2023 09:17:21,1696591041295,2,06/10/2023 13:17:21,146116,4,task-qcg3,,32064953,x2vqwljt,9482437,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.5.2,3440x1440,777x678,Accepted,,0,familiarity ratings,28,Not on phone,Accepted,,survey_list,3,trial,Screen 1,9lhd9n,1,continue,,8085,8084,8085,8085,8084,8085,1,8085,0,0,,Click To Continue,Continue Button,10,object-24,trial,book,bok,Bok.mp4,Book 1.jpg,3,,12
