Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-j45v,branch-cyxv,checkpoint-t1lc,checkpoint-isbn,Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: item,Spreadsheet: rsl_id_gloss,Spreadsheet: video_name,Spreadsheet: picture_name,Manipulation: Spreadsheet,Store: progress
1,1696596103933,06/10/2023 12:41:43,1696606903933,3,06/10/2023 18:41:43,142916,13,task-1v1w,,32072142,nk2u0tdp,9483878,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 118.0,1920x1080,1920x899,Accepted,,0,familiarity ratings,19,rsl_list1,Not on phone,,Accepted,survey_list,,,,,,5,BEGIN,,,,,,,0,,,,,,,,,,,,,,,
2,1696596123165,06/10/2023 12:42:03,1696606923165,3,06/10/2023 18:42:03,142916,13,task-1v1w,,32072142,nk2u0tdp,9483878,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 118.0,1920x1080,1920x899,Accepted,,0,familiarity ratings,19,rsl_list1,Not on phone,,Accepted,survey_list,1,Instructions,Screen 1,apt9h7,1,continue,,13393.86,13387.100000000002,13393.86,13393.86,13387.100000000002,13393.86,1,13393.86,0,0,,Click To Continue,Continue Button,2,object-4,Instructions,,,,,,
3,1696596123664,06/10/2023 12:42:03,1696606923664,3,06/10/2023 18:42:03,142916,13,task-1v1w,,32072142,nk2u0tdp,9483878,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 118.0,1920x1080,1920x899,Accepted,,0,familiarity ratings,19,rsl_list1,Not on phone,,Accepted,survey_list,1,trial,Screen 1,9lhd9n,1,info,Video start,233.5399999999936,233.5399999999936,233.5399999999936,233.5399999999936,233.5399999999936,233.5399999999936,1,233.5399999999936,0,0,,Video,Video,2,object-8,trial,cabbage,капуста,1.mp4,Cabbage 2.jpg,,1
4,1696596142635,06/10/2023 12:42:22,1696606942635,3,06/10/2023 18:42:22,142916,13,task-1v1w,,32072142,nk2u0tdp,9483878,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 118.0,1920x1080,1920x899,Accepted,,0,familiarity ratings,19,rsl_list1,Not on phone,,Accepted,survey_list,1,trial,Screen 1,9lhd9n,1,continue,,19476.76,19472.76,19476.76,19476.76,19472.76,19476.76,1,19476.76,0,0,,Click To Continue,Continue Button,10,object-24,trial,cabbage,капуста,1.mp4,Cabbage 2.jpg,,2
5,1696596142640,06/10/2023 12:42:22,1696606942640,3,06/10/2023 18:42:22,142916,13,task-1v1w,,32072142,nk2u0tdp,9483878,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 118.0,1920x1080,1920x899,Accepted,,0,familiarity ratings,19,rsl_list1,Not on phone,,Accepted,survey_list,1,trial,Screen 1,9lhd9n,1,response,7,3983.739999999998,19472.76,19481.76,3983.739999999998,19472.76,19481.76,1,3983.739999999998,15498.02,0,,Rating Scale,Familiarity,5,object-10,trial,cabbage,капуста,1.mp4,Cabbage 2.jpg,,3
6,1696596142641,06/10/2023 12:42:22,1696606942641,3,06/10/2023 18:42:22,142916,13,task-1v1w,,32072142,nk2u0tdp,9483878,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 118.0,1920x1080,1920x899,Accepted,,0,familiarity ratings,19,rsl_list1,Not on phone,,Accepted,survey_list,1,trial,Screen 1,9lhd9n,1,response,yes,5867.079999999998,19472.76,19483.76,5867.079999999998,19472.76,19483.76,1,5867.079999999998,13616.68,0,,Rating Scale,Use,7,object-12,trial,cabbage,капуста,1.mp4,Cabbage 2.jpg,,4
7,1696596142644,06/10/2023 12:42:22,1696606942644,3,06/10/2023 18:42:22,142916,13,task-1v1w,,32072142,nk2u0tdp,9483878,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 118.0,1920x1080,1920x899,Accepted,,0,familiarity ratings,19,rsl_list1,Not on phone,,Accepted,survey_list,1,trial,Screen 1,9lhd9n,1,response,3,16704.16,19472.76,19483.76,16704.16,19472.76,19483.76,1,16704.16,2779.5999999999985,0,,Rating Scale,Similarity,9,object-14,trial,cabbage,капуста,1.mp4,Cabbage 2.jpg,,5
8,1696596143056,06/10/2023 12:42:23,1696606943056,3,06/10/2023 18:42:23,142916,13,task-1v1w,,32072142,nk2u0tdp,9483878,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 118.0,1920x1080,1920x899,Accepted,,0,familiarity ratings,19,rsl_list1,Not on phone,,Accepted,survey_list,2,trial,Screen 1,9lhd9n,1,info,Video start,178.10399999999998,166.7599999999511,178.10399999999998,178.10399999999998,166.7599999999511,178.10399999999998,1,178.10399999999998,0,0,,Video,Video,2,object-8,trial,engagement,помолвка,2.mp4,Engagement 2.jpg,,6
9,1696596151843,06/10/2023 12:42:31,1696606951843,3,06/10/2023 18:42:31,142916,13,task-1v1w,,32072142,nk2u0tdp,9483878,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 118.0,1920x1080,1920x899,Accepted,,0,familiarity ratings,19,rsl_list1,Not on phone,,Accepted,survey_list,2,trial,Screen 1,9lhd9n,1,continue,,9213,9202,9213,9213,9202,9213,1,9213,0,0,,Click To Continue,Continue Button,10,object-24,trial,engagement,помолвка,2.mp4,Engagement 2.jpg,,7
10,1696596151845,06/10/2023 12:42:31,1696606951845,3,06/10/2023 18:42:31,142916,13,task-1v1w,,32072142,nk2u0tdp,9483878,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 118.0,1920x1080,1920x899,Accepted,,0,familiarity ratings,19,rsl_list1,Not on phone,,Accepted,survey_list,2,trial,Screen 1,9lhd9n,1,response,7,4816.6600000000035,9202,9214,4816.6600000000035,9202,9214,1,4816.6600000000035,4397.3399999999965,0,,Rating Scale,Familiarity,5,object-10,trial,engagement,помолвка,2.mp4,Engagement 2.jpg,,8
