Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-j45v,branch-cyxv,checkpoint-t1lc,checkpoint-isbn,Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: item,Spreadsheet: rsl_id_gloss,Spreadsheet: video_name,Spreadsheet: picture_name,Manipulation: Spreadsheet,Store: progress
1,1696490272941,05/10/2023 07:17:52,1696501072941,3,05/10/2023 13:17:52,142916,11,task-1v1w,,32042646,jsvsplhz,9476391,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 109.0.0.0,1366x768,1366x625,Accepted,,0,familiarity ratings,17,rsl_list2,Not on phone,,Accepted,survey_list,,,,,,5,BEGIN,,,,,,,0,,,,,,,,,,,,,,,
2,1696490398312,05/10/2023 07:19:58,1696501198312,3,05/10/2023 13:19:58,142916,11,task-1v1w,,32042646,jsvsplhz,9476391,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 109.0.0.0,1366x768,1366x625,Accepted,,0,familiarity ratings,17,rsl_list2,Not on phone,,Accepted,survey_list,1,Instructions,Screen 1,apt9h7,1,continue,,119133.737,119117.033,119133.737,119133.737,119117.033,119133.737,1,119133.737,0,0,,Click To Continue,Continue Button,2,object-4,Instructions,,,,,,
3,1696490398512,05/10/2023 07:19:58,1696501198512,3,05/10/2023 13:19:58,142916,11,task-1v1w,,32042646,jsvsplhz,9476391,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 109.0.0.0,1366x768,1366x625,Accepted,,0,familiarity ratings,17,rsl_list2,Not on phone,,Accepted,survey_list,1,trial,Screen 1,9lhd9n,1,info,Video start,219.60799999986043,217.2740000000049,219.60799999986043,219.60799999986043,217.2740000000049,219.60799999986043,1,219.60799999986043,0,0,,Video,Video,2,object-8,trial,cabbage,капуста,1.mp4,Cabbage 2.jpg,,1
4,1696490420370,05/10/2023 07:20:20,1696501220370,3,05/10/2023 13:20:20,142916,11,task-1v1w,,32042646,jsvsplhz,9476391,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 109.0.0.0,1366x768,1366x625,Accepted,,0,familiarity ratings,17,rsl_list2,Not on phone,,Accepted,survey_list,1,trial,Screen 1,9lhd9n,1,continue,,22053.496999999814,22047.433999999994,22053.496999999814,22053.496999999814,22047.433999999994,22053.496999999814,1,22053.496999999814,0,0,,Click To Continue,Continue Button,10,object-24,trial,cabbage,капуста,1.mp4,Cabbage 2.jpg,,2
5,1696490420374,05/10/2023 07:20:20,1696501220374,3,05/10/2023 13:20:20,142916,11,task-1v1w,,32042646,jsvsplhz,9476391,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 109.0.0.0,1366x768,1366x625,Accepted,,0,familiarity ratings,17,rsl_list2,Not on phone,,Accepted,survey_list,1,trial,Screen 1,9lhd9n,1,response,7,7283.2469999999885,22047.433999999994,22064.102,7283.2469999999885,22047.433999999994,22064.102,1,7283.2469999999885,14780.85500000001,0,,Rating Scale,Familiarity,5,object-10,trial,cabbage,капуста,1.mp4,Cabbage 2.jpg,,3
6,1696490420376,05/10/2023 07:20:20,1696501220376,3,05/10/2023 13:20:20,142916,11,task-1v1w,,32042646,jsvsplhz,9476391,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 109.0.0.0,1366x768,1366x625,Accepted,,0,familiarity ratings,17,rsl_list2,Not on phone,,Accepted,survey_list,1,trial,Screen 1,9lhd9n,1,response,yes,8152.647000000012,22047.433999999994,22064.102,8152.647000000012,22047.433999999994,22064.102,1,8152.647000000012,13911.454999999987,0,,Rating Scale,Use,7,object-12,trial,cabbage,капуста,1.mp4,Cabbage 2.jpg,,4
7,1696490420377,05/10/2023 07:20:20,1696501220377,3,05/10/2023 13:20:20,142916,11,task-1v1w,,32042646,jsvsplhz,9476391,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 109.0.0.0,1366x768,1366x625,Accepted,,0,familiarity ratings,17,rsl_list2,Not on phone,,Accepted,survey_list,1,trial,Screen 1,9lhd9n,1,response,7,17457.982999999993,22047.433999999994,22064.102,17457.982999999993,22047.433999999994,22064.102,1,17457.982999999993,4606.119000000006,0,,Rating Scale,Similarity,9,object-14,trial,cabbage,капуста,1.mp4,Cabbage 2.jpg,,5
8,1696490420526,05/10/2023 07:20:20,1696501220526,3,05/10/2023 13:20:20,142916,11,task-1v1w,,32042646,jsvsplhz,9476391,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 109.0.0.0,1366x768,1366x625,Accepted,,0,familiarity ratings,17,rsl_list2,Not on phone,,Accepted,survey_list,2,trial,Screen 1,9lhd9n,1,info,Video start,191.45299999995973,183.34799999999814,191.45299999995973,191.45299999995973,183.34799999999814,191.45299999995973,1,191.45299999995973,0,0,,Video,Video,2,object-8,trial,engagement,помолвка,2.mp4,Engagement 2.jpg,,6
9,1696490428345,05/10/2023 07:20:28,1696501228345,3,05/10/2023 13:20:28,142916,11,task-1v1w,,32042646,jsvsplhz,9476391,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 109.0.0.0,1366x768,1366x625,Accepted,,0,familiarity ratings,17,rsl_list2,Not on phone,,Accepted,survey_list,2,trial,Screen 1,9lhd9n,1,continue,,8013.662999999913,8007.198999999993,8013.662999999913,8013.662999999913,8007.198999999993,8013.662999999913,1,8013.662999999913,0,0,,Click To Continue,Continue Button,10,object-24,trial,engagement,помолвка,2.mp4,Engagement 2.jpg,,7
10,1696490428348,05/10/2023 07:20:28,1696501228348,3,05/10/2023 13:20:28,142916,11,task-1v1w,,32042646,jsvsplhz,9476391,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 109.0.0.0,1366x768,1366x625,Accepted,,0,familiarity ratings,17,rsl_list2,Not on phone,,Accepted,survey_list,2,trial,Screen 1,9lhd9n,1,response,7,4532.323999999993,8007.198999999993,8017.06299999982,4532.323999999993,8007.198999999993,8017.06299999982,1,4532.323999999993,3484.738999999827,0,,Rating Scale,Familiarity,5,object-10,trial,engagement,помолвка,2.mp4,Engagement 2.jpg,,8
