Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-j45v,branch-cyxv,checkpoint-t1lc,checkpoint-isbn,Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: item,Spreadsheet: rsl_id_gloss,Spreadsheet: video_name,Spreadsheet: picture_name,Manipulation: Spreadsheet,Store: progress
1,1696234327773,02/10/2023 08:12:07,1696245127773,3,02/10/2023 14:12:07,142916,11,task-1v1w,,31972835,wv990nwk,9454658,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.3,1440x900,1440x820,Accepted,,0,familiarity ratings,17,rsl_list1,Not on phone,,Accepted,survey_list,,,,,,5,BEGIN,,,,,,,0,,,,,,,,,,,,,,,
2,1696234856346,02/10/2023 08:20:56,1696245656346,3,02/10/2023 14:20:56,142916,11,task-1v1w,,31972835,wv990nwk,9454658,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.3,1440x900,1440x820,Accepted,,0,familiarity ratings,17,rsl_list1,Not on phone,,Accepted,survey_list,1,Instructions,Screen 1,apt9h7,1,continue,,301487,301470,301487,301487,301470,301487,1,301487,0,0,,Click To Continue,Continue Button,2,object-4,Instructions,,,,,,
3,1696234856672,02/10/2023 08:20:56,1696245656672,3,02/10/2023 14:20:56,142916,11,task-1v1w,,31972835,wv990nwk,9454658,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.3,1440x900,1440x820,Accepted,,0,familiarity ratings,17,rsl_list1,Not on phone,,Accepted,survey_list,1,trial,Screen 1,9lhd9n,1,info,Video start,321.61387501237914,319,321.61387501237914,321.61387501237914,319,321.61387501237914,1,321.61387501237914,0,0,,Video,Video,2,object-8,trial,cabbage,капуста,1.mp4,Cabbage 2.jpg,,1
4,1696234879643,02/10/2023 08:21:19,1696245679643,3,02/10/2023 14:21:19,142916,11,task-1v1w,,31972835,wv990nwk,9454658,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.3,1440x900,1440x820,Accepted,,0,familiarity ratings,17,rsl_list1,Not on phone,,Accepted,survey_list,1,trial,Screen 1,9lhd9n,1,continue,,23343,23334,23343,23343,23334,23343,1,23343,0,0,,Click To Continue,Continue Button,10,object-24,trial,cabbage,капуста,1.mp4,Cabbage 2.jpg,,2
5,1696234879649,02/10/2023 08:21:19,1696245679649,3,02/10/2023 14:21:19,142916,11,task-1v1w,,31972835,wv990nwk,9454658,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.3,1440x900,1440x820,Accepted,,0,familiarity ratings,17,rsl_list1,Not on phone,,Accepted,survey_list,1,trial,Screen 1,9lhd9n,1,response,7,8317,23334,23350,8317,23334,23350,1,8317,15033,0,,Rating Scale,Familiarity,5,object-10,trial,cabbage,капуста,1.mp4,Cabbage 2.jpg,,3
6,1696234879650,02/10/2023 08:21:19,1696245679650,3,02/10/2023 14:21:19,142916,11,task-1v1w,,31972835,wv990nwk,9454658,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.3,1440x900,1440x820,Accepted,,0,familiarity ratings,17,rsl_list1,Not on phone,,Accepted,survey_list,1,trial,Screen 1,9lhd9n,1,response,yes,14734,23334,23350,14734,23334,23350,1,14734,8616,0,,Rating Scale,Use,7,object-12,trial,cabbage,капуста,1.mp4,Cabbage 2.jpg,,4
7,1696234879651,02/10/2023 08:21:19,1696245679651,3,02/10/2023 14:21:19,142916,11,task-1v1w,,31972835,wv990nwk,9454658,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.3,1440x900,1440x820,Accepted,,0,familiarity ratings,17,rsl_list1,Not on phone,,Accepted,survey_list,1,trial,Screen 1,9lhd9n,1,response,7,18051,23334,23350,18051,23334,23350,1,18051,5299,0,,Rating Scale,Similarity,9,object-14,trial,cabbage,капуста,1.mp4,Cabbage 2.jpg,,5
8,1696234879982,02/10/2023 08:21:19,1696245679982,3,02/10/2023 14:21:19,142916,11,task-1v1w,,31972835,wv990nwk,9454658,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.3,1440x900,1440x820,Accepted,,0,familiarity ratings,17,rsl_list1,Not on phone,,Accepted,survey_list,2,trial,Screen 1,9lhd9n,1,info,Video start,274.81258333078586,265,274.81258333078586,274.81258333078586,265,274.81258333078586,1,274.81258333078586,0,0,,Video,Video,2,object-8,trial,engagement,помолвка,2.mp4,Engagement 2.jpg,,6
9,1696234888285,02/10/2023 08:21:28,1696245688285,3,02/10/2023 14:21:28,142916,11,task-1v1w,,31972835,wv990nwk,9454658,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.3,1440x900,1440x820,Accepted,,0,familiarity ratings,17,rsl_list1,Not on phone,,Accepted,survey_list,2,trial,Screen 1,9lhd9n,1,continue,,8662,8651,8662,8662,8651,8662,1,8662,0,0,,Click To Continue,Continue Button,10,object-24,trial,engagement,помолвка,2.mp4,Engagement 2.jpg,,7
10,1696234888286,02/10/2023 08:21:28,1696245688286,3,02/10/2023 14:21:28,142916,11,task-1v1w,,31972835,wv990nwk,9454658,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.3,1440x900,1440x820,Accepted,,0,familiarity ratings,17,rsl_list1,Not on phone,,Accepted,survey_list,2,trial,Screen 1,9lhd9n,1,response,7,4917,8651,8665,4917,8651,8665,1,4917,3748,0,,Rating Scale,Familiarity,5,object-10,trial,engagement,помолвка,2.mp4,Engagement 2.jpg,,8
