Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-j45v,branch-cyxv,checkpoint-t1lc,checkpoint-isbn,Randomise questionnaire elements?,Question Key,Response
1,1.69757E+12,17.10.2023 20:12,1.69757E+12,2,17.10.2023 22:12,142916,13,questionnaire-3kt6,,32316575,0ggw4bbv,9555631,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 117.0.0.0,1144x644,2289x1006,Accepted,,,RSL questionnaire,3,rsl_list1,Not on phone,,Accepted,No,BEGIN QUESTIONNAIRE,
2,1.69757E+12,17.10.2023 20:15,1.69757E+12,2,17.10.2023 22:15,142916,13,questionnaire-3kt6,,32316575,0ggw4bbv,9555631,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 117.0.0.0,1144x644,2255x1006,Accepted,,,RSL questionnaire,3,rsl_list1,Not on phone,,Accepted,No,1_dob-month,4
3,1.69757E+12,17.10.2023 20:15,1.69757E+12,2,17.10.2023 22:15,142916,13,questionnaire-3kt6,,32316575,0ggw4bbv,9555631,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 117.0.0.0,1144x644,2255x1006,Accepted,,,RSL questionnaire,3,rsl_list1,Not on phone,,Accepted,No,1_dob-year,1990
4,1.69757E+12,17.10.2023 20:15,1.69757E+12,2,17.10.2023 22:15,142916,13,questionnaire-3kt6,,32316575,0ggw4bbv,9555631,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 117.0.0.0,1144x644,2255x1006,Accepted,,,RSL questionnaire,3,rsl_list1,Not on phone,,Accepted,No,2_pob,Варшава
5,1.69757E+12,17.10.2023 20:15,1.69757E+12,2,17.10.2023 22:15,142916,13,questionnaire-3kt6,,32316575,0ggw4bbv,9555631,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 117.0.0.0,1144x644,2255x1006,Accepted,,,RSL questionnaire,3,rsl_list1,Not on phone,,Accepted,No,3_residence,Варшава
6,1.69757E+12,17.10.2023 20:15,1.69757E+12,2,17.10.2023 22:15,142916,13,questionnaire-3kt6,,32316575,0ggw4bbv,9555631,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 117.0.0.0,1144x644,2255x1006,Accepted,,,RSL questionnaire,3,rsl_list1,Not on phone,,Accepted,No,4_handedness,правша
7,1.69757E+12,17.10.2023 20:15,1.69757E+12,2,17.10.2023 22:15,142916,13,questionnaire-3kt6,,32316575,0ggw4bbv,9555631,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 117.0.0.0,1144x644,2255x1006,Accepted,,,RSL questionnaire,3,rsl_list1,Not on phone,,Accepted,No,4_handedness-quantised,1
8,1.69757E+12,17.10.2023 20:15,1.69757E+12,2,17.10.2023 22:15,142916,13,questionnaire-3kt6,,32316575,0ggw4bbv,9555631,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 117.0.0.0,1144x644,2255x1006,Accepted,,,RSL questionnaire,3,rsl_list1,Not on phone,,Accepted,No,5_hearinglevel,IV степень (71-90 дБ)
9,1.69757E+12,17.10.2023 20:15,1.69757E+12,2,17.10.2023 22:15,142916,13,questionnaire-3kt6,,32316575,0ggw4bbv,9555631,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 117.0.0.0,1144x644,2255x1006,Accepted,,,RSL questionnaire,3,rsl_list1,Not on phone,,Accepted,No,5_hearinglevel-quantised,2
10,1.69757E+12,17.10.2023 20:15,1.69757E+12,2,17.10.2023 22:15,142916,13,questionnaire-3kt6,,32316575,0ggw4bbv,9555631,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 117.0.0.0,1144x644,2255x1006,Accepted,,,RSL questionnaire,3,rsl_list1,Not on phone,,Accepted,No,6_hearing-aids,нет
11,1.69757E+12,17.10.2023 20:15,1.69757E+12,2,17.10.2023 22:15,142916,13,questionnaire-3kt6,,32316575,0ggw4bbv,9555631,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 117.0.0.0,1144x644,2255x1006,Accepted,,,RSL questionnaire,3,rsl_list1,Not on phone,,Accepted,No,6_hearing-aids-quantised,2
12,1.69757E+12,17.10.2023 20:15,1.69757E+12,2,17.10.2023 22:15,142916,13,questionnaire-3kt6,,32316575,0ggw4bbv,9555631,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 117.0.0.0,1144x644,2255x1006,Accepted,,,RSL questionnaire,3,rsl_list1,Not on phone,,Accepted,No,6b_CIage,
13,1.69757E+12,17.10.2023 20:15,1.69757E+12,2,17.10.2023 22:15,142916,13,questionnaire-3kt6,,32316575,0ggw4bbv,9555631,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 117.0.0.0,1144x644,2255x1006,Accepted,,,RSL questionnaire,3,rsl_list1,Not on phone,,Accepted,No,7_deafnessreason,Врожденная
14,1.69757E+12,17.10.2023 20:15,1.69757E+12,2,17.10.2023 22:15,142916,13,questionnaire-3kt6,,32316575,0ggw4bbv,9555631,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 117.0.0.0,1144x644,2255x1006,Accepted,,,RSL questionnaire,3,rsl_list1,Not on phone,,Accepted,No,8_born-deaf,да
15,1.69757E+12,17.10.2023 20:15,1.69757E+12,2,17.10.2023 22:15,142916,13,questionnaire-3kt6,,32316575,0ggw4bbv,9555631,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 117.0.0.0,1144x644,2255x1006,Accepted,,,RSL questionnaire,3,rsl_list1,Not on phone,,Accepted,No,8_born-deaf-quantised,1
16,1.69757E+12,17.10.2023 20:15,1.69757E+12,2,17.10.2023 22:15,142916,13,questionnaire-3kt6,,32316575,0ggw4bbv,9555631,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 117.0.0.0,1144x644,2255x1006,Accepted,,,RSL questionnaire,3,rsl_list1,Not on phone,,Accepted,No,8a_deafness-age,
17,1.69757E+12,17.10.2023 20:15,1.69757E+12,2,17.10.2023 22:15,142916,13,questionnaire-3kt6,,32316575,0ggw4bbv,9555631,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 117.0.0.0,1144x644,2255x1006,Accepted,,,RSL questionnaire,3,rsl_list1,Not on phone,,Accepted,No,9_SL-exposure,28
