Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-j45v,branch-cyxv,checkpoint-t1lc,checkpoint-isbn,Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: picture,Spreadsheet: video,Spreadsheet: condition,Spreadsheet: correct,Spreadsheet: trial,Spreadsheet: item,Spreadsheet: index,Spreadsheet: randomise_trials,Manipulation: Spreadsheet,Store: correct,Store: total
1,1696595621418,06/10/2023 12:33:41,1696606421418,3,06/10/2023 18:33:41,142916,13,task-3k5q,,32071791,nk2u0tdp,9483878,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 118.0,1920x1080,1920x899,Accepted,,0,rsl experimental trials list1,26,rsl_list1,Not on phone,,Accepted,rsl_list1,,,,,,5,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,,,,,
2,1696595636468,06/10/2023 12:33:56,1696606436468,3,06/10/2023 18:33:56,142916,13,task-3k5q,,32071791,nk2u0tdp,9483878,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 118.0,1920x1080,1920x899,Accepted,,0,rsl experimental trials list1,26,rsl_list1,Not on phone,,Accepted,rsl_list1,1,instructions,Screen 1,9upwou,1,continue,,10581.580000000002,10570.46,10581.580000000002,10581.580000000002,10570.46,10581.580000000002,1,10581.580000000002,0,0,,Space To Continue,Continue Button,2,object-48,instructions,,,,,,,,,,,
3,1696595636473,06/10/2023 12:33:56,1696606436473,3,06/10/2023 18:33:56,142916,13,task-3k5q,,32071791,nk2u0tdp,9483878,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 118.0,1920x1080,1920x899,Accepted,,0,rsl experimental trials list1,26,rsl_list1,Not on phone,,Accepted,rsl_list1,1,instructions,Screen 1,9upwou,1,continue,,10587.119999999995,10570.46,10587.119999999995,10587.119999999995,10570.46,10587.119999999995,1,10587.119999999995,0,0,,Space To Continue,Continue Button,2,object-48,instructions,,,,,,,,,,,
4,1696595636959,06/10/2023 12:33:56,1696606436959,3,06/10/2023 18:33:56,142916,13,task-3k5q,,32071791,nk2u0tdp,9483878,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 118.0,1920x1080,1920x899,Accepted,,0,rsl experimental trials list1,26,rsl_list1,Not on phone,,Accepted,rsl_list1,1,match,Screen 1,nmofvp,1,continue,,500,500,500,500,500,500,1,500,0,0,,Fixation Timing,,1,object-167,match,Cabbage 2.jpg,1.mp4,same,same,target,cabbage,1,1,,,
5,1696595637958,06/10/2023 12:33:57,1696606437958,3,06/10/2023 18:33:57,142916,13,task-3k5q,,32071791,nk2u0tdp,9483878,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 118.0,1920x1080,1920x899,Accepted,,0,rsl experimental trials list1,26,rsl_list1,Not on phone,,Accepted,rsl_list1,1,match,Screen 2,pevo7u,2,timedOut,,1002.1200000000026,1000,1002.1200000000026,1002.1200000000026,1000,1002.1200000000026,0,1002.1200000000026,0,0,,Time Limit,screen,0,screen,match,Cabbage 2.jpg,1.mp4,same,same,target,cabbage,1,1,,,
6,1696595638259,06/10/2023 12:33:58,1696606438259,3,06/10/2023 18:33:58,142916,13,task-3k5q,,32071791,nk2u0tdp,9483878,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 118.0,1920x1080,1920x899,Accepted,,0,rsl experimental trials list1,26,rsl_list1,Not on phone,,Accepted,rsl_list1,1,match,Screen 3,z1irvt,3,timedOut,,302.1200000000026,300,302.1200000000026,302.1200000000026,300,302.1200000000026,1,302.1200000000026,0,0,,Time Limit,screen,0,screen,match,Cabbage 2.jpg,1.mp4,same,same,target,cabbage,1,1,,,
7,1696595638576,06/10/2023 12:33:58,1696606438576,3,06/10/2023 18:33:58,142916,13,task-3k5q,,32071791,nk2u0tdp,9483878,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 118.0,1920x1080,1920x899,Accepted,,0,rsl experimental trials list1,26,rsl_list1,Not on phone,,Accepted,rsl_list1,1,match,Screen 4,9wlxvm,4,info,Video start,70.13800000000262,66.47999999999593,70.13800000000262,70.13800000000262,66.47999999999593,70.13800000000262,1,70.13800000000262,0,0,,Video,video,1,object-178,match,Cabbage 2.jpg,1.mp4,same,same,target,cabbage,1,1,,,
8,1696595652305,06/10/2023 12:34:12,1696606452305,3,06/10/2023 18:34:12,142916,13,task-3k5q,,32071791,nk2u0tdp,9483878,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 118.0,1920x1080,1920x899,Accepted,,0,rsl experimental trials list1,26,rsl_list1,Not on phone,,Accepted,rsl_list1,1,match,Screen 4,9wlxvm,4,response,match,14049.120000000003,14039.099999999999,14049.120000000003,14049.120000000003,14039.099999999999,14049.120000000003,1,14049.120000000003,0,0,,Keyboard Response,Keyboard Response,6,object-183,match,Cabbage 2.jpg,1.mp4,same,same,target,cabbage,1,1,,,
9,1696595652796,06/10/2023 12:34:12,1696606452796,3,06/10/2023 18:34:12,142916,13,task-3k5q,,32071791,nk2u0tdp,9483878,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 118.0,1920x1080,1920x899,Accepted,,0,rsl experimental trials list1,26,rsl_list1,Not on phone,,Accepted,rsl_list1,1,nomatch,Screen 1,8mz8sc,1,continue,,500,500,500,500,500,500,1,500,0,0,,Fixation Timing,,1,object-186,nomatch,Metal 2.jpg,83.mp4,different,different,foil,na,83,1,,,
10,1696595653797,06/10/2023 12:34:13,1696606453797,3,06/10/2023 18:34:13,142916,13,task-3k5q,,32071791,nk2u0tdp,9483878,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 118.0,1920x1080,1920x899,Accepted,,0,rsl experimental trials list1,26,rsl_list1,Not on phone,,Accepted,rsl_list1,1,nomatch,Screen 2,zhfxqk,2,timedOut,,1001.0200000000041,1000,1001.0200000000041,1001.0200000000041,1000,1001.0200000000041,0,1001.0200000000041,0,0,,Time Limit,screen,0,screen,nomatch,Metal 2.jpg,83.mp4,different,different,foil,na,83,1,,,
11,1696595654097,06/10/2023 12:34:14,1696606454097,3,06/10/2023 18:34:14,142916,13,task-3k5q,,32071791,nk2u0tdp,9483878,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 118.0,1920x1080,1920x899,Accepted,,0,rsl experimental trials list1,26,rsl_list1,Not on phone,,Accepted,rsl_list1,1,nomatch,Screen 3,d73ena,3,timedOut,,301.0200000000041,300,301.0200000000041,301.0200000000041,300,301.0200000000041,1,301.0200000000041,0,0,,Time Limit,screen,0,screen,nomatch,Metal 2.jpg,83.mp4,different,different,foil,na,83,1,,,
12,1696595654416,06/10/2023 12:34:14,1696606454416,3,06/10/2023 18:34:14,142916,13,task-3k5q,,32071791,nk2u0tdp,9483878,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 118.0,1920x1080,1920x899,Accepted,,0,rsl experimental trials list1,26,rsl_list1,Not on phone,,Accepted,rsl_list1,1,nomatch,Screen 4,kfk7dt,4,info,Video start,219.44200000000407,216.59999999996217,219.44200000000407,219.44200000000407,216.59999999996217,219.44200000000407,0,219.44200000000407,0,0,,Video,video,1,object-204,nomatch,Metal 2.jpg,83.mp4,different,different,foil,na,83,1,,,
13,1696595656089,06/10/2023 12:34:16,1696606456089,3,06/10/2023 18:34:16,142916,13,task-3k5q,,32071791,nk2u0tdp,9483878,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 118.0,1920x1080,1920x899,Accepted,,0,rsl experimental trials list1,26,rsl_list1,Not on phone,,Accepted,rsl_list1,1,nomatch,Screen 4,kfk7dt,4,response,nomatch,1994.020000000004,1983.340000000011,1994.020000000004,1994.020000000004,1983.340000000011,1994.020000000004,0,1994.020000000004,0,0,,Keyboard Response,Keyboard Response,6,object-209,nomatch,Metal 2.jpg,83.mp4,different,different,foil,na,83,1,,,
14,1696595656581,06/10/2023 12:34:16,1696606456581,3,06/10/2023 18:34:16,142916,13,task-3k5q,,32071791,nk2u0tdp,9483878,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 118.0,1920x1080,1920x899,Accepted,,0,rsl experimental trials list1,26,rsl_list1,Not on phone,,Accepted,rsl_list1,2,match,Screen 1,nmofvp,1,continue,,500,500,500,500,500,500,1,500,0,0,,Fixation Timing,,1,object-167,match,Eagle 1.jpg,31.mp4,different,same,target,eagle,31,1,,,
15,1696595657581,06/10/2023 12:34:17,1696606457581,3,06/10/2023 18:34:17,142916,13,task-3k5q,,32071791,nk2u0tdp,9483878,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 118.0,1920x1080,1920x899,Accepted,,0,rsl experimental trials list1,26,rsl_list1,Not on phone,,Accepted,rsl_list1,2,match,Screen 2,pevo7u,2,timedOut,,1002.679999999993,1001.9399999999878,1002.679999999993,1002.679999999993,1001.9399999999878,1002.679999999993,0,1002.679999999993,0,0,,Time Limit,screen,0,screen,match,Eagle 1.jpg,31.mp4,different,same,target,eagle,31,1,,,
16,1696595657881,06/10/2023 12:34:17,1696606457881,3,06/10/2023 18:34:17,142916,13,task-3k5q,,32071791,nk2u0tdp,9483878,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 118.0,1920x1080,1920x899,Accepted,,0,rsl experimental trials list1,26,rsl_list1,Not on phone,,Accepted,rsl_list1,2,match,Screen 3,z1irvt,3,timedOut,,300.74000000000524,300,300.74000000000524,300.74000000000524,300,300.74000000000524,1,300.74000000000524,0,0,,Time Limit,screen,0,screen,match,Eagle 1.jpg,31.mp4,different,same,target,eagle,31,1,,,
17,1696595658198,06/10/2023 12:34:18,1696606458198,3,06/10/2023 18:34:18,142916,13,task-3k5q,,32071791,nk2u0tdp,9483878,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 118.0,1920x1080,1920x899,Accepted,,0,rsl experimental trials list1,26,rsl_list1,Not on phone,,Accepted,rsl_list1,2,match,Screen 4,9wlxvm,4,info,Video start,66.87300000000522,66.7599999999511,66.87300000000522,66.87300000000522,66.7599999999511,66.87300000000522,1,66.87300000000522,0,0,,Video,video,1,object-178,match,Eagle 1.jpg,31.mp4,different,same,target,eagle,31,1,,,
