Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-j45v,branch-cyxv,checkpoint-t1lc,checkpoint-isbn,Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: picture,Spreadsheet: video,Spreadsheet: condition,Spreadsheet: correct,Spreadsheet: trial,Spreadsheet: item,Spreadsheet: index,Spreadsheet: randomise_trials,Manipulation: Spreadsheet,Store: correct,Store: total
1,1696232540540,02/10/2023 07:42:20,1696243340540,3,02/10/2023 13:42:20,142916,11,task-tfo5,,31972247,71448fyn,9454567,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Yandex 23.7.0.2610,1344x840,1344x764,Accepted,,0,rsl experimental trials list2,17,rsl_list2,Not on phone,,Accepted,rsl_list2,,,,,,5,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,,,,,
2,1696232543100,02/10/2023 07:42:23,1696243343100,3,02/10/2023 13:42:23,142916,11,task-tfo5,,31972247,71448fyn,9454567,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Yandex 23.7.0.2610,1344x840,1344x764,Accepted,,0,rsl experimental trials list2,17,rsl_list2,Not on phone,,Accepted,rsl_list2,1,instructions,Screen 1,9upwou,1,info,Video start,2030.9589999999996,2016.5860000000011,2030.9589999999996,2030.9589999999996,2016.5860000000011,2030.9589999999996,1,2030.9589999999996,0,0,,Video,Experimental instructions,3,object-161,instructions,,,,,,,,,,,
3,1696232603640,02/10/2023 07:43:23,1696243403640,3,02/10/2023 13:43:23,142916,11,task-tfo5,,31972247,71448fyn,9454567,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Yandex 23.7.0.2610,1344x840,1344x764,Accepted,,0,rsl experimental trials list2,17,rsl_list2,Not on phone,,Accepted,rsl_list2,1,instructions,Screen 1,9upwou,1,continue,,62619.84099999996,62613.265,62619.84099999996,62619.84099999996,62613.265,62619.84099999996,1,62619.84099999996,0,0,,Space To Continue,Continue Button,2,object-48,instructions,,,,,,,,,,,
4,1696232603642,02/10/2023 07:43:23,1696243403642,3,02/10/2023 13:43:23,142916,11,task-tfo5,,31972247,71448fyn,9454567,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Yandex 23.7.0.2610,1344x840,1344x764,Accepted,,0,rsl experimental trials list2,17,rsl_list2,Not on phone,,Accepted,rsl_list2,1,instructions,Screen 1,9upwou,1,continue,,62622.34099999996,62613.265,62622.34099999996,62622.34099999996,62613.265,62622.34099999996,1,62622.34099999996,0,0,,Space To Continue,Continue Button,2,object-48,instructions,,,,,,,,,,,
5,1696232604132,02/10/2023 07:43:24,1696243404132,3,02/10/2023 13:43:24,142916,11,task-tfo5,,31972247,71448fyn,9454567,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Yandex 23.7.0.2610,1344x840,1344x764,Accepted,,0,rsl experimental trials list2,17,rsl_list2,Not on phone,,Accepted,rsl_list2,1,match,Screen 1,nmofvp,1,continue,,496.93099999999686,496.93099999999686,496.93099999999686,496.93099999999686,496.93099999999686,496.93099999999686,1,496.93099999999686,0,0,,Fixation Timing,,1,object-167,match,Run 2.jpg,43.mp4,different,same,target,run,43,1,,,
6,1696232605135,02/10/2023 07:43:25,1696243405135,3,02/10/2023 13:43:25,142916,11,task-tfo5,,31972247,71448fyn,9454567,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Yandex 23.7.0.2610,1344x840,1344x764,Accepted,,0,rsl experimental trials list2,17,rsl_list2,Not on phone,,Accepted,rsl_list2,1,match,Screen 2,pevo7u,2,timedOut,,1004.6449999999604,999.9600000000064,1004.6449999999604,1004.6449999999604,999.9600000000064,1004.6449999999604,0,1004.6449999999604,0,0,,Time Limit,screen,0,screen,match,Run 2.jpg,43.mp4,different,same,target,run,43,1,,,
7,1696232605432,02/10/2023 07:43:25,1696243405432,3,02/10/2023 13:43:25,142916,11,task-tfo5,,31972247,71448fyn,9454567,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Yandex 23.7.0.2610,1344x840,1344x764,Accepted,,0,rsl experimental trials list2,17,rsl_list2,Not on phone,,Accepted,rsl_list2,1,match,Screen 3,z1irvt,3,timedOut,,301.78500000004715,299.98799999999756,301.78500000004715,301.78500000004715,299.98799999999756,301.78500000004715,1,301.78500000004715,0,0,,Time Limit,screen,0,screen,match,Run 2.jpg,43.mp4,different,same,target,run,43,1,,,
8,1696232605492,02/10/2023 07:43:25,1696243405492,3,02/10/2023 13:43:25,142916,11,task-tfo5,,31972247,71448fyn,9454567,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Yandex 23.7.0.2610,1344x840,1344x764,Accepted,,0,rsl experimental trials list2,17,rsl_list2,Not on phone,,Accepted,rsl_list2,1,match,Screen 4,9wlxvm,4,info,Video start,19.201000000003027,0,19.201000000003027,19.201000000003027,0,19.201000000003027,1,19.201000000003027,0,0,,Video,video,1,object-178,match,Run 2.jpg,43.mp4,different,same,target,run,43,1,,,
9,1696232608526,02/10/2023 07:43:28,1696243408526,3,02/10/2023 13:43:28,142916,11,task-tfo5,,31972247,71448fyn,9454567,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Yandex 23.7.0.2610,1344x840,1344x764,Accepted,,0,rsl experimental trials list2,17,rsl_list2,Not on phone,,Accepted,rsl_list2,1,match,Screen 4,9wlxvm,4,response,match,3096.1969999999565,3083.2100000000064,3096.1969999999565,3096.1969999999565,3083.2100000000064,3096.1969999999565,1,3096.1969999999565,0,0,,Keyboard Response,Keyboard Response,6,object-183,match,Run 2.jpg,43.mp4,different,same,target,run,43,1,,,
10,1696232609018,02/10/2023 07:43:29,1696243409018,3,02/10/2023 13:43:29,142916,11,task-tfo5,,31972247,71448fyn,9454567,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Yandex 23.7.0.2610,1344x840,1344x764,Accepted,,0,rsl experimental trials list2,17,rsl_list2,Not on phone,,Accepted,rsl_list2,2,match,Screen 1,nmofvp,1,continue,,499.9799999999959,499.9799999999959,499.9799999999959,499.9799999999959,499.9799999999959,499.9799999999959,1,499.9799999999959,0,0,,Fixation Timing,,1,object-167,match,Cry 1.jpg,38.mp4,same,same,target,cry,38,1,,,
11,1696232610017,02/10/2023 07:43:30,1696243410017,3,02/10/2023 13:43:30,142916,11,task-tfo5,,31972247,71448fyn,9454567,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Yandex 23.7.0.2610,1344x840,1344x764,Accepted,,0,rsl experimental trials list2,17,rsl_list2,Not on phone,,Accepted,rsl_list2,2,match,Screen 2,pevo7u,2,timedOut,,1004.2069999999076,999.9600000000064,1004.2069999999076,1004.2069999999076,999.9600000000064,1004.2069999999076,0,1004.2069999999076,0,0,,Time Limit,screen,0,screen,match,Cry 1.jpg,38.mp4,same,same,target,cry,38,1,,,
12,1696232610316,02/10/2023 07:43:30,1696243410316,3,02/10/2023 13:43:30,142916,11,task-tfo5,,31972247,71448fyn,9454567,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Yandex 23.7.0.2610,1344x840,1344x764,Accepted,,0,rsl experimental trials list2,17,rsl_list2,Not on phone,,Accepted,rsl_list2,2,match,Screen 3,z1irvt,3,timedOut,,303.54699999994773,299.98799999999756,303.54699999994773,303.54699999994773,299.98799999999756,303.54699999994773,1,303.54699999994773,0,0,,Time Limit,screen,0,screen,match,Cry 1.jpg,38.mp4,same,same,target,cry,38,1,,,
13,1696232610372,02/10/2023 07:43:30,1696243410372,3,02/10/2023 13:43:30,142916,11,task-tfo5,,31972247,71448fyn,9454567,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Yandex 23.7.0.2610,1344x840,1344x764,Accepted,,0,rsl experimental trials list2,17,rsl_list2,Not on phone,,Accepted,rsl_list2,2,match,Screen 4,9wlxvm,4,info,Video start,16.53899999999674,0,16.53899999999674,16.53899999999674,0,16.53899999999674,1,16.53899999999674,0,0,,Video,video,1,object-178,match,Cry 1.jpg,38.mp4,same,same,target,cry,38,1,,,
14,1696232612729,02/10/2023 07:43:32,1696243412729,3,02/10/2023 13:43:32,142916,11,task-tfo5,,31972247,71448fyn,9454567,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Yandex 23.7.0.2610,1344x840,1344x764,Accepted,,0,rsl experimental trials list2,17,rsl_list2,Not on phone,,Accepted,rsl_list2,2,match,Screen 4,9wlxvm,4,response,match,2416.55899999995,2399.903999999995,2416.55899999995,2416.55899999995,2399.903999999995,2416.55899999995,1,2416.55899999995,0,0,,Keyboard Response,Keyboard Response,6,object-183,match,Cry 1.jpg,38.mp4,same,same,target,cry,38,1,,,
