Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-j45v,branch-cyxv,checkpoint-t1lc,checkpoint-isbn,Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: picture,Spreadsheet: video,Spreadsheet: condition,Spreadsheet: correct,Spreadsheet: trial,Spreadsheet: item,Spreadsheet: index,Spreadsheet: randomise_trials,Manipulation: Spreadsheet,Store: correct,Store: total
11,1696489729176,05/10/2023 07:08:49,1696500529176,3,05/10/2023 13:08:49,142916,11,task-tfo5,,32042153,jsvsplhz,9476391,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 109.0.0.0,1366x768,1366x625,Accepted,,0,rsl experimental trials list2,17,rsl_list2,Not on phone,,Accepted,rsl_list2,2,match,Screen 2,pevo7u,2,timedOut,,1002.1210000000501,1000.5930000000008,1002.1210000000501,1002.1210000000501,1000.5930000000008,1002.1210000000501,0,1002.1210000000501,0,0,,Time Limit,screen,0,screen,match,Doubt 1.jpg,15.mp4,different,same,target,doubt,15,1,,,
12,1696489729478,05/10/2023 07:08:49,1696500529478,3,05/10/2023 13:08:49,142916,11,task-tfo5,,32042153,jsvsplhz,9476391,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 109.0.0.0,1366x768,1366x625,Accepted,,0,rsl experimental trials list2,17,rsl_list2,Not on phone,,Accepted,rsl_list2,2,match,Screen 3,z1irvt,3,timedOut,,303.3280000000959,302.59500000000116,303.3280000000959,303.3280000000959,302.59500000000116,303.3280000000959,1,303.3280000000959,0,0,,Time Limit,screen,0,screen,match,Doubt 1.jpg,15.mp4,different,same,target,doubt,15,1,,,
13,1696489729535,05/10/2023 07:08:49,1696500529535,3,05/10/2023 13:08:49,142916,11,task-tfo5,,32042153,jsvsplhz,9476391,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 109.0.0.0,1366x768,1366x625,Accepted,,0,rsl experimental trials list2,17,rsl_list2,Not on phone,,Accepted,rsl_list2,2,match,Screen 4,9wlxvm,4,info,Video start,57.36700000000163,50.120999999999185,57.36700000000163,57.36700000000163,50.120999999999185,57.36700000000163,1,57.36700000000163,0,0,,Video,video,1,object-178,match,Doubt 1.jpg,15.mp4,different,same,target,doubt,15,1,,,
14,1696489733987,05/10/2023 07:08:53,1696500533987,3,05/10/2023 13:08:53,142916,11,task-tfo5,,32042153,jsvsplhz,9476391,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 109.0.0.0,1366x768,1366x625,Accepted,,0,rsl experimental trials list2,17,rsl_list2,Not on phone,,Accepted,rsl_list2,2,match,Screen 4,9wlxvm,4,response,match,4508.033000000141,4493.998,4508.033000000141,4508.033000000141,4493.998,4508.033000000141,1,4508.033000000141,0,0,,Keyboard Response,Keyboard Response,6,object-183,match,Doubt 1.jpg,15.mp4,different,same,target,doubt,15,1,,,
15,1696489734475,05/10/2023 07:08:54,1696500534475,3,05/10/2023 13:08:54,142916,11,task-tfo5,,32042153,jsvsplhz,9476391,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 109.0.0.0,1366x768,1366x625,Accepted,,0,rsl experimental trials list2,17,rsl_list2,Not on phone,,Accepted,rsl_list2,3,match,Screen 1,nmofvp,1,continue,,500.5430000000051,500.5430000000051,500.5430000000051,500.5430000000051,500.5430000000051,500.5430000000051,1,500.5430000000051,0,0,,Fixation Timing,,1,object-167,match,Pain 2.jpg,12.mp4,different,same,target,pain,12,1,,,
16,1696489735479,05/10/2023 07:08:55,1696500535479,3,05/10/2023 13:08:55,142916,11,task-tfo5,,32042153,jsvsplhz,9476391,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 109.0.0.0,1366x768,1366x625,Accepted,,0,rsl experimental trials list2,17,rsl_list2,Not on phone,,Accepted,rsl_list2,3,match,Screen 2,pevo7u,2,timedOut,,1005.5919999999969,1003.765999999996,1005.5919999999969,1005.5919999999969,1003.765999999996,1005.5919999999969,0,1005.5919999999969,0,0,,Time Limit,screen,0,screen,match,Pain 2.jpg,12.mp4,different,same,target,pain,12,1,,,
17,1696489735779,05/10/2023 07:08:55,1696500535779,3,05/10/2023 13:08:55,142916,11,task-tfo5,,32042153,jsvsplhz,9476391,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 109.0.0.0,1366x768,1366x625,Accepted,,0,rsl experimental trials list2,17,rsl_list2,Not on phone,,Accepted,rsl_list2,3,match,Screen 3,z1irvt,3,timedOut,,301.72600000014063,299.9979999999996,301.72600000014063,301.72600000014063,299.9979999999996,301.72600000014063,1,301.72600000014063,0,0,,Time Limit,screen,0,screen,match,Pain 2.jpg,12.mp4,different,same,target,pain,12,1,,,
18,1696489735835,05/10/2023 07:08:55,1696500535835,3,05/10/2023 13:08:55,142916,11,task-tfo5,,32042153,jsvsplhz,9476391,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 109.0.0.0,1366x768,1366x625,Accepted,,0,rsl experimental trials list2,17,rsl_list2,Not on phone,,Accepted,rsl_list2,3,match,Screen 4,9wlxvm,4,info,Video start,57.32699999995477,50.120999999999185,57.32699999995477,57.32699999995477,50.120999999999185,57.32699999995477,1,57.32699999995477,0,0,,Video,video,1,object-178,match,Pain 2.jpg,12.mp4,different,same,target,pain,12,1,,,
19,1696489739840,05/10/2023 07:08:59,1696500539840,3,05/10/2023 13:08:59,142916,11,task-tfo5,,32042153,jsvsplhz,9476391,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 109.0.0.0,1366x768,1366x625,Accepted,,0,rsl experimental trials list2,17,rsl_list2,Not on phone,,Accepted,rsl_list2,3,match,Screen 4,9wlxvm,4,response,match,4059.569000000003,4042.866000000002,4059.569000000003,4059.569000000003,4042.866000000002,4059.569000000003,1,4059.569000000003,0,0,,Keyboard Response,Keyboard Response,6,object-183,match,Pain 2.jpg,12.mp4,different,same,target,pain,12,1,,,
20,1696489740323,05/10/2023 07:09:00,1696500540323,3,05/10/2023 13:09:00,142916,11,task-tfo5,,32042153,jsvsplhz,9476391,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 109.0.0.0,1366x768,1366x625,Accepted,,0,rsl experimental trials list2,17,rsl_list2,Not on phone,,Accepted,rsl_list2,4,match,Screen 1,nmofvp,1,continue,,501.5899999999965,501.5899999999965,501.5899999999965,501.5899999999965,501.5899999999965,501.5899999999965,1,501.5899999999965,0,0,,Fixation Timing,,1,object-167,match,Metal 2.jpg,35.mp4,different,same,target,metal,35,1,,,
21,1696489741327,05/10/2023 07:09:01,1696500541327,3,05/10/2023 13:09:01,142916,11,task-tfo5,,32042153,jsvsplhz,9476391,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 109.0.0.0,1366x768,1366x625,Accepted,,0,rsl experimental trials list2,17,rsl_list2,Not on phone,,Accepted,rsl_list2,4,match,Screen 2,pevo7u,2,timedOut,,1004.5719999999565,1003.0560000000041,1004.5719999999565,1004.5719999999565,1003.0560000000041,1004.5719999999565,0,1004.5719999999565,0,0,,Time Limit,screen,0,screen,match,Metal 2.jpg,35.mp4,different,same,target,metal,35,1,,,
22,1696489741628,05/10/2023 07:09:01,1696500541628,3,05/10/2023 13:09:01,142916,11,task-tfo5,,32042153,jsvsplhz,9476391,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 109.0.0.0,1366x768,1366x625,Accepted,,0,rsl experimental trials list2,17,rsl_list2,Not on phone,,Accepted,rsl_list2,4,match,Screen 3,z1irvt,3,timedOut,,302.5159999999523,301.2639999999956,302.5159999999523,302.5159999999523,301.2639999999956,302.5159999999523,1,302.5159999999523,0,0,,Time Limit,screen,0,screen,match,Metal 2.jpg,35.mp4,different,same,target,metal,35,1,,,
23,1696489741678,05/10/2023 07:09:01,1696500541678,3,05/10/2023 13:09:01,142916,11,task-tfo5,,32042153,jsvsplhz,9476391,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 109.0.0.0,1366x768,1366x625,Accepted,,0,rsl experimental trials list2,17,rsl_list2,Not on phone,,Accepted,rsl_list2,4,match,Screen 4,9wlxvm,4,info,Video start,52.208000000049886,50.187000000005355,52.208000000049886,52.208000000049886,50.187000000005355,52.208000000049886,1,52.208000000049886,0,0,,Video,video,1,object-178,match,Metal 2.jpg,35.mp4,different,same,target,metal,35,1,,,
24,1696489745889,05/10/2023 07:09:05,1696500545889,3,05/10/2023 13:09:05,142916,11,task-tfo5,,32042153,jsvsplhz,9476391,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 109.0.0.0,1366x768,1366x625,Accepted,,0,rsl experimental trials list2,17,rsl_list2,Not on phone,,Accepted,rsl_list2,4,match,Screen 4,9wlxvm,4,response,match,4262.652000000096,4258.492000000006,4262.652000000096,4262.652000000096,4258.492000000006,4262.652000000096,1,4262.652000000096,0,0,,Keyboard Response,Keyboard Response,6,object-183,match,Metal 2.jpg,35.mp4,different,same,target,metal,35,1,,,
25,1696489746387,05/10/2023 07:09:06,1696500546387,3,05/10/2023 13:09:06,142916,11,task-tfo5,,32042153,jsvsplhz,9476391,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 109.0.0.0,1366x768,1366x625,Accepted,,0,rsl experimental trials list2,17,rsl_list2,Not on phone,,Accepted,rsl_list2,5,match,Screen 1,nmofvp,1,continue,,500.45900000000256,500.45900000000256,500.45900000000256,500.45900000000256,500.45900000000256,500.45900000000256,1,500.45900000000256,0,0,,Fixation Timing,,1,object-167,match,Try 2.jpg,22.mp4,different,same,target,try,22,1,,,
26,1696489747390,05/10/2023 07:09:07,1696500547390,3,05/10/2023 13:09:07,142916,11,task-tfo5,,32042153,jsvsplhz,9476391,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 109.0.0.0,1366x768,1366x625,Accepted,,0,rsl experimental trials list2,17,rsl_list2,Not on phone,,Accepted,rsl_list2,5,match,Screen 2,pevo7u,2,timedOut,,1004.4010000000417,1002.7920000000013,1004.4010000000417,1004.4010000000417,1002.7920000000013,1004.4010000000417,0,1004.4010000000417,0,0,,Time Limit,screen,0,screen,match,Try 2.jpg,22.mp4,different,same,target,try,22,1,,,
27,1696489747691,05/10/2023 07:09:07,1696500547691,3,05/10/2023 13:09:07,142916,11,task-tfo5,,32042153,jsvsplhz,9476391,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 109.0.0.0,1366x768,1366x625,Accepted,,0,rsl experimental trials list2,17,rsl_list2,Not on phone,,Accepted,rsl_list2,5,match,Screen 3,z1irvt,3,timedOut,,302.6090000000404,301.07600000000093,302.6090000000404,302.6090000000404,301.07600000000093,302.6090000000404,1,302.6090000000404,0,0,,Time Limit,screen,0,screen,match,Try 2.jpg,22.mp4,different,same,target,try,22,1,,,
28,1696489747747,05/10/2023 07:09:07,1696500547747,3,05/10/2023 13:09:07,142916,11,task-tfo5,,32042153,jsvsplhz,9476391,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 109.0.0.0,1366x768,1366x625,Accepted,,0,rsl experimental trials list2,17,rsl_list2,Not on phone,,Accepted,rsl_list2,5,match,Screen 4,9wlxvm,4,info,Video start,58.01599999994633,50.120999999999185,58.01599999994633,58.01599999994633,50.120999999999185,58.01599999994633,1,58.01599999994633,0,0,,Video,video,1,object-178,match,Try 2.jpg,22.mp4,different,same,target,try,22,1,,,
29,1696489751251,05/10/2023 07:09:11,1696500551251,3,05/10/2023 13:09:11,142916,11,task-tfo5,,32042153,jsvsplhz,9476391,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 109.0.0.0,1366x768,1366x625,Accepted,,0,rsl experimental trials list2,17,rsl_list2,Not on phone,,Accepted,rsl_list2,5,match,Screen 4,9wlxvm,4,response,match,3562.0330000000395,3558.4919999999984,3562.0330000000395,3562.0330000000395,3558.4919999999984,3562.0330000000395,1,3562.0330000000395,0,0,,Keyboard Response,Keyboard Response,6,object-183,match,Try 2.jpg,22.mp4,different,same,target,try,22,1,,,
30,1696489751749,05/10/2023 07:09:11,1696500551749,3,05/10/2023 13:09:11,142916,11,task-tfo5,,32042153,jsvsplhz,9476391,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 109.0.0.0,1366x768,1366x625,Accepted,,0,rsl experimental trials list2,17,rsl_list2,Not on phone,,Accepted,rsl_list2,6,match,Screen 1,nmofvp,1,continue,,500.11799999998766,500.11799999998766,500.11799999998766,500.11799999998766,500.11799999998766,500.11799999998766,1,500.11799999998766,0,0,,Fixation Timing,,1,object-167,match,Call 1.jpg,13.mp4,different,same,target,call,13,1,,,
31,1696489752753,05/10/2023 07:09:12,1696500552753,3,05/10/2023 13:09:12,142916,11,task-tfo5,,32042153,jsvsplhz,9476391,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 109.0.0.0,1366x768,1366x625,Accepted,,0,rsl experimental trials list2,17,rsl_list2,Not on phone,,Accepted,rsl_list2,6,match,Screen 2,pevo7u,2,timedOut,,1004.9230000000534,1004.0390000000043,1004.9230000000534,1004.9230000000534,1004.0390000000043,1004.9230000000534,0,1004.9230000000534,0,0,,Time Limit,screen,0,screen,match,Call 1.jpg,13.mp4,different,same,target,call,13,1,,,
32,1696489753053,05/10/2023 07:09:13,1696500553053,3,05/10/2023 13:09:13,142916,11,task-tfo5,,32042153,jsvsplhz,9476391,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 109.0.0.0,1366x768,1366x625,Accepted,,0,rsl experimental trials list2,17,rsl_list2,Not on phone,,Accepted,rsl_list2,6,match,Screen 3,z1irvt,3,timedOut,,300.8840000000491,299.8950000000041,300.8840000000491,300.8840000000491,299.8950000000041,300.8840000000491,1,300.8840000000491,0,0,,Time Limit,screen,0,screen,match,Call 1.jpg,13.mp4,different,same,target,call,13,1,,,
33,1696489753105,05/10/2023 07:09:13,1696500553105,3,05/10/2023 13:09:13,142916,11,task-tfo5,,32042153,jsvsplhz,9476391,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 109.0.0.0,1366x768,1366x625,Accepted,,0,rsl experimental trials list2,17,rsl_list2,Not on phone,,Accepted,rsl_list2,6,match,Screen 4,9wlxvm,4,info,Video start,50.24800000004505,50.11500000000524,50.24800000004505,50.24800000004505,50.11500000000524,50.24800000004505,1,50.24800000004505,0,0,,Video,video,1,object-178,match,Call 1.jpg,13.mp4,different,same,target,call,13,1,,,
34,1696489759470,05/10/2023 07:09:19,1696500559470,3,05/10/2023 13:09:19,142916,11,task-tfo5,,32042153,jsvsplhz,9476391,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 109.0.0.0,1366x768,1366x625,Accepted,,0,rsl experimental trials list2,17,rsl_list2,Not on phone,,Accepted,rsl_list2,6,match,Screen 4,9wlxvm,4,response,nomatch,6418.289000000092,6411,6418.289000000092,6418.289000000092,6411,6418.289000000092,1,6418.289000000092,0,0,,Keyboard Response,Keyboard Response,6,object-183,match,Call 1.jpg,13.mp4,different,same,target,call,13,1,,,
35,1696489759969,05/10/2023 07:09:19,1696500559969,3,05/10/2023 13:09:19,142916,11,task-tfo5,,32042153,jsvsplhz,9476391,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 109.0.0.0,1366x768,1366x625,Accepted,,0,rsl experimental trials list2,17,rsl_list2,Not on phone,,Accepted,rsl_list2,7,match,Screen 1,nmofvp,1,continue,,505.63000000000466,505.63000000000466,505.63000000000466,505.63000000000466,505.63000000000466,505.63000000000466,1,505.63000000000466,0,0,,Fixation Timing,,1,object-167,match,Salt 2.jpg,10.mp4,same,same,target,salt,10,1,,,
36,1696489760972,05/10/2023 07:09:20,1696500560972,3,05/10/2023 13:09:20,142916,11,task-tfo5,,32042153,jsvsplhz,9476391,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 109.0.0.0,1366x768,1366x625,Accepted,,0,rsl experimental trials list2,17,rsl_list2,Not on phone,,Accepted,rsl_list2,7,match,Screen 2,pevo7u,2,timedOut,,1003.8590000000404,1002.2909999999974,1003.8590000000404,1003.8590000000404,1002.2909999999974,1003.8590000000404,0,1003.8590000000404,0,0,,Time Limit,screen,0,screen,match,Salt 2.jpg,10.mp4,same,same,target,salt,10,1,,,
37,1696489761272,05/10/2023 07:09:21,1696500561272,3,05/10/2023 13:09:21,142916,11,task-tfo5,,32042153,jsvsplhz,9476391,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 109.0.0.0,1366x768,1366x625,Accepted,,0,rsl experimental trials list2,17,rsl_list2,Not on phone,,Accepted,rsl_list2,7,match,Screen 3,z1irvt,3,timedOut,,301.56800000004296,300.7079999999987,301.56800000004296,301.56800000004296,300.7079999999987,301.56800000004296,1,301.56800000004296,0,0,,Time Limit,screen,0,screen,match,Salt 2.jpg,10.mp4,same,same,target,salt,10,1,,,
38,1696489761317,05/10/2023 07:09:21,1696500561317,3,05/10/2023 13:09:21,142916,11,task-tfo5,,32042153,jsvsplhz,9476391,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 109.0.0.0,1366x768,1366x625,Accepted,,0,rsl experimental trials list2,17,rsl_list2,Not on phone,,Accepted,rsl_list2,7,match,Screen 4,9wlxvm,4,info,Video start,45.45900000013737,33.411999999996624,45.45900000013737,45.45900000013737,33.411999999996624,45.45900000013737,1,45.45900000013737,0,0,,Video,video,1,object-178,match,Salt 2.jpg,10.mp4,same,same,target,salt,10,1,,,
39,1696489764756,05/10/2023 07:09:24,1696500564756,3,05/10/2023 13:09:24,142916,11,task-tfo5,,32042153,jsvsplhz,9476391,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 109.0.0.0,1366x768,1366x625,Accepted,,0,rsl experimental trials list2,17,rsl_list2,Not on phone,,Accepted,rsl_list2,7,match,Screen 4,9wlxvm,4,response,match,3485.0599999999977,3474.9379999999946,3485.0599999999977,3485.0599999999977,3474.9379999999946,3485.0599999999977,1,3485.0599999999977,0,0,,Keyboard Response,Keyboard Response,6,object-183,match,Salt 2.jpg,10.mp4,same,same,target,salt,10,1,,,
40,1696489765247,05/10/2023 07:09:25,1696500565247,3,05/10/2023 13:09:25,142916,11,task-tfo5,,32042153,jsvsplhz,9476391,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 109.0.0.0,1366x768,1366x625,Accepted,,0,rsl experimental trials list2,17,rsl_list2,Not on phone,,Accepted,rsl_list2,1,nomatch,Screen 1,8mz8sc,1,continue,,500.08400000000256,500.08400000000256,500.08400000000256,500.08400000000256,500.08400000000256,500.08400000000256,1,500.08400000000256,0,0,,Fixation Timing,,1,object-186,nomatch,Pain 1.jpg,60.mp4,same,different,foil,na,60,1,,,
41,1696489766251,05/10/2023 07:09:26,1696500566251,3,05/10/2023 13:09:26,142916,11,task-tfo5,,32042153,jsvsplhz,9476391,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 109.0.0.0,1366x768,1366x625,Accepted,,0,rsl experimental trials list2,17,rsl_list2,Not on phone,,Accepted,rsl_list2,1,nomatch,Screen 2,zhfxqk,2,timedOut,,1004.9380000001402,1003.869000000006,1004.9380000001402,1004.9380000001402,1003.869000000006,1004.9380000001402,0,1004.9380000001402,0,0,,Time Limit,screen,0,screen,nomatch,Pain 1.jpg,60.mp4,same,different,foil,na,60,1,,,
42,1696489766551,05/10/2023 07:09:26,1696500566551,3,05/10/2023 13:09:26,142916,11,task-tfo5,,32042153,jsvsplhz,9476391,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 109.0.0.0,1366x768,1366x625,Accepted,,0,rsl experimental trials list2,17,rsl_list2,Not on phone,,Accepted,rsl_list2,1,nomatch,Screen 3,d73ena,3,timedOut,,301.0690000001341,300.2049999999872,301.0690000001341,301.0690000001341,300.2049999999872,301.0690000001341,1,301.0690000001341,0,0,,Time Limit,screen,0,screen,nomatch,Pain 1.jpg,60.mp4,same,different,foil,na,60,1,,,
43,1696489766604,05/10/2023 07:09:26,1696500566604,3,05/10/2023 13:09:26,142916,11,task-tfo5,,32042153,jsvsplhz,9476391,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 109.0.0.0,1366x768,1366x625,Accepted,,0,rsl experimental trials list2,17,rsl_list2,Not on phone,,Accepted,rsl_list2,1,nomatch,Screen 4,kfk7dt,4,info,Video start,50.13400000005378,50.11500000000524,50.13400000005378,50.13400000005378,50.11500000000524,50.13400000005378,0,50.13400000005378,0,0,,Video,video,1,object-204,nomatch,Pain 1.jpg,60.mp4,same,different,foil,na,60,1,,,
