Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-j45v,branch-cyxv,checkpoint-t1lc,checkpoint-isbn,Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: picture,Spreadsheet: video,Spreadsheet: condition,Spreadsheet: correct,Spreadsheet: trial,Spreadsheet: item,Spreadsheet: index,Spreadsheet: randomise_trials,Manipulation: Spreadsheet,Store: correct,Store: total
1,1696490851417,05/10/2023 07:27:31,1696501651417,3,05/10/2023 13:27:31,142916,11,task-tfo5,,32042974,ujinlwog,9476587,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.1,1440x900,1440x820,Accepted,,0,rsl experimental trials list2,17,rsl_list2,Not on phone,,Accepted,rsl_list2,,,,,,5,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,,,,,
2,1696490855887,05/10/2023 07:27:35,1696501655887,3,05/10/2023 13:27:35,142916,11,task-tfo5,,32042974,ujinlwog,9476587,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.1,1440x900,1440x820,Accepted,,0,rsl experimental trials list2,17,rsl_list2,Not on phone,,Accepted,rsl_list2,1,instructions,Screen 1,9upwou,1,info,Video start,3360.2842610005755,3332,3360.2842610005755,3360.2842610005755,3332,3360.2842610005755,1,3360.2842610005755,0,0,,Video,Experimental instructions,3,object-161,instructions,,,,,,,,,,,
3,1696490874461,05/10/2023 07:27:54,1696501674461,3,05/10/2023 13:27:54,142916,11,task-tfo5,,32042974,ujinlwog,9476587,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.1,1440x900,1440x820,Accepted,,0,rsl experimental trials list2,17,rsl_list2,Not on phone,,Accepted,rsl_list2,1,instructions,Screen 1,9upwou,1,continue,,21990,21967,21990,21990,21967,21990,1,21990,0,0,,Space To Continue,Continue Button,2,object-48,instructions,,,,,,,,,,,
4,1696490874464,05/10/2023 07:27:54,1696501674464,3,05/10/2023 13:27:54,142916,11,task-tfo5,,32042974,ujinlwog,9476587,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.1,1440x900,1440x820,Accepted,,0,rsl experimental trials list2,17,rsl_list2,Not on phone,,Accepted,rsl_list2,1,instructions,Screen 1,9upwou,1,continue,,21994,21967,21994,21994,21967,21994,1,21994,0,0,,Space To Continue,Continue Button,2,object-48,instructions,,,,,,,,,,,
5,1696490874938,05/10/2023 07:27:54,1696501674938,3,05/10/2023 13:27:54,142916,11,task-tfo5,,32042974,ujinlwog,9476587,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.1,1440x900,1440x820,Accepted,,0,rsl experimental trials list2,17,rsl_list2,Not on phone,,Accepted,rsl_list2,1,nomatch,Screen 1,8mz8sc,1,continue,,500,500,500,500,500,500,1,500,0,0,,Fixation Timing,,1,object-186,nomatch,Book 2.jpg,74.mp4,different,different,foil,na,74,1,,,
6,1696490875938,05/10/2023 07:27:55,1696501675938,3,05/10/2023 13:27:55,142916,11,task-tfo5,,32042974,ujinlwog,9476587,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.1,1440x900,1440x820,Accepted,,0,rsl experimental trials list2,17,rsl_list2,Not on phone,,Accepted,rsl_list2,1,nomatch,Screen 2,zhfxqk,2,timedOut,,1001,1000,1001,1001,1000,1001,0,1001,0,0,,Time Limit,screen,0,screen,nomatch,Book 2.jpg,74.mp4,different,different,foil,na,74,1,,,
7,1696490876238,05/10/2023 07:27:56,1696501676238,3,05/10/2023 13:27:56,142916,11,task-tfo5,,32042974,ujinlwog,9476587,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.1,1440x900,1440x820,Accepted,,0,rsl experimental trials list2,17,rsl_list2,Not on phone,,Accepted,rsl_list2,1,nomatch,Screen 3,d73ena,3,timedOut,,300,300,300,300,300,300,1,300,0,0,,Time Limit,screen,0,screen,nomatch,Book 2.jpg,74.mp4,different,different,foil,na,74,1,,,
8,1696490876497,05/10/2023 07:27:56,1696501676497,3,05/10/2023 13:27:56,142916,11,task-tfo5,,32042974,ujinlwog,9476587,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.1,1440x900,1440x820,Accepted,,0,rsl experimental trials list2,17,rsl_list2,Not on phone,,Accepted,rsl_list2,1,nomatch,Screen 4,kfk7dt,4,info,Video start,212.56090099812718,200,212.56090099812718,212.56090099812718,200,212.56090099812718,0,212.56090099812718,0,0,,Video,video,1,object-204,nomatch,Book 2.jpg,74.mp4,different,different,foil,na,74,1,,,
9,1696490879591,05/10/2023 07:27:59,1696501679591,3,05/10/2023 13:27:59,142916,11,task-tfo5,,32042974,ujinlwog,9476587,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.1,1440x900,1440x820,Accepted,,0,rsl experimental trials list2,17,rsl_list2,Not on phone,,Accepted,rsl_list2,1,nomatch,Screen 4,kfk7dt,4,response,nomatch,3354,3333,3354,3354,3333,3354,0,3354,0,0,,Keyboard Response,Keyboard Response,6,object-209,nomatch,Book 2.jpg,74.mp4,different,different,foil,na,74,1,,,
10,1696490880070,05/10/2023 07:28:00,1696501680070,3,05/10/2023 13:28:00,142916,11,task-tfo5,,32042974,ujinlwog,9476587,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.1,1440x900,1440x820,Accepted,,0,rsl experimental trials list2,17,rsl_list2,Not on phone,,Accepted,rsl_list2,1,match,Screen 1,nmofvp,1,continue,,500,500,500,500,500,500,1,500,0,0,,Fixation Timing,,1,object-167,match,Magazine 2.jpg,8.mp4,different,same,target,magazine,8,1,,,
