Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-j45v,branch-cyxv,checkpoint-t1lc,checkpoint-isbn,Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: picture,Spreadsheet: video,Spreadsheet: condition,Spreadsheet: correct,Spreadsheet: trial,Spreadsheet: item,Spreadsheet: index,Spreadsheet: randomise_trials,Manipulation: Spreadsheet,Store: correct,Store: total
1,1696749745435,08/10/2023 07:22:25,1696760545435,3,08/10/2023 13:22:25,142916,13,task-tfo5,,32094408,de08xpgq,9489076,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 117.0.0.0,1536x864,1536x715,Accepted,,0,rsl experimental trials list2,19,rsl_list2,Not on phone,,Accepted,rsl_list2,,,,,,5,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,,,,,
2,1696749748391,08/10/2023 07:22:28,1696760548391,3,08/10/2023 13:22:28,142916,13,task-tfo5,,32094408,de08xpgq,9489076,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 117.0.0.0,1536x864,1536x715,Accepted,,0,rsl experimental trials list2,19,rsl_list2,Not on phone,,Accepted,rsl_list2,1,instructions,Screen 1,9upwou,1,info,Video start,2003.8359999523173,1999.9940000000006,2003.8359999523173,2003.8359999523173,1999.9940000000006,2003.8359999523173,1,2003.8359999523173,0,0,,Video,Experimental instructions,3,object-161,instructions,,,,,,,,,,,
3,1696749770230,08/10/2023 07:22:50,1696760570230,3,08/10/2023 13:22:50,142916,13,task-tfo5,,32094408,de08xpgq,9489076,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 117.0.0.0,1536x864,1536x715,Accepted,,0,rsl experimental trials list2,19,rsl_list2,Not on phone,,Accepted,rsl_list2,1,instructions,Screen 1,9upwou,1,continue,,23847.380999999994,23830.538999999997,23847.380999999994,23847.380999999994,23830.538999999997,23847.380999999994,1,23847.380999999994,0,0,,Space To Continue,Continue Button,2,object-48,instructions,,,,,,,,,,,
4,1696749770236,08/10/2023 07:22:50,1696760570236,3,08/10/2023 13:22:50,142916,13,task-tfo5,,32094408,de08xpgq,9489076,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 117.0.0.0,1536x864,1536x715,Accepted,,0,rsl experimental trials list2,19,rsl_list2,Not on phone,,Accepted,rsl_list2,1,instructions,Screen 1,9upwou,1,continue,,23847.380999999994,23830.538999999997,23847.380999999994,23847.380999999994,23830.538999999997,23847.380999999994,1,23847.380999999994,0,0,,Space To Continue,Continue Button,2,object-48,instructions,,,,,,,,,,,
5,1696749770712,08/10/2023 07:22:50,1696760570712,3,08/10/2023 13:22:50,142916,13,task-tfo5,,32094408,de08xpgq,9489076,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 117.0.0.0,1536x864,1536x715,Accepted,,0,rsl experimental trials list2,19,rsl_list2,Not on phone,,Accepted,rsl_list2,1,nomatch,Screen 1,8mz8sc,1,continue,,499.9690000000046,499.9690000000046,499.9690000000046,499.9690000000046,499.9690000000046,499.9690000000046,1,499.9690000000046,0,0,,Fixation Timing,,1,object-186,nomatch,Come 2.jpg,62.mp4,same,different,foil,na,62,1,,,
6,1696749771712,08/10/2023 07:22:51,1696760571712,3,08/10/2023 13:22:51,142916,13,task-tfo5,,32094408,de08xpgq,9489076,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 117.0.0.0,1536x864,1536x715,Accepted,,0,rsl experimental trials list2,19,rsl_list2,Not on phone,,Accepted,rsl_list2,1,nomatch,Screen 2,zhfxqk,2,timedOut,,1000.5409999999974,999.7959999999948,1000.5409999999974,1000.5409999999974,999.7959999999948,1000.5409999999974,0,1000.5409999999974,0,0,,Time Limit,screen,0,screen,nomatch,Come 2.jpg,62.mp4,same,different,foil,na,62,1,,,
7,1696749772012,08/10/2023 07:22:52,1696760572012,3,08/10/2023 13:22:52,142916,13,task-tfo5,,32094408,de08xpgq,9489076,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 117.0.0.0,1536x864,1536x715,Accepted,,0,rsl experimental trials list2,19,rsl_list2,Not on phone,,Accepted,rsl_list2,1,nomatch,Screen 3,d73ena,3,timedOut,,300.7450000000026,299.95900000000256,300.7450000000026,300.7450000000026,299.95900000000256,300.7450000000026,1,300.7450000000026,0,0,,Time Limit,screen,0,screen,nomatch,Come 2.jpg,62.mp4,same,different,foil,na,62,1,,,
8,1696749772051,08/10/2023 07:22:52,1696760572051,3,08/10/2023 13:22:52,142916,13,task-tfo5,,32094408,de08xpgq,9489076,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 117.0.0.0,1536x864,1536x715,Accepted,,0,rsl experimental trials list2,19,rsl_list2,Not on phone,,Accepted,rsl_list2,1,nomatch,Screen 4,kfk7dt,4,info,Video start,39.98700000000006,33.072000000000116,39.98700000000006,39.98700000000006,33.072000000000116,39.98700000000006,0,39.98700000000006,0,0,,Video,video,1,object-204,nomatch,Come 2.jpg,62.mp4,same,different,foil,na,62,1,,,
9,1696749775186,08/10/2023 07:22:55,1696760575186,3,08/10/2023 13:22:55,142916,13,task-tfo5,,32094408,de08xpgq,9489076,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 117.0.0.0,1536x864,1536x715,Accepted,,0,rsl experimental trials list2,19,rsl_list2,Not on phone,,Accepted,rsl_list2,1,nomatch,Screen 4,kfk7dt,4,response,nomatch,3174.786,3166.252999999997,3174.786,3174.786,3166.252999999997,3174.786,0,3174.786,0,0,,Keyboard Response,Keyboard Response,6,object-209,nomatch,Come 2.jpg,62.mp4,same,different,foil,na,62,1,,,
10,1696749775678,08/10/2023 07:22:55,1696760575678,3,08/10/2023 13:22:55,142916,13,task-tfo5,,32094408,de08xpgq,9489076,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 117.0.0.0,1536x864,1536x715,Accepted,,0,rsl experimental trials list2,19,rsl_list2,Not on phone,,Accepted,rsl_list2,1,match,Screen 1,nmofvp,1,continue,,499.95700000000215,499.95700000000215,499.95700000000215,499.95700000000215,499.95700000000215,499.95700000000215,1,499.95700000000215,0,0,,Fixation Timing,,1,object-167,match,Boy 1.jpg,27.mp4,different,same,target,boy,27,1,,,
