Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-j45v,branch-cyxv,checkpoint-t1lc,checkpoint-isbn,Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: picture,Spreadsheet: video,Spreadsheet: condition,Spreadsheet: correct,Spreadsheet: trial,Spreadsheet: item,Spreadsheet: index,Spreadsheet: randomise_trials,Manipulation: Spreadsheet,Store: correct,Store: total
1,1696577667381,06/10/2023 07:34:27,1696588467381,3,06/10/2023 13:34:27,142916,13,task-3k5q,,32064137,qmm3prwy,9482266,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Opera 101.0.0.0,1440x900,1432x679,Accepted,,0,rsl experimental trials list1,26,rsl_list1,Not on phone,,Accepted,rsl_list1,,,,,,5,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,,,,,
2,1696577670178,06/10/2023 07:34:30,1696588470178,3,06/10/2023 13:34:30,142916,13,task-3k5q,,32064137,qmm3prwy,9482266,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Opera 101.0.0.0,1440x900,1432x679,Accepted,,0,rsl experimental trials list1,26,rsl_list1,Not on phone,,Accepted,rsl_list1,1,instructions,Screen 1,9upwou,1,info,Video start,2083.249999999999,2066.583999999999,2083.249999999999,2083.249999999999,2066.583999999999,2083.249999999999,1,2083.249999999999,0,0,,Video,Experimental instructions,3,object-161,instructions,,,,,,,,,,,
3,1696577688326,06/10/2023 07:34:48,1696588488326,3,06/10/2023 13:34:48,142916,13,task-3k5q,,32064137,qmm3prwy,9482266,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Opera 101.0.0.0,1440x900,1432x679,Accepted,,0,rsl experimental trials list1,26,rsl_list1,Not on phone,,Accepted,rsl_list1,1,instructions,Screen 1,9upwou,1,continue,,20416.374999999996,20399.709,20416.374999999996,20416.374999999996,20399.709,20416.374999999996,1,20416.374999999996,0,0,,Space To Continue,Continue Button,2,object-48,instructions,,,,,,,,,,,
4,1696577688329,06/10/2023 07:34:48,1696588488329,3,06/10/2023 13:34:48,142916,13,task-3k5q,,32064137,qmm3prwy,9482266,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Opera 101.0.0.0,1440x900,1432x679,Accepted,,0,rsl experimental trials list1,26,rsl_list1,Not on phone,,Accepted,rsl_list1,1,instructions,Screen 1,9upwou,1,continue,,20416.374999999996,20399.709,20416.374999999996,20416.374999999996,20399.709,20416.374999999996,1,20416.374999999996,0,0,,Space To Continue,Continue Button,2,object-48,instructions,,,,,,,,,,,
5,1696577688809,06/10/2023 07:34:48,1696588488809,3,06/10/2023 13:34:48,142916,13,task-3k5q,,32064137,qmm3prwy,9482266,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Opera 101.0.0.0,1440x900,1432x679,Accepted,,0,rsl experimental trials list1,26,rsl_list1,Not on phone,,Accepted,rsl_list1,1,match,Screen 1,nmofvp,1,continue,,499.9800000000032,499.9800000000032,499.9800000000032,499.9800000000032,499.9800000000032,499.9800000000032,1,499.9800000000032,0,0,,Fixation Timing,,1,object-167,match,Change 1.jpg,34.mp4,different,same,target,change,34,1,,,
6,1696577689812,06/10/2023 07:34:49,1696588489812,3,06/10/2023 13:34:49,142916,13,task-3k5q,,32064137,qmm3prwy,9482266,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Opera 101.0.0.0,1440x900,1432x679,Accepted,,0,rsl experimental trials list1,26,rsl_list1,Not on phone,,Accepted,rsl_list1,1,match,Screen 2,pevo7u,2,timedOut,,1004.1769999761564,999.9599999999991,1004.1769999761564,1004.1769999761564,999.9599999999991,1004.1769999761564,0,1004.1769999761564,0,0,,Time Limit,screen,0,screen,match,Change 1.jpg,34.mp4,different,same,target,change,34,1,,,
7,1696577690111,06/10/2023 07:34:50,1696588490111,3,06/10/2023 13:34:50,142916,13,task-3k5q,,32064137,qmm3prwy,9482266,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Opera 101.0.0.0,1440x900,1432x679,Accepted,,0,rsl experimental trials list1,26,rsl_list1,Not on phone,,Accepted,rsl_list1,1,match,Screen 3,z1irvt,3,timedOut,,303.51699998807817,299.98799999999756,303.51699998807817,303.51699998807817,299.98799999999756,303.51699998807817,1,303.51699998807817,0,0,,Time Limit,screen,0,screen,match,Change 1.jpg,34.mp4,different,same,target,change,34,1,,,
8,1696577690410,06/10/2023 07:34:50,1696588490410,3,06/10/2023 13:34:50,142916,13,task-3k5q,,32064137,qmm3prwy,9482266,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Opera 101.0.0.0,1440x900,1432x679,Accepted,,0,rsl experimental trials list1,26,rsl_list1,Not on phone,,Accepted,rsl_list1,1,match,Screen 4,9wlxvm,4,info,Video start,80.44800000000396,63.520000000004075,80.44800000000396,80.44800000000396,63.520000000004075,80.44800000000396,1,80.44800000000396,0,0,,Video,video,1,object-178,match,Change 1.jpg,34.mp4,different,same,target,change,34,1,,,
9,1696577694103,06/10/2023 07:34:54,1696588494103,3,06/10/2023 13:34:54,142916,13,task-3k5q,,32064137,qmm3prwy,9482266,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Opera 101.0.0.0,1440x900,1432x679,Accepted,,0,rsl experimental trials list1,26,rsl_list1,Not on phone,,Accepted,rsl_list1,1,match,Screen 4,9wlxvm,4,response,match,3995.3290000000015,3983.4360000000015,3995.3290000000015,3995.3290000000015,3983.4360000000015,3995.3290000000015,1,3995.3290000000015,0,0,,Keyboard Response,Keyboard Response,6,object-183,match,Change 1.jpg,34.mp4,different,same,target,change,34,1,,,
10,1696577694593,06/10/2023 07:34:54,1696588494593,3,06/10/2023 13:34:54,142916,13,task-3k5q,,32064137,qmm3prwy,9482266,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Opera 101.0.0.0,1440x900,1432x679,Accepted,,0,rsl experimental trials list1,26,rsl_list1,Not on phone,,Accepted,rsl_list1,2,match,Screen 1,nmofvp,1,continue,,499.97999999999956,499.97999999999956,499.97999999999956,499.97999999999956,499.97999999999956,499.97999999999956,1,499.97999999999956,0,0,,Fixation Timing,,1,object-167,match,Try 1.jpg,22.mp4,different,same,target,try,22,1,,,
