Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-j45v,branch-cyxv,checkpoint-t1lc,checkpoint-isbn,Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: picture,Spreadsheet: video,Spreadsheet: condition,Spreadsheet: correct,Spreadsheet: trial,Spreadsheet: item,Spreadsheet: index,Spreadsheet: randomise_trials,Manipulation: Spreadsheet,Store: correct,Store: total
1,1696262072633,02/10/2023 15:54:32,1696272872633,3,02/10/2023 21:54:32,142916,11,task-tfo5,,31985755,lhtqhw1m,9458431,,complete,,,computer,Desktop or Laptop,Windows 10,Yandex 23.9.0.2271,1920x1080,1872x956,Accepted,,0,rsl experimental trials list2,17,rsl_list2,Not on phone,,Accepted,rsl_list2,,,,,,5,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,,,,,
2,1696262075149,02/10/2023 15:54:35,1696272875149,3,02/10/2023 21:54:35,142916,11,task-tfo5,,31985755,lhtqhw1m,9458431,,complete,,,computer,Desktop or Laptop,Windows 10,Yandex 23.9.0.2271,1920x1080,1872x956,Accepted,,0,rsl experimental trials list2,17,rsl_list2,Not on phone,,Accepted,rsl_list2,1,instructions,Screen 1,9upwou,1,info,Video start,2003.8530000000005,1998.0720000000001,2003.8530000000005,2003.8530000000005,1998.0720000000001,2003.8530000000005,1,2003.8530000000005,0,0,,Video,Experimental instructions,3,object-161,instructions,,,,,,,,,,,
3,1696262094103,02/10/2023 15:54:54,1696272894103,3,02/10/2023 21:54:54,142916,11,task-tfo5,,31985755,lhtqhw1m,9458431,,complete,,,computer,Desktop or Laptop,Windows 10,Yandex 23.9.0.2271,1920x1080,1872x956,Accepted,,0,rsl experimental trials list2,17,rsl_list2,Not on phone,,Accepted,rsl_list2,1,instructions,Screen 1,9upwou,1,continue,,20961.52599995232,20947.144,20961.52599995232,20961.52599995232,20947.144,20961.52599995232,1,20961.52599995232,0,0,,Space To Continue,Continue Button,2,object-48,instructions,,,,,,,,,,,
4,1696262094108,02/10/2023 15:54:54,1696272894108,3,02/10/2023 21:54:54,142916,11,task-tfo5,,31985755,lhtqhw1m,9458431,,complete,,,computer,Desktop or Laptop,Windows 10,Yandex 23.9.0.2271,1920x1080,1872x956,Accepted,,0,rsl experimental trials list2,17,rsl_list2,Not on phone,,Accepted,rsl_list2,1,instructions,Screen 1,9upwou,1,continue,,20967.12599985695,20947.144,20967.12599985695,20967.12599985695,20947.144,20967.12599985695,1,20967.12599985695,0,0,,Space To Continue,Continue Button,2,object-48,instructions,,,,,,,,,,,
5,1696262094589,02/10/2023 15:54:54,1696272894589,3,02/10/2023 21:54:54,142916,11,task-tfo5,,31985755,lhtqhw1m,9458431,,complete,,,computer,Desktop or Laptop,Windows 10,Yandex 23.9.0.2271,1920x1080,1872x956,Accepted,,0,rsl experimental trials list2,17,rsl_list2,Not on phone,,Accepted,rsl_list2,1,match,Screen 1,nmofvp,1,continue,,499.69800000000396,499.69800000000396,499.69800000000396,499.69800000000396,499.69800000000396,499.69800000000396,1,499.69800000000396,0,0,,Fixation Timing,,1,object-167,match,School 2.jpg,11.mp4,same,same,target,school,11,1,,,
6,1696262095590,02/10/2023 15:54:55,1696272895590,3,02/10/2023 21:54:55,142916,11,task-tfo5,,31985755,lhtqhw1m,9458431,,complete,,,computer,Desktop or Laptop,Windows 10,Yandex 23.9.0.2271,1920x1080,1872x956,Accepted,,0,rsl experimental trials list2,17,rsl_list2,Not on phone,,Accepted,rsl_list2,1,match,Screen 2,pevo7u,2,timedOut,,1002.1839999523145,999,1002.1839999523145,1002.1839999523145,999,1002.1839999523145,0,1002.1839999523145,0,0,,Time Limit,screen,0,screen,match,School 2.jpg,11.mp4,same,same,target,school,11,1,,,
7,1696262095889,02/10/2023 15:54:55,1696272895889,3,02/10/2023 21:54:55,142916,11,task-tfo5,,31985755,lhtqhw1m,9458431,,complete,,,computer,Desktop or Laptop,Windows 10,Yandex 23.9.0.2271,1920x1080,1872x956,Accepted,,0,rsl experimental trials list2,17,rsl_list2,Not on phone,,Accepted,rsl_list2,1,match,Screen 3,z1irvt,3,timedOut,,301.78399985694705,300.1949999999997,301.78399985694705,301.78399985694705,300.1949999999997,301.78399985694705,1,301.78399985694705,0,0,,Time Limit,screen,0,screen,match,School 2.jpg,11.mp4,same,same,target,school,11,1,,,
8,1696262095957,02/10/2023 15:54:55,1696272895957,3,02/10/2023 21:54:55,142916,11,task-tfo5,,31985755,lhtqhw1m,9458431,,complete,,,computer,Desktop or Laptop,Windows 10,Yandex 23.9.0.2271,1920x1080,1872x956,Accepted,,0,rsl experimental trials list2,17,rsl_list2,Not on phone,,Accepted,rsl_list2,1,match,Screen 4,9wlxvm,4,info,Video start,65.91900000000169,65.91900000000169,65.91900000000169,65.91900000000169,65.91900000000169,65.91900000000169,1,65.91900000000169,0,0,,Video,video,1,object-178,match,School 2.jpg,11.mp4,same,same,target,school,11,1,,,
9,1696262107532,02/10/2023 15:55:07,1696272907532,3,02/10/2023 21:55:07,142916,11,task-tfo5,,31985755,lhtqhw1m,9458431,,complete,,,computer,Desktop or Laptop,Windows 10,Yandex 23.9.0.2271,1920x1080,1872x956,Accepted,,0,rsl experimental trials list2,17,rsl_list2,Not on phone,,Accepted,rsl_list2,1,match,Screen 4,9wlxvm,4,response,nomatch,11644.988999952315,11621.922999999995,11644.988999952315,11644.988999952315,11621.922999999995,11644.988999952315,1,11644.988999952315,0,0,,Keyboard Response,Keyboard Response,6,object-183,match,School 2.jpg,11.mp4,same,same,target,school,11,1,,,
10,1696262108010,02/10/2023 15:55:08,1696272908010,3,02/10/2023 21:55:08,142916,11,task-tfo5,,31985755,lhtqhw1m,9458431,,complete,,,computer,Desktop or Laptop,Windows 10,Yandex 23.9.0.2271,1920x1080,1872x956,Accepted,,0,rsl experimental trials list2,17,rsl_list2,Not on phone,,Accepted,rsl_list2,2,match,Screen 1,nmofvp,1,continue,,499.75800000000163,499.75800000000163,499.75800000000163,499.75800000000163,499.75800000000163,499.75800000000163,1,499.75800000000163,0,0,,Fixation Timing,,1,object-167,match,Cigar 1.jpg,30.mp4,different,same,target,cigar,30,1,,,
