Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-j45v,branch-cyxv,checkpoint-t1lc,checkpoint-isbn,Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: picture,Spreadsheet: video,Spreadsheet: condition,Spreadsheet: correct,Spreadsheet: trial,Spreadsheet: item,Spreadsheet: index,Spreadsheet: randomise_trials,Manipulation: Spreadsheet,Store: correct,Store: total
1,1696514305436,05/10/2023 13:58:25,1696525105436,3,05/10/2023 19:58:25,142916,11,task-tfo5,,32052696,s7i8ryes,9479813,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 117.0.0.0,1440x900,1440x815,Accepted,,0,rsl experimental trials list2,17,rsl_list2,Not on phone,,Accepted,rsl_list2,,,,,,5,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,,,,,
2,1696514310046,05/10/2023 13:58:30,1696525110046,3,05/10/2023 19:58:30,142916,11,task-tfo5,,32052696,s7i8ryes,9479813,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 117.0.0.0,1440x900,1440x815,Accepted,,0,rsl experimental trials list2,17,rsl_list2,Not on phone,,Accepted,rsl_list2,1,instructions,Screen 1,9upwou,1,info,Video start,2102.3710000014908,2099.91599999999,2102.3710000014908,2102.3710000014908,2099.91599999999,2102.3710000014908,1,2102.3710000014908,0,0,,Video,Experimental instructions,3,object-161,instructions,,,,,,,,,,,
3,1696514312032,05/10/2023 13:58:32,1696525112032,3,05/10/2023 19:58:32,142916,11,task-tfo5,,32052696,s7i8ryes,9479813,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 117.0.0.0,1440x900,1440x815,Accepted,,0,rsl experimental trials list2,17,rsl_list2,Not on phone,,Accepted,rsl_list2,1,instructions,Screen 1,9upwou,1,continue,,4258.93799999851,4250.334000000003,4258.93799999851,4258.93799999851,4250.334000000003,4258.93799999851,1,4258.93799999851,0,0,,Space To Continue,Continue Button,2,object-48,instructions,,,,,,,,,,,
4,1696514312033,05/10/2023 13:58:32,1696525112033,3,05/10/2023 19:58:32,142916,11,task-tfo5,,32052696,s7i8ryes,9479813,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 117.0.0.0,1440x900,1440x815,Accepted,,0,rsl experimental trials list2,17,rsl_list2,Not on phone,,Accepted,rsl_list2,1,instructions,Screen 1,9upwou,1,continue,,4259.73799999553,4250.334000000003,4259.73799999553,4259.73799999553,4250.334000000003,4259.73799999553,1,4259.73799999553,0,0,,Space To Continue,Continue Button,2,object-48,instructions,,,,,,,,,,,
5,1696514312527,05/10/2023 13:58:32,1696525112527,3,05/10/2023 19:58:32,142916,11,task-tfo5,,32052696,s7i8ryes,9479813,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 117.0.0.0,1440x900,1440x815,Accepted,,0,rsl experimental trials list2,17,rsl_list2,Not on phone,,Accepted,rsl_list2,1,match,Screen 1,nmofvp,1,continue,,499.9799999999959,499.9799999999959,499.9799999999959,499.9799999999959,499.9799999999959,499.9799999999959,1,499.9799999999959,0,0,,Fixation Timing,,1,object-167,match,School 2.jpg,11.mp4,different,same,target,school,11,1,,,
6,1696514313525,05/10/2023 13:58:33,1696525113525,3,05/10/2023 19:58:33,142916,11,task-tfo5,,32052696,s7i8ryes,9479813,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 117.0.0.0,1440x900,1440x815,Accepted,,0,rsl experimental trials list2,17,rsl_list2,Not on phone,,Accepted,rsl_list2,1,match,Screen 2,pevo7u,2,timedOut,,1001.0239999970217,999.9599999999991,1001.0239999970217,1001.0239999970217,999.9599999999991,1001.0239999970217,0,1001.0239999970217,0,0,,Time Limit,screen,0,screen,match,School 2.jpg,11.mp4,different,same,target,school,11,1,,,
7,1696514313825,05/10/2023 13:58:33,1696525113825,3,05/10/2023 19:58:33,142916,11,task-tfo5,,32052696,s7i8ryes,9479813,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 117.0.0.0,1440x900,1440x815,Accepted,,0,rsl experimental trials list2,17,rsl_list2,Not on phone,,Accepted,rsl_list2,1,match,Screen 3,z1irvt,3,timedOut,,301.36400000149297,299.98800000000483,301.36400000149297,301.36400000149297,299.98800000000483,301.36400000149297,1,301.36400000149297,0,0,,Time Limit,screen,0,screen,match,School 2.jpg,11.mp4,different,same,target,school,11,1,,,
8,1696514313853,05/10/2023 13:58:33,1696525113853,3,05/10/2023 19:58:33,142916,11,task-tfo5,,32052696,s7i8ryes,9479813,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 117.0.0.0,1440x900,1440x815,Accepted,,0,rsl experimental trials list2,17,rsl_list2,Not on phone,,Accepted,rsl_list2,1,match,Screen 4,9wlxvm,4,info,Video start,29.243000001488138,16.66599999999744,29.243000001488138,29.243000001488138,16.66599999999744,29.243000001488138,1,29.243000001488138,0,0,,Video,video,1,object-178,match,School 2.jpg,11.mp4,different,same,target,school,11,1,,,
9,1696514316273,05/10/2023 13:58:36,1696525116273,3,05/10/2023 19:58:36,142916,11,task-tfo5,,32052696,s7i8ryes,9479813,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 117.0.0.0,1440x900,1440x815,Accepted,,0,rsl experimental trials list2,17,rsl_list2,Not on phone,,Accepted,rsl_list2,1,match,Screen 4,9wlxvm,4,response,match,2449.9019999999946,2433.235999999997,2449.9019999999946,2449.9019999999946,2433.235999999997,2449.9019999999946,1,2449.9019999999946,0,0,,Keyboard Response,Keyboard Response,6,object-183,match,School 2.jpg,11.mp4,different,same,target,school,11,1,,,
10,1696514316760,05/10/2023 13:58:36,1696525116760,3,05/10/2023 19:58:36,142916,11,task-tfo5,,32052696,s7i8ryes,9479813,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 117.0.0.0,1440x900,1440x815,Accepted,,0,rsl experimental trials list2,17,rsl_list2,Not on phone,,Accepted,rsl_list2,1,nomatch,Screen 1,8mz8sc,1,continue,,499.9800000000032,499.9800000000032,499.9800000000032,499.9800000000032,499.9800000000032,499.9800000000032,1,499.9800000000032,0,0,,Fixation Timing,,1,object-186,nomatch,Storage 2.jpg,73.mp4,different,different,foil,na,73,1,,,
