Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-j45v,branch-cyxv,checkpoint-t1lc,checkpoint-isbn,Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: picture,Spreadsheet: video,Spreadsheet: condition,Spreadsheet: correct,Spreadsheet: trial,Spreadsheet: item,Spreadsheet: index,Spreadsheet: randomise_trials,Manipulation: Spreadsheet,Store: correct,Store: total
1,1696424030194,04/10/2023 12:53:50,1696434830194,3,04/10/2023 18:53:50,142916,11,task-tfo5,,32030656,96dnyyio,9472740,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 117.0.2045.47,1920x1080,1872x958,Accepted,,0,rsl experimental trials list2,17,rsl_list2,Not on phone,,Accepted,rsl_list2,,,,,,5,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,,,,,
2,1696424033205,04/10/2023 12:53:53,1696434833205,3,04/10/2023 18:53:53,142916,11,task-tfo5,,32030656,96dnyyio,9472740,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 117.0.2045.47,1920x1080,1872x958,Accepted,,0,rsl experimental trials list2,17,rsl_list2,Not on phone,,Accepted,rsl_list2,1,instructions,Screen 1,9upwou,1,info,Video start,2075.605000000025,2075.605000000025,2075.605000000025,2075.605000000025,2075.605000000025,2075.605000000025,1,2075.605000000025,0,0,,Video,Experimental instructions,3,object-161,instructions,,,,,,,,,,,
3,1696424051897,04/10/2023 12:54:11,1696434851897,3,04/10/2023 18:54:11,142916,11,task-tfo5,,32030656,96dnyyio,9472740,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 117.0.2045.47,1920x1080,1872x958,Accepted,,0,rsl experimental trials list2,17,rsl_list2,Not on phone,,Accepted,rsl_list2,1,instructions,Screen 1,9upwou,1,continue,,20963.40799999702,20958.857000000004,20963.40799999702,20963.40799999702,20958.857000000004,20963.40799999702,1,20963.40799999702,0,0,,Space To Continue,Continue Button,2,object-48,instructions,,,,,,,,,,,
4,1696424051898,04/10/2023 12:54:11,1696434851898,3,04/10/2023 18:54:11,142916,11,task-tfo5,,32030656,96dnyyio,9472740,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 117.0.2045.47,1920x1080,1872x958,Accepted,,0,rsl experimental trials list2,17,rsl_list2,Not on phone,,Accepted,rsl_list2,1,instructions,Screen 1,9upwou,1,continue,,20964.70799999404,20958.857000000004,20964.70799999404,20964.70799999404,20958.857000000004,20964.70799999404,1,20964.70799999404,0,0,,Space To Continue,Continue Button,2,object-48,instructions,,,,,,,,,,,
5,1696424052392,04/10/2023 12:54:12,1696434852392,3,04/10/2023 18:54:12,142916,11,task-tfo5,,32030656,96dnyyio,9472740,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 117.0.2045.47,1920x1080,1872x958,Accepted,,0,rsl experimental trials list2,17,rsl_list2,Not on phone,,Accepted,rsl_list2,1,nomatch,Screen 1,8mz8sc,1,continue,,499.92699999999604,499.92699999999604,499.92699999999604,499.92699999999604,499.92699999999604,499.92699999999604,1,499.92699999999604,0,0,,Fixation Timing,,1,object-186,nomatch,Sneeze 1.jpg,68.mp4,different,different,foil,na,68,1,,,
6,1696424053392,04/10/2023 12:54:13,1696434853392,3,04/10/2023 18:54:13,142916,11,task-tfo5,,32030656,96dnyyio,9472740,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 117.0.2045.47,1920x1080,1872x958,Accepted,,0,rsl experimental trials list2,17,rsl_list2,Not on phone,,Accepted,rsl_list2,1,nomatch,Screen 2,zhfxqk,2,timedOut,,1000.2239999910598,999.6010000000024,1000.2239999910598,1000.2239999910598,999.6010000000024,1000.2239999910598,0,1000.2239999910598,0,0,,Time Limit,screen,0,screen,nomatch,Sneeze 1.jpg,68.mp4,different,different,foil,na,68,1,,,
7,1696424053692,04/10/2023 12:54:13,1696434853692,3,04/10/2023 18:54:13,142916,11,task-tfo5,,32030656,96dnyyio,9472740,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 117.0.2045.47,1920x1080,1872x958,Accepted,,0,rsl experimental trials list2,17,rsl_list2,Not on phone,,Accepted,rsl_list2,1,nomatch,Screen 3,d73ena,3,timedOut,,300.42300000297837,298.52500000000146,300.42300000297837,300.42300000297837,298.52500000000146,300.42300000297837,1,300.42300000297837,0,0,,Time Limit,screen,0,screen,nomatch,Sneeze 1.jpg,68.mp4,different,different,foil,na,68,1,,,
8,1696424053967,04/10/2023 12:54:13,1696434853967,3,04/10/2023 18:54:13,142916,11,task-tfo5,,32030656,96dnyyio,9472740,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 117.0.2045.47,1920x1080,1872x958,Accepted,,0,rsl experimental trials list2,17,rsl_list2,Not on phone,,Accepted,rsl_list2,1,nomatch,Screen 4,kfk7dt,4,info,Video start,64.14499999105598,57.95499999988533,64.14499999105598,64.14499999105598,57.95499999988533,64.14499999105598,0,64.14499999105598,0,0,,Video,video,1,object-204,nomatch,Sneeze 1.jpg,68.mp4,different,different,foil,na,68,1,,,
9,1696424057170,04/10/2023 12:54:17,1696434857170,3,04/10/2023 18:54:17,142916,11,task-tfo5,,32030656,96dnyyio,9472740,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 117.0.2045.47,1920x1080,1872x958,Accepted,,0,rsl experimental trials list2,17,rsl_list2,Not on phone,,Accepted,rsl_list2,1,nomatch,Screen 4,kfk7dt,4,response,nomatch,3479.398000002977,3477.9159999999974,3479.398000002977,3479.398000002977,3477.9159999999974,3479.398000002977,0,3479.398000002977,0,0,,Keyboard Response,Keyboard Response,6,object-209,nomatch,Sneeze 1.jpg,68.mp4,different,different,foil,na,68,1,,,
10,1696424057668,04/10/2023 12:54:17,1696434857668,3,04/10/2023 18:54:17,142916,11,task-tfo5,,32030656,96dnyyio,9472740,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 117.0.2045.47,1920x1080,1872x958,Accepted,,0,rsl experimental trials list2,17,rsl_list2,Not on phone,,Accepted,rsl_list2,2,nomatch,Screen 1,8mz8sc,1,continue,,499.79999999999563,499.79999999999563,499.79999999999563,499.79999999999563,499.79999999999563,499.79999999999563,1,499.79999999999563,0,0,,Fixation Timing,,1,object-186,nomatch,Lose 2.jpg,89.mp4,same,different,foil,na,89,1,,,
11,1696424058668,04/10/2023 12:54:18,1696434858668,3,04/10/2023 18:54:18,142916,11,task-tfo5,,32030656,96dnyyio,9472740,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 117.0.2045.47,1920x1080,1872x958,Accepted,,0,rsl experimental trials list2,17,rsl_list2,Not on phone,,Accepted,rsl_list2,2,nomatch,Screen 2,zhfxqk,2,timedOut,,999.7819999970234,999.5020000000004,999.7819999970234,999.7819999970234,999.5020000000004,999.7819999970234,0,999.7819999970234,0,0,,Time Limit,screen,0,screen,nomatch,Lose 2.jpg,89.mp4,same,different,foil,na,89,1,,,
12,1696424058967,04/10/2023 12:54:18,1696434858967,3,04/10/2023 18:54:18,142916,11,task-tfo5,,32030656,96dnyyio,9472740,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 117.0.2045.47,1920x1080,1872x958,Accepted,,0,rsl experimental trials list2,17,rsl_list2,Not on phone,,Accepted,rsl_list2,2,nomatch,Screen 3,d73ena,3,timedOut,,298.9800000000032,298.70900000000256,298.9800000000032,298.9800000000032,298.70900000000256,298.9800000000032,1,298.9800000000032,0,0,,Time Limit,screen,0,screen,nomatch,Lose 2.jpg,89.mp4,same,different,foil,na,89,1,,,
13,1696424059249,04/10/2023 12:54:19,1696434859249,3,04/10/2023 18:54:19,142916,11,task-tfo5,,32030656,96dnyyio,9472740,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 117.0.2045.47,1920x1080,1872x958,Accepted,,0,rsl experimental trials list2,17,rsl_list2,Not on phone,,Accepted,rsl_list2,2,nomatch,Screen 4,kfk7dt,4,info,Video start,65.4319999970204,60.29199999991397,65.4319999970204,65.4319999970204,60.29199999991397,65.4319999970204,0,65.4319999970204,0,0,,Video,video,1,object-204,nomatch,Lose 2.jpg,89.mp4,same,different,foil,na,89,1,,,
14,1696424061801,04/10/2023 12:54:21,1696434861801,3,04/10/2023 18:54:21,142916,11,task-tfo5,,32030656,96dnyyio,9472740,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 117.0.2045.47,1920x1080,1872x958,Accepted,,0,rsl experimental trials list2,17,rsl_list2,Not on phone,,Accepted,rsl_list2,2,nomatch,Screen 4,kfk7dt,4,response,nomatch,2834.87099999404,2832.6200000000026,2834.87099999404,2834.87099999404,2832.6200000000026,2834.87099999404,0,2834.87099999404,0,0,,Keyboard Response,Keyboard Response,6,object-209,nomatch,Lose 2.jpg,89.mp4,same,different,foil,na,89,1,,,
15,1696424062299,04/10/2023 12:54:22,1696434862299,3,04/10/2023 18:54:22,142916,11,task-tfo5,,32030656,96dnyyio,9472740,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 117.0.2045.47,1920x1080,1872x958,Accepted,,0,rsl experimental trials list2,17,rsl_list2,Not on phone,,Accepted,rsl_list2,1,match,Screen 1,nmofvp,1,continue,,499.6559999999954,499.6559999999954,499.6559999999954,499.6559999999954,499.6559999999954,499.6559999999954,1,499.6559999999954,0,0,,Fixation Timing,,1,object-167,match,Frog 1.jpg,6.mp4,different,same,target,frog,6,1,,,
16,1696424063298,04/10/2023 12:54:23,1696434863298,3,04/10/2023 18:54:23,142916,11,task-tfo5,,32030656,96dnyyio,9472740,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 117.0.2045.47,1920x1080,1872x958,Accepted,,0,rsl experimental trials list2,17,rsl_list2,Not on phone,,Accepted,rsl_list2,1,match,Screen 2,pevo7u,2,timedOut,,999.8949999910619,999.6800000000003,999.8949999910619,999.8949999910619,999.6800000000003,999.8949999910619,0,999.8949999910619,0,0,,Time Limit,screen,0,screen,match,Frog 1.jpg,6.mp4,different,same,target,frog,6,1,,,
17,1696424063597,04/10/2023 12:54:23,1696434863597,3,04/10/2023 18:54:23,142916,11,task-tfo5,,32030656,96dnyyio,9472740,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 117.0.2045.47,1920x1080,1872x958,Accepted,,0,rsl experimental trials list2,17,rsl_list2,Not on phone,,Accepted,rsl_list2,1,match,Screen 3,z1irvt,3,timedOut,,298.71499999106163,298.497000000003,298.71499999106163,298.71499999106163,298.497000000003,298.71499999106163,1,298.71499999106163,0,0,,Time Limit,screen,0,screen,match,Frog 1.jpg,6.mp4,different,same,target,frog,6,1,,,
18,1696424063623,04/10/2023 12:54:23,1696434863623,3,04/10/2023 18:54:23,142916,11,task-tfo5,,32030656,96dnyyio,9472740,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 117.0.2045.47,1920x1080,1872x958,Accepted,,0,rsl experimental trials list2,17,rsl_list2,Not on phone,,Accepted,rsl_list2,1,match,Screen 4,9wlxvm,4,info,Video start,26.234999994038837,20.627999999996973,26.234999994038837,26.234999994038837,20.627999999996973,26.234999994038837,1,26.234999994038837,0,0,,Video,video,1,object-178,match,Frog 1.jpg,6.mp4,different,same,target,frog,6,1,,,
19,1696424066623,04/10/2023 12:54:26,1696434866623,3,04/10/2023 18:54:26,142916,11,task-tfo5,,32030656,96dnyyio,9472740,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 117.0.2045.47,1920x1080,1872x958,Accepted,,0,rsl experimental trials list2,17,rsl_list2,Not on phone,,Accepted,rsl_list2,1,match,Screen 4,9wlxvm,4,response,match,3026.417999994039,3019.7289999999994,3026.417999994039,3026.417999994039,3019.7289999999994,3026.417999994039,1,3026.417999994039,0,0,,Keyboard Response,Keyboard Response,6,object-183,match,Frog 1.jpg,6.mp4,different,same,target,frog,6,1,,,
20,1696424067117,04/10/2023 12:54:27,1696434867117,3,04/10/2023 18:54:27,142916,11,task-tfo5,,32030656,96dnyyio,9472740,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 117.0.2045.47,1920x1080,1872x958,Accepted,,0,rsl experimental trials list2,17,rsl_list2,Not on phone,,Accepted,rsl_list2,2,match,Screen 1,nmofvp,1,continue,,499.9190000000017,499.9190000000017,499.9190000000017,499.9190000000017,499.9190000000017,499.9190000000017,1,499.9190000000017,0,0,,Fixation Timing,,1,object-167,match,Come 1.jpg,14.mp4,different,same,target,come,14,1,,,
21,1696424068116,04/10/2023 12:54:28,1696434868116,3,04/10/2023 18:54:28,142916,11,task-tfo5,,32030656,96dnyyio,9472740,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 117.0.2045.47,1920x1080,1872x958,Accepted,,0,rsl experimental trials list2,17,rsl_list2,Not on phone,,Accepted,rsl_list2,2,match,Screen 2,pevo7u,2,timedOut,,999.969999997018,999.7489999999962,999.969999997018,999.969999997018,999.7489999999962,999.969999997018,0,999.969999997018,0,0,,Time Limit,screen,0,screen,match,Come 1.jpg,14.mp4,different,same,target,come,14,1,,,
22,1696424068415,04/10/2023 12:54:28,1696434868415,3,04/10/2023 18:54:28,142916,11,task-tfo5,,32030656,96dnyyio,9472740,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 117.0.2045.47,1920x1080,1872x958,Accepted,,0,rsl experimental trials list2,17,rsl_list2,Not on phone,,Accepted,rsl_list2,2,match,Screen 3,z1irvt,3,timedOut,,298.72099999702186,298.49900000000343,298.72099999702186,298.72099999702186,298.49900000000343,298.72099999702186,1,298.72099999702186,0,0,,Time Limit,screen,0,screen,match,Come 1.jpg,14.mp4,different,same,target,come,14,1,,,
23,1696424068440,04/10/2023 12:54:28,1696434868440,3,04/10/2023 18:54:28,142916,11,task-tfo5,,32030656,96dnyyio,9472740,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 117.0.2045.47,1920x1080,1872x958,Accepted,,0,rsl experimental trials list2,17,rsl_list2,Not on phone,,Accepted,rsl_list2,2,match,Screen 4,9wlxvm,4,info,Video start,25.043000002978893,20.639999999999418,25.043000002978893,25.043000002978893,20.639999999999418,25.043000002978893,1,25.043000002978893,0,0,,Video,video,1,object-178,match,Come 1.jpg,14.mp4,different,same,target,come,14,1,,,
24,1696424071971,04/10/2023 12:54:31,1696434871971,3,04/10/2023 18:54:31,142916,11,task-tfo5,,32030656,96dnyyio,9472740,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 117.0.2045.47,1920x1080,1872x958,Accepted,,0,rsl experimental trials list2,17,rsl_list2,Not on phone,,Accepted,rsl_list2,2,match,Screen 4,9wlxvm,4,response,match,3556.2219999970184,3554.6829999999973,3556.2219999970184,3556.2219999970184,3554.6829999999973,3556.2219999970184,1,3556.2219999970184,0,0,,Keyboard Response,Keyboard Response,6,object-183,match,Come 1.jpg,14.mp4,different,same,target,come,14,1,,,
