Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-j45v,branch-cyxv,checkpoint-t1lc,checkpoint-isbn,Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: picture,Spreadsheet: video,Spreadsheet: condition,Spreadsheet: correct,Spreadsheet: trial,Spreadsheet: item,Spreadsheet: index,Spreadsheet: randomise_trials,Manipulation: Spreadsheet,Store: correct,Store: total
1,1696873858606,09/10/2023 17:50:58,1696884658606,3,09/10/2023 23:50:58,142916,13,task-tfo5,,32121035,zah3exrn,9498014,,complete,,,computer,Desktop or Laptop,Windows 10,Yandex 23.9.1.1006,1920x1080,1872x932,Accepted,,0,rsl experimental trials list2,19,rsl_list2,Not on phone,,Accepted,rsl_list2,,,,,,5,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,,,,,
2,1696873861524,09/10/2023 17:51:01,1696884661524,3,09/10/2023 23:51:01,142916,13,task-tfo5,,32121035,zah3exrn,9498014,,complete,,,computer,Desktop or Laptop,Windows 10,Yandex 23.9.1.1006,1920x1080,1872x932,Accepted,,0,rsl experimental trials list2,19,rsl_list2,Not on phone,,Accepted,rsl_list2,1,instructions,Screen 1,9upwou,1,info,Video start,2004.3099999940428,2002.2610000000059,2004.3099999940428,2004.3099999940428,2002.2610000000059,2004.3099999940428,1,2004.3099999940428,0,0,,Video,Experimental instructions,3,object-161,instructions,,,,,,,,,,,
3,1696873882283,09/10/2023 17:51:22,1696884682283,3,09/10/2023 23:51:22,142916,13,task-tfo5,,32121035,zah3exrn,9498014,,complete,,,computer,Desktop or Laptop,Windows 10,Yandex 23.9.1.1006,1920x1080,1872x932,Accepted,,0,rsl experimental trials list2,19,rsl_list2,Not on phone,,Accepted,rsl_list2,1,instructions,Screen 1,9upwou,1,continue,,22765.155000011924,22756.087999999996,22765.155000011924,22765.155000011924,22756.087999999996,22765.155000011924,1,22765.155000011924,0,0,,Space To Continue,Continue Button,2,object-48,instructions,,,,,,,,,,,
4,1696873882285,09/10/2023 17:51:22,1696884682285,3,09/10/2023 23:51:22,142916,13,task-tfo5,,32121035,zah3exrn,9498014,,complete,,,computer,Desktop or Laptop,Windows 10,Yandex 23.9.1.1006,1920x1080,1872x932,Accepted,,0,rsl experimental trials list2,19,rsl_list2,Not on phone,,Accepted,rsl_list2,1,instructions,Screen 1,9upwou,1,continue,,22767.054999988082,22756.087999999996,22767.054999988082,22767.054999988082,22756.087999999996,22767.054999988082,1,22767.054999988082,0,0,,Space To Continue,Continue Button,2,object-48,instructions,,,,,,,,,,,
5,1696873882775,09/10/2023 17:51:22,1696884682775,3,09/10/2023 23:51:22,142916,13,task-tfo5,,32121035,zah3exrn,9498014,,complete,,,computer,Desktop or Laptop,Windows 10,Yandex 23.9.1.1006,1920x1080,1872x932,Accepted,,0,rsl experimental trials list2,19,rsl_list2,Not on phone,,Accepted,rsl_list2,1,match,Screen 1,nmofvp,1,continue,,500.47600000000966,500.47600000000966,500.47600000000966,500.47600000000966,500.47600000000966,500.47600000000966,1,500.47600000000966,0,0,,Fixation Timing,,1,object-167,match,Cabbage 1.jpg,1.mp4,same,same,target,cabbage,1,1,,,
6,1696873883776,09/10/2023 17:51:23,1696884683776,3,09/10/2023 23:51:23,142916,13,task-tfo5,,32121035,zah3exrn,9498014,,complete,,,computer,Desktop or Laptop,Windows 10,Yandex 23.9.1.1006,1920x1080,1872x932,Accepted,,0,rsl experimental trials list2,19,rsl_list2,Not on phone,,Accepted,rsl_list2,1,match,Screen 2,pevo7u,2,timedOut,,1001.9909999880765,1001.3800000000047,1001.9909999880765,1001.9909999880765,1001.3800000000047,1001.9909999880765,0,1001.9909999880765,0,0,,Time Limit,screen,0,screen,match,Cabbage 1.jpg,1.mp4,same,same,target,cabbage,1,1,,,
7,1696873884076,09/10/2023 17:51:24,1696884684076,3,09/10/2023 23:51:24,142916,13,task-tfo5,,32121035,zah3exrn,9498014,,complete,,,computer,Desktop or Laptop,Windows 10,Yandex 23.9.1.1006,1920x1080,1872x932,Accepted,,0,rsl experimental trials list2,19,rsl_list2,Not on phone,,Accepted,rsl_list2,1,match,Screen 3,z1irvt,3,timedOut,,300.4109999999928,299.86799999998766,300.4109999999928,300.4109999999928,299.86799999998766,300.4109999999928,1,300.4109999999928,0,0,,Time Limit,screen,0,screen,match,Cabbage 1.jpg,1.mp4,same,same,target,cabbage,1,1,,,
8,1696873884104,09/10/2023 17:51:24,1696884684104,3,09/10/2023 23:51:24,142916,13,task-tfo5,,32121035,zah3exrn,9498014,,complete,,,computer,Desktop or Laptop,Windows 10,Yandex 23.9.1.1006,1920x1080,1872x932,Accepted,,0,rsl experimental trials list2,19,rsl_list2,Not on phone,,Accepted,rsl_list2,1,match,Screen 4,9wlxvm,4,info,Video start,28.436000000005123,16.669999999998254,28.436000000005123,28.436000000005123,16.669999999998254,28.436000000005123,1,28.436000000005123,0,0,,Video,video,1,object-178,match,Cabbage 1.jpg,1.mp4,same,same,target,cabbage,1,1,,,
9,1696873888192,09/10/2023 17:51:28,1696884688192,3,09/10/2023 23:51:28,142916,13,task-tfo5,,32121035,zah3exrn,9498014,,complete,,,computer,Desktop or Laptop,Windows 10,Yandex 23.9.1.1006,1920x1080,1872x932,Accepted,,0,rsl experimental trials list2,19,rsl_list2,Not on phone,,Accepted,rsl_list2,1,match,Screen 4,9wlxvm,4,response,match,4116.242999988084,4104.284,4116.242999988084,4116.242999988084,4104.284,4116.242999988084,1,4116.242999988084,0,0,,Keyboard Response,Keyboard Response,6,object-183,match,Cabbage 1.jpg,1.mp4,same,same,target,cabbage,1,1,,,
10,1696873888681,09/10/2023 17:51:28,1696884688681,3,09/10/2023 23:51:28,142916,13,task-tfo5,,32121035,zah3exrn,9498014,,complete,,,computer,Desktop or Laptop,Windows 10,Yandex 23.9.1.1006,1920x1080,1872x932,Accepted,,0,rsl experimental trials list2,19,rsl_list2,Not on phone,,Accepted,rsl_list2,2,match,Screen 1,nmofvp,1,continue,,500.48300000000745,500.48300000000745,500.48300000000745,500.48300000000745,500.48300000000745,500.48300000000745,1,500.48300000000745,0,0,,Fixation Timing,,1,object-167,match,Beauty 1.jpg,25.mp4,different,same,target,beauty,25,1,,,
11,1696873889682,09/10/2023 17:51:29,1696884689682,3,09/10/2023 23:51:29,142916,13,task-tfo5,,32121035,zah3exrn,9498014,,complete,,,computer,Desktop or Laptop,Windows 10,Yandex 23.9.1.1006,1920x1080,1872x932,Accepted,,0,rsl experimental trials list2,19,rsl_list2,Not on phone,,Accepted,rsl_list2,2,match,Screen 2,pevo7u,2,timedOut,,1001.9759999880771,1001.3729999999923,1001.9759999880771,1001.9759999880771,1001.3729999999923,1001.9759999880771,0,1001.9759999880771,0,0,,Time Limit,screen,0,screen,match,Beauty 1.jpg,25.mp4,different,same,target,beauty,25,1,,,
12,1696873889982,09/10/2023 17:51:29,1696884689982,3,09/10/2023 23:51:29,142916,13,task-tfo5,,32121035,zah3exrn,9498014,,complete,,,computer,Desktop or Laptop,Windows 10,Yandex 23.9.1.1006,1920x1080,1872x932,Accepted,,0,rsl experimental trials list2,19,rsl_list2,Not on phone,,Accepted,rsl_list2,2,match,Screen 3,z1irvt,3,timedOut,,300.6029999880848,300.08200000000943,300.6029999880848,300.6029999880848,300.08200000000943,300.6029999880848,1,300.6029999880848,0,0,,Time Limit,screen,0,screen,match,Beauty 1.jpg,25.mp4,different,same,target,beauty,25,1,,,
13,1696873890008,09/10/2023 17:51:30,1696884690008,3,09/10/2023 23:51:30,142916,13,task-tfo5,,32121035,zah3exrn,9498014,,complete,,,computer,Desktop or Laptop,Windows 10,Yandex 23.9.1.1006,1920x1080,1872x932,Accepted,,0,rsl experimental trials list2,19,rsl_list2,Not on phone,,Accepted,rsl_list2,2,match,Screen 4,9wlxvm,4,info,Video start,26.223999999996273,16.347999999998137,26.223999999996273,26.223999999996273,16.347999999998137,26.223999999996273,1,26.223999999996273,0,0,,Video,video,1,object-178,match,Beauty 1.jpg,25.mp4,different,same,target,beauty,25,1,,,
14,1696873896392,09/10/2023 17:51:36,1696884696392,3,09/10/2023 23:51:36,142916,13,task-tfo5,,32121035,zah3exrn,9498014,,complete,,,computer,Desktop or Laptop,Windows 10,Yandex 23.9.1.1006,1920x1080,1872x932,Accepted,,0,rsl experimental trials list2,19,rsl_list2,Not on phone,,Accepted,rsl_list2,2,match,Screen 4,9wlxvm,4,response,match,6410.320999999996,6406.171000000002,6410.320999999996,6410.320999999996,6406.171000000002,6410.320999999996,1,6410.320999999996,0,0,,Keyboard Response,Keyboard Response,6,object-183,match,Beauty 1.jpg,25.mp4,different,same,target,beauty,25,1,,,
15,1696873896891,09/10/2023 17:51:36,1696884696891,3,09/10/2023 23:51:36,142916,13,task-tfo5,,32121035,zah3exrn,9498014,,complete,,,computer,Desktop or Laptop,Windows 10,Yandex 23.9.1.1006,1920x1080,1872x932,Accepted,,0,rsl experimental trials list2,19,rsl_list2,Not on phone,,Accepted,rsl_list2,1,nomatch,Screen 1,8mz8sc,1,continue,,500.6889999999985,500.6889999999985,500.6889999999985,500.6889999999985,500.6889999999985,500.6889999999985,1,500.6889999999985,0,0,,Fixation Timing,,1,object-186,nomatch,Doll 2.jpg,52.mp4,different,different,foil,na,52,1,,,
16,1696873897890,09/10/2023 17:51:37,1696884697890,3,09/10/2023 23:51:37,142916,13,task-tfo5,,32121035,zah3exrn,9498014,,complete,,,computer,Desktop or Laptop,Windows 10,Yandex 23.9.1.1006,1920x1080,1872x932,Accepted,,0,rsl experimental trials list2,19,rsl_list2,Not on phone,,Accepted,rsl_list2,1,nomatch,Screen 2,zhfxqk,2,timedOut,,1001.6609999880748,1000.9719999999943,1001.6609999880748,1001.6609999880748,1000.9719999999943,1001.6609999880748,0,1001.6609999880748,0,0,,Time Limit,screen,0,screen,nomatch,Doll 2.jpg,52.mp4,different,different,foil,na,52,1,,,
17,1696873898191,09/10/2023 17:51:38,1696884698191,3,09/10/2023 23:51:38,142916,13,task-tfo5,,32121035,zah3exrn,9498014,,complete,,,computer,Desktop or Laptop,Windows 10,Yandex 23.9.1.1006,1920x1080,1872x932,Accepted,,0,rsl experimental trials list2,19,rsl_list2,Not on phone,,Accepted,rsl_list2,1,nomatch,Screen 3,d73ena,3,timedOut,,300.88900000596186,300.05500000000757,300.88900000596186,300.88900000596186,300.05500000000757,300.88900000596186,1,300.88900000596186,0,0,,Time Limit,screen,0,screen,nomatch,Doll 2.jpg,52.mp4,different,different,foil,na,52,1,,,
18,1696873898216,09/10/2023 17:51:38,1696884698216,3,09/10/2023 23:51:38,142916,13,task-tfo5,,32121035,zah3exrn,9498014,,complete,,,computer,Desktop or Laptop,Windows 10,Yandex 23.9.1.1006,1920x1080,1872x932,Accepted,,0,rsl experimental trials list2,19,rsl_list2,Not on phone,,Accepted,rsl_list2,1,nomatch,Screen 4,kfk7dt,4,info,Video start,26.29999999999383,16.60099999999511,26.29999999999383,26.29999999999383,16.60099999999511,26.29999999999383,0,26.29999999999383,0,0,,Video,video,1,object-204,nomatch,Doll 2.jpg,52.mp4,different,different,foil,na,52,1,,,
19,1696873902352,09/10/2023 17:51:42,1696884702352,3,09/10/2023 23:51:42,142916,13,task-tfo5,,32121035,zah3exrn,9498014,,complete,,,computer,Desktop or Laptop,Windows 10,Yandex 23.9.1.1006,1920x1080,1872x932,Accepted,,0,rsl experimental trials list2,19,rsl_list2,Not on phone,,Accepted,rsl_list2,1,nomatch,Screen 4,kfk7dt,4,response,nomatch,4161.734000011915,4154.144,4161.734000011915,4161.734000011915,4154.144,4161.734000011915,0,4161.734000011915,0,0,,Keyboard Response,Keyboard Response,6,object-209,nomatch,Doll 2.jpg,52.mp4,different,different,foil,na,52,1,,,
20,1696873902846,09/10/2023 17:51:42,1696884702846,3,09/10/2023 23:51:42,142916,13,task-tfo5,,32121035,zah3exrn,9498014,,complete,,,computer,Desktop or Laptop,Windows 10,Yandex 23.9.1.1006,1920x1080,1872x932,Accepted,,0,rsl experimental trials list2,19,rsl_list2,Not on phone,,Accepted,rsl_list2,3,match,Screen 1,nmofvp,1,continue,,501.1079999999929,501.1079999999929,501.1079999999929,501.1079999999929,501.1079999999929,501.1079999999929,1,501.1079999999929,0,0,,Fixation Timing,,1,object-167,match,Watch 2.jpg,47.mp4,different,same,target,watch,47,1,,,
