Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-j45v,branch-cyxv,checkpoint-t1lc,checkpoint-isbn,Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: picture,Spreadsheet: video,Spreadsheet: condition,Spreadsheet: correct,Spreadsheet: trial,Spreadsheet: item,Spreadsheet: index,Spreadsheet: randomise_trials,Manipulation: Spreadsheet,Store: correct,Store: total
1,1696828646480,09/10/2023 05:17:26,1696839446480,3,09/10/2023 11:17:26,142916,13,task-3k5q,,32103181,ibqimzb1,9492137,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 117.0.2045.60,1920x1080,1834x1006,Accepted,,0,rsl experimental trials list1,26,rsl_list1,Not on phone,,Accepted,rsl_list1,,,,,,5,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,,,,,
2,1696828649349,09/10/2023 05:17:29,1696839449349,3,09/10/2023 11:17:29,142916,13,task-3k5q,,32103181,ibqimzb1,9492137,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 117.0.2045.60,1920x1080,1834x1006,Accepted,,0,rsl experimental trials list1,26,rsl_list1,Not on phone,,Accepted,rsl_list1,1,instructions,Screen 1,9upwou,1,info,Video start,2071.4410000007456,2064.9809999999898,2071.4410000007456,2071.4410000007456,2064.9809999999898,2071.4410000007456,1,2071.4410000007456,0,0,,Video,Experimental instructions,3,object-161,instructions,,,,,,,,,,,
3,1696828668026,09/10/2023 05:17:48,1696839468026,3,09/10/2023 11:17:48,142916,13,task-3k5q,,32103181,ibqimzb1,9492137,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 117.0.2045.60,1920x1080,1834x1006,Accepted,,0,rsl experimental trials list1,26,rsl_list1,Not on phone,,Accepted,rsl_list1,1,instructions,Screen 1,9upwou,1,continue,,20940.806000000746,20932.733,20940.806000000746,20940.806000000746,20932.733,20940.806000000746,1,20940.806000000746,0,0,,Space To Continue,Continue Button,2,object-48,instructions,,,,,,,,,,,
4,1696828668030,09/10/2023 05:17:48,1696839468030,3,09/10/2023 11:17:48,142916,13,task-3k5q,,32103181,ibqimzb1,9492137,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 117.0.2045.60,1920x1080,1834x1006,Accepted,,0,rsl experimental trials list1,26,rsl_list1,Not on phone,,Accepted,rsl_list1,1,instructions,Screen 1,9upwou,1,continue,,20944.806000000746,20932.733,20944.806000000746,20944.806000000746,20932.733,20944.806000000746,1,20944.806000000746,0,0,,Space To Continue,Continue Button,2,object-48,instructions,,,,,,,,,,,
5,1696828668518,09/10/2023 05:17:48,1696839468518,3,09/10/2023 11:17:48,142916,13,task-3k5q,,32103181,ibqimzb1,9492137,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 117.0.2045.60,1920x1080,1834x1006,Accepted,,0,rsl experimental trials list1,26,rsl_list1,Not on phone,,Accepted,rsl_list1,1,match,Screen 1,nmofvp,1,continue,,500.00900000000183,500.00900000000183,500.00900000000183,500.00900000000183,500.00900000000183,500.00900000000183,1,500.00900000000183,0,0,,Fixation Timing,,1,object-167,match,Children 2.jpg,28.mp4,different,same,target,children,28,1,,,
6,1696828669519,09/10/2023 05:17:49,1696839469519,3,09/10/2023 11:17:49,142916,13,task-3k5q,,32103181,ibqimzb1,9492137,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 117.0.2045.60,1920x1080,1834x1006,Accepted,,0,rsl experimental trials list1,26,rsl_list1,Not on phone,,Accepted,rsl_list1,1,match,Screen 2,pevo7u,2,timedOut,,1001.364000000558,1000.0959999999977,1001.364000000558,1001.364000000558,1000.0959999999977,1001.364000000558,0,1001.364000000558,0,0,,Time Limit,screen,0,screen,match,Children 2.jpg,28.mp4,different,same,target,children,28,1,,,
7,1696828669819,09/10/2023 05:17:49,1696839469819,3,09/10/2023 11:17:49,142916,13,task-3k5q,,32103181,ibqimzb1,9492137,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 117.0.2045.60,1920x1080,1834x1006,Accepted,,0,rsl experimental trials list1,26,rsl_list1,Not on phone,,Accepted,rsl_list1,1,match,Screen 3,z1irvt,3,timedOut,,300.86800000018775,299.9770000000026,300.86800000018775,300.86800000018775,299.9770000000026,300.86800000018775,1,300.86800000018775,0,0,,Time Limit,screen,0,screen,match,Children 2.jpg,28.mp4,different,same,target,children,28,1,,,
8,1696828670113,09/10/2023 05:17:50,1696839470113,3,09/10/2023 11:17:50,142916,13,task-3k5q,,32103181,ibqimzb1,9492137,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 117.0.2045.60,1920x1080,1834x1006,Accepted,,0,rsl experimental trials list1,26,rsl_list1,Not on phone,,Accepted,rsl_list1,1,match,Screen 4,9wlxvm,4,info,Video start,83.85399999999936,67.22899999999936,83.85399999999936,83.85399999999936,67.22899999999936,83.85399999999936,1,83.85399999999936,0,0,,Video,video,1,object-178,match,Children 2.jpg,28.mp4,different,same,target,children,28,1,,,
9,1696828675130,09/10/2023 05:17:55,1696839475130,3,09/10/2023 11:17:55,142916,13,task-3k5q,,32103181,ibqimzb1,9492137,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 117.0.2045.60,1920x1080,1834x1006,Accepted,,0,rsl experimental trials list1,26,rsl_list1,Not on phone,,Accepted,rsl_list1,1,match,Screen 4,9wlxvm,4,response,nomatch,5312.391000000185,5300.031999999999,5312.391000000185,5312.391000000185,5300.031999999999,5312.391000000185,1,5312.391000000185,0,0,,Keyboard Response,Keyboard Response,6,object-183,match,Children 2.jpg,28.mp4,different,same,target,children,28,1,,,
10,1696828675618,09/10/2023 05:17:55,1696839475618,3,09/10/2023 11:17:55,142916,13,task-3k5q,,32103181,ibqimzb1,9492137,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 117.0.2045.60,1920x1080,1834x1006,Accepted,,0,rsl experimental trials list1,26,rsl_list1,Not on phone,,Accepted,rsl_list1,1,nomatch,Screen 1,8mz8sc,1,continue,,500.01400000000285,500.01400000000285,500.01400000000285,500.01400000000285,500.01400000000285,500.01400000000285,1,500.01400000000285,0,0,,Fixation Timing,,1,object-186,nomatch,Watch 2.jpg,95.mp4,different,different,foil,na,95,1,,,
