Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-74d9,checkpoint-9nfr,checkpoint-33a1,Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: picture,Spreadsheet: video,Spreadsheet: correct,Spreadsheet: condition,Spreadsheet: item,Spreadsheet: index,Spreadsheet: trial,Spreadsheet: randomise_trials,Manipulation: Spreadsheet,Store: correct,Store: total
1,1698507467228,28/10/2023 15:37:47,1698514667228,2,28/10/2023 19:37:47,142915,17,task-eu79,,32549467,gn8mwswy,9631781,,rejected - time limit reached,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.6,1440x900,1436x698,,,0,experiment list1,109,Not on phone,,,nsl_list1,,,,,,5,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,,,,,
2,1698507470390,28/10/2023 15:37:50,1698514670390,2,28/10/2023 19:37:50,142915,17,task-eu79,,32549467,gn8mwswy,9631781,,rejected - time limit reached,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.6,1440x900,1436x698,,,0,experiment list1,109,Not on phone,,,nsl_list1,1,instructions,Screen 1,9upwou,1,info,Video start,2028.575055999945,2027,2028.575055999945,2028.575055999945,2027,2028.575055999945,1,2028.575055999945,0,0,,Video,Experimental instructions,3,object-161,instructions,,,,,,,,,,,
3,1698507516799,28/10/2023 15:38:36,1698514716799,2,28/10/2023 19:38:36,142915,17,task-eu79,,32549467,gn8mwswy,9631781,,rejected - time limit reached,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.6,1440x900,1436x698,,,0,experiment list1,109,Not on phone,,,nsl_list1,1,instructions,Screen 1,9upwou,1,continue,,48663,48653,48663,48663,48653,48663,1,48663,0,0,,Space To Continue,Continue Button,2,object-48,instructions,,,,,,,,,,,
4,1698507516805,28/10/2023 15:38:36,1698514716805,2,28/10/2023 19:38:36,142915,17,task-eu79,,32549467,gn8mwswy,9631781,,rejected - time limit reached,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.6,1440x900,1436x698,,,0,experiment list1,109,Not on phone,,,nsl_list1,1,instructions,Screen 1,9upwou,1,continue,,48669,48653,48669,48669,48653,48669,1,48669,0,0,,Space To Continue,Continue Button,2,object-48,instructions,,,,,,,,,,,
5,1698507517289,28/10/2023 15:38:37,1698514717289,2,28/10/2023 19:38:37,142915,17,task-eu79,,32549467,gn8mwswy,9631781,,rejected - time limit reached,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.6,1440x900,1436x698,,,0,experiment list1,109,Not on phone,,,nsl_list1,1,nomatch,Screen 1,8mz8sc,1,continue,,500,500,500,500,500,500,1,500,0,0,,Fixation Timing,,1,object-186,nomatch,Choose 2.jpg,Marsjering.mp4,different,different,na,65,foil,1,,,
6,1698507518289,28/10/2023 15:38:38,1698514718289,2,28/10/2023 19:38:38,142915,17,task-eu79,,32549467,gn8mwswy,9631781,,rejected - time limit reached,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.6,1440x900,1436x698,,,0,experiment list1,109,Not on phone,,,nsl_list1,1,nomatch,Screen 2,zhfxqk,2,timedOut,,1001,1000,1001,1001,1000,1001,0,1001,0,0,,Time Limit,screen,0,screen,nomatch,Choose 2.jpg,Marsjering.mp4,different,different,na,65,foil,1,,,
7,1698507518589,28/10/2023 15:38:38,1698514718589,2,28/10/2023 19:38:38,142915,17,task-eu79,,32549467,gn8mwswy,9631781,,rejected - time limit reached,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.6,1440x900,1436x698,,,0,experiment list1,109,Not on phone,,,nsl_list1,1,nomatch,Screen 3,d73ena,3,timedOut,,301,300,301,301,300,301,1,301,0,0,,Time Limit,screen,0,screen,nomatch,Choose 2.jpg,Marsjering.mp4,different,different,na,65,foil,1,,,
8,1698507518847,28/10/2023 15:38:38,1698514718847,2,28/10/2023 19:38:38,142915,17,task-eu79,,32549467,gn8mwswy,9631781,,rejected - time limit reached,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.6,1440x900,1436x698,,,0,experiment list1,109,Not on phone,,,nsl_list1,1,nomatch,Screen 4,kfk7dt,4,info,Video start,26.20022900004153,26,26.20022900004153,26.20022900004153,26,26.20022900004153,0,26.20022900004153,0,0,,Video,video,1,object-204,nomatch,Choose 2.jpg,Marsjering.mp4,different,different,na,65,foil,1,,,
9,1698507540841,28/10/2023 15:39:00,1698514740841,2,28/10/2023 19:39:00,142915,17,task-eu79,,32549467,gn8mwswy,9631781,,rejected - time limit reached,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.6,1440x900,1436x698,,,0,experiment list1,109,Not on phone,,,nsl_list1,1,nomatch,Screen 4,kfk7dt,4,response,match,22251,22235,22251,22251,22235,22251,0,22251,0,0,,Keyboard Response,Keyboard Response,6,object-209,nomatch,Choose 2.jpg,Marsjering.mp4,different,different,na,65,foil,1,,,
10,1698507541325,28/10/2023 15:39:01,1698514741325,2,28/10/2023 19:39:01,142915,17,task-eu79,,32549467,gn8mwswy,9631781,,rejected - time limit reached,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.6,1440x900,1436x698,,,0,experiment list1,109,Not on phone,,,nsl_list1,2,nomatch,Screen 1,8mz8sc,1,continue,,501,501,501,501,501,501,1,501,0,0,,Fixation Timing,,1,object-186,nomatch,Wait 1.jpg,Leir.mp4,different,same,na,71,foil,1,,,
11,1698507542326,28/10/2023 15:39:02,1698514742326,2,28/10/2023 19:39:02,142915,17,task-eu79,,32549467,gn8mwswy,9631781,,rejected - time limit reached,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.6,1440x900,1436x698,,,0,experiment list1,109,Not on phone,,,nsl_list1,2,nomatch,Screen 2,zhfxqk,2,timedOut,,1001,1001,1001,1001,1001,1001,0,1001,0,0,,Time Limit,screen,0,screen,nomatch,Wait 1.jpg,Leir.mp4,different,same,na,71,foil,1,,,
12,1698507542624,28/10/2023 15:39:02,1698514742624,2,28/10/2023 19:39:02,142915,17,task-eu79,,32549467,gn8mwswy,9631781,,rejected - time limit reached,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.6,1440x900,1436x698,,,0,experiment list1,109,Not on phone,,,nsl_list1,2,nomatch,Screen 3,d73ena,3,timedOut,,299,299,299,299,299,299,1,299,0,0,,Time Limit,screen,0,screen,nomatch,Wait 1.jpg,Leir.mp4,different,same,na,71,foil,1,,,
13,1698507542880,28/10/2023 15:39:02,1698514742880,2,28/10/2023 19:39:02,142915,17,task-eu79,,32549467,gn8mwswy,9631781,,rejected - time limit reached,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.6,1440x900,1436x698,,,0,experiment list1,109,Not on phone,,,nsl_list1,2,nomatch,Screen 4,kfk7dt,4,info,Video start,25.39600100000652,25,25.39600100000652,25.39600100000652,25,25.39600100000652,0,25.39600100000652,0,0,,Video,video,1,object-204,nomatch,Wait 1.jpg,Leir.mp4,different,same,na,71,foil,1,,,
14,1698507554640,28/10/2023 15:39:14,1698514754640,2,28/10/2023 19:39:14,142915,17,task-eu79,,32549467,gn8mwswy,9631781,,rejected - time limit reached,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.6,1440x900,1436x698,,,0,experiment list1,109,Not on phone,,,nsl_list1,2,nomatch,Screen 4,kfk7dt,4,response,match,12015,12000,12015,12015,12000,12015,0,12015,0,0,,Keyboard Response,Keyboard Response,6,object-209,nomatch,Wait 1.jpg,Leir.mp4,different,same,na,71,foil,1,,,
15,1698507555126,28/10/2023 15:39:15,1698514755126,2,28/10/2023 19:39:15,142915,17,task-eu79,,32549467,gn8mwswy,9631781,,rejected - time limit reached,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.6,1440x900,1436x698,,,0,experiment list1,109,Not on phone,,,nsl_list1,3,nomatch,Screen 1,8mz8sc,1,continue,,500,500,500,500,500,500,1,500,0,0,,Fixation Timing,,1,object-186,nomatch,Breathe 2.jpg,Brann.mp4,different,same,na,85,foil,1,,,
16,1698507556125,28/10/2023 15:39:16,1698514756125,2,28/10/2023 19:39:16,142915,17,task-eu79,,32549467,gn8mwswy,9631781,,rejected - time limit reached,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.6,1440x900,1436x698,,,0,experiment list1,109,Not on phone,,,nsl_list1,3,nomatch,Screen 2,zhfxqk,2,timedOut,,1000,1000,1000,1000,1000,1000,0,1000,0,0,,Time Limit,screen,0,screen,nomatch,Breathe 2.jpg,Brann.mp4,different,same,na,85,foil,1,,,
17,1698507556426,28/10/2023 15:39:16,1698514756426,2,28/10/2023 19:39:16,142915,17,task-eu79,,32549467,gn8mwswy,9631781,,rejected - time limit reached,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.6,1440x900,1436x698,,,0,experiment list1,109,Not on phone,,,nsl_list1,3,nomatch,Screen 3,d73ena,3,timedOut,,302,302,302,302,302,302,1,302,0,0,,Time Limit,screen,0,screen,nomatch,Breathe 2.jpg,Brann.mp4,different,same,na,85,foil,1,,,
