Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-74d9,checkpoint-9nfr,checkpoint-33a1,randomiser-pv2z,Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: picture,Spreadsheet: video,Spreadsheet: correct,Spreadsheet: condition,Spreadsheet: item,Spreadsheet: index,Spreadsheet: trial,Spreadsheet: randomise_trials,Manipulation: Spreadsheet,Store: correct,Store: total
1,1696326533691,03/10/2023 09:48:53,1696333733691,2,03/10/2023 13:48:53,142915,11,task-eu79,,32000605,BLIND,9462565,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.6,810x1080,1080x707,Accepted,,0,experiment list1,105,Not on phone,Accepted,,list1,nsl_list1,,,,,,5,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,,,,,
2,1696326536204,03/10/2023 09:48:56,1696333736204,2,03/10/2023 13:48:56,142915,11,task-eu79,,32000605,BLIND,9462565,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.6,810x1080,1080x707,Accepted,,0,experiment list1,105,Not on phone,Accepted,,list1,nsl_list1,1,instructions,Screen 1,9upwou,1,info,Video start,2046.2012909885261,2046,2046.2012909885261,2046.2012909885261,2046,2046.2012909885261,1,2046.2012909885261,0,0,,Video,Experimental instructions,3,object-161,instructions,,,,,,,,,,,
3,1696326555955,03/10/2023 09:49:15,1696333755955,2,03/10/2023 13:49:15,142915,11,task-eu79,,32000605,BLIND,9462565,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.6,810x1080,1080x707,Accepted,,0,experiment list1,105,Not on phone,Accepted,,list1,nsl_list1,1,instructions,Screen 1,9upwou,1,continue,,21978,21961,21978,21978,21961,21978,1,21978,0,0,,Space To Continue,Continue Button,2,object-48,instructions,,,,,,,,,,,
4,1696326555959,03/10/2023 09:49:15,1696333755959,2,03/10/2023 13:49:15,142915,11,task-eu79,,32000605,BLIND,9462565,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.6,810x1080,1080x707,Accepted,,0,experiment list1,105,Not on phone,Accepted,,list1,nsl_list1,1,instructions,Screen 1,9upwou,1,continue,,21978,21961,21978,21978,21961,21978,1,21978,0,0,,Space To Continue,Continue Button,2,object-48,instructions,,,,,,,,,,,
5,1696326556409,03/10/2023 09:49:16,1696333756409,2,03/10/2023 13:49:16,142915,11,task-eu79,,32000605,BLIND,9462565,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.6,810x1080,1080x707,Accepted,,0,experiment list1,105,Not on phone,Accepted,,list1,nsl_list1,1,nomatch,Screen 1,8mz8sc,1,continue,,500,500,500,500,500,500,1,500,0,0,,Fixation Timing,,1,object-186,nomatch,Ring 1.jpg,Dø.mp4,different,different,na,57,foil,1,,,
6,1696326557409,03/10/2023 09:49:17,1696333757409,2,03/10/2023 13:49:17,142915,11,task-eu79,,32000605,BLIND,9462565,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.6,810x1080,1080x707,Accepted,,0,experiment list1,105,Not on phone,Accepted,,list1,nsl_list1,1,nomatch,Screen 2,zhfxqk,2,timedOut,,1000,999,1000,1000,999,1000,0,1000,0,0,,Time Limit,screen,0,screen,nomatch,Ring 1.jpg,Dø.mp4,different,different,na,57,foil,1,,,
7,1696326557708,03/10/2023 09:49:17,1696333757708,2,03/10/2023 13:49:17,142915,11,task-eu79,,32000605,BLIND,9462565,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.6,810x1080,1080x707,Accepted,,0,experiment list1,105,Not on phone,Accepted,,list1,nsl_list1,1,nomatch,Screen 3,d73ena,3,timedOut,,301,300,301,301,300,301,1,301,0,0,,Time Limit,screen,0,screen,nomatch,Ring 1.jpg,Dø.mp4,different,different,na,57,foil,1,,,
8,1696326557991,03/10/2023 09:49:17,1696333757991,2,03/10/2023 13:49:17,142915,11,task-eu79,,32000605,BLIND,9462565,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.6,810x1080,1080x707,Accepted,,0,experiment list1,105,Not on phone,Accepted,,list1,nsl_list1,1,nomatch,Screen 4,kfk7dt,4,info,Video start,56.593500334937715,46,56.593500334937715,56.593500334937715,46,56.593500334937715,0,56.593500334937715,0,0,,Video,video,1,object-204,nomatch,Ring 1.jpg,Dø.mp4,different,different,na,57,foil,1,,,
9,1696326560434,03/10/2023 09:49:20,1696333760434,2,03/10/2023 13:49:20,142915,11,task-eu79,,32000605,BLIND,9462565,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.6,810x1080,1080x707,Accepted,,0,experiment list1,105,Not on phone,Accepted,,list1,nsl_list1,1,nomatch,Screen 4,kfk7dt,4,response,nomatch,2728,2716,2728,2728,2716,2728,0,2728,0,0,,Keyboard Response,Keyboard Response,6,object-209,nomatch,Ring 1.jpg,Dø.mp4,different,different,na,57,foil,1,,,
10,1696326560925,03/10/2023 09:49:20,1696333760925,2,03/10/2023 13:49:20,142915,11,task-eu79,,32000605,BLIND,9462565,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.6,810x1080,1080x707,Accepted,,0,experiment list1,105,Not on phone,Accepted,,list1,nsl_list1,2,nomatch,Screen 1,8mz8sc,1,continue,,500,500,500,500,500,500,1,500,0,0,,Fixation Timing,,1,object-186,nomatch,Choose 2.jpg,Marsjering.mp4,different,different,na,65,foil,1,,,
