Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-74d9,checkpoint-9nfr,checkpoint-33a1,randomiser-pv2z,Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: picture,Spreadsheet: video,Spreadsheet: correct,Spreadsheet: condition,Spreadsheet: item,Spreadsheet: index,Spreadsheet: trial,Spreadsheet: randomise_trials,Manipulation: Spreadsheet,Store: correct,Store: total
1,1696570513184,06/10/2023 05:35:13,1696577713184,2,06/10/2023 09:35:13,142915,13,task-n49w,,32059894,owlwjegg,9481529,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 117.0.2045.47,3840x1200,3402x1078,Accepted,,0,experiment list2,23,Not on phone,Accepted,,list2,nsl_list2,,,,,,5,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,,,,,
2,1696570515376,06/10/2023 05:35:15,1696577715376,2,06/10/2023 09:35:15,142915,13,task-n49w,,32059894,owlwjegg,9481529,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 117.0.2045.47,3840x1200,3402x1078,Accepted,,0,experiment list2,23,Not on phone,Accepted,,list2,nsl_list2,1,instructions,Screen 1,9upwou,1,info,Video start,2022.395999988079,2021.051,2022.395999988079,2022.395999988079,2021.051,2022.395999988079,1,2022.395999988079,0,0,,Video,Experimental instructions,3,object-161,instructions,,,,,,,,,,,
3,1696570542440,06/10/2023 05:35:42,1696577742440,2,06/10/2023 09:35:42,142915,13,task-n49w,,32059894,owlwjegg,9481529,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 117.0.2045.47,3840x1200,3402x1078,Accepted,,0,experiment list2,23,Not on phone,Accepted,,list2,nsl_list2,1,instructions,Screen 1,9upwou,1,continue,,29088.05499998808,29080.641,29088.05499998808,29088.05499998808,29080.641,29088.05499998808,1,29088.05499998808,0,0,,Space To Continue,Continue Button,2,object-48,instructions,,,,,,,,,,,
4,1696570542445,06/10/2023 05:35:42,1696577742445,2,06/10/2023 09:35:42,142915,13,task-n49w,,32059894,owlwjegg,9481529,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 117.0.2045.47,3840x1200,3402x1078,Accepted,,0,experiment list2,23,Not on phone,Accepted,,list2,nsl_list2,1,instructions,Screen 1,9upwou,1,continue,,29094.05499998808,29080.641,29094.05499998808,29094.05499998808,29080.641,29094.05499998808,1,29094.05499998808,0,0,,Space To Continue,Continue Button,2,object-48,instructions,,,,,,,,,,,
5,1696570542934,06/10/2023 05:35:42,1696577742934,2,06/10/2023 09:35:42,142915,13,task-n49w,,32059894,owlwjegg,9481529,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 117.0.2045.47,3840x1200,3402x1078,Accepted,,0,experiment list2,23,Not on phone,Accepted,,list2,nsl_list2,1,nomatch,Screen 1,8mz8sc,1,continue,,501.21600000000035,501.21600000000035,501.21600000000035,501.21600000000035,501.21600000000035,501.21600000000035,1,501.21600000000035,0,0,,Fixation Timing,,1,object-186,nomatch,Sail 1.jpg,Bekymre.mp4,different,different,na,66,foil,1,,,
6,1696570543937,06/10/2023 05:35:43,1696577743937,2,06/10/2023 09:35:43,142915,13,task-n49w,,32059894,owlwjegg,9481529,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 117.0.2045.47,3840x1200,3402x1078,Accepted,,0,experiment list2,23,Not on phone,Accepted,,list2,nsl_list2,1,nomatch,Screen 2,zhfxqk,2,timedOut,,1003.5980000238415,1002.1610000000001,1003.5980000238415,1003.5980000238415,1002.1610000000001,1003.5980000238415,0,1003.5980000238415,0,0,,Time Limit,screen,0,screen,nomatch,Sail 1.jpg,Bekymre.mp4,different,different,na,66,foil,1,,,
7,1696570544238,06/10/2023 05:35:44,1696577744238,2,06/10/2023 09:35:44,142915,13,task-n49w,,32059894,owlwjegg,9481529,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 117.0.2045.47,3840x1200,3402x1078,Accepted,,0,experiment list2,23,Not on phone,Accepted,,list2,nsl_list2,1,nomatch,Screen 3,d73ena,3,timedOut,,302.0369999880786,300.4929999999986,302.0369999880786,302.0369999880786,300.4929999999986,302.0369999880786,1,302.0369999880786,0,0,,Time Limit,screen,0,screen,nomatch,Sail 1.jpg,Bekymre.mp4,different,different,na,66,foil,1,,,
8,1696570544261,06/10/2023 05:35:44,1696577744261,2,06/10/2023 09:35:44,142915,13,task-n49w,,32059894,owlwjegg,9481529,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 117.0.2045.47,3840x1200,3402x1078,Accepted,,0,experiment list2,23,Not on phone,Accepted,,list2,nsl_list2,1,nomatch,Screen 4,kfk7dt,4,info,Video start,24.586999976159102,16.647000000000844,24.586999976159102,24.586999976159102,16.647000000000844,24.586999976159102,0,24.586999976159102,0,0,,Video,video,1,object-204,nomatch,Sail 1.jpg,Bekymre.mp4,different,different,na,66,foil,1,,,
9,1696570549281,06/10/2023 05:35:49,1696577749281,2,06/10/2023 09:35:49,142915,13,task-n49w,,32059894,owlwjegg,9481529,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 117.0.2045.47,3840x1200,3402x1078,Accepted,,0,experiment list2,23,Not on phone,Accepted,,list2,nsl_list2,1,nomatch,Screen 4,kfk7dt,4,response,nomatch,5045.231000000003,5028.157000000003,5045.231000000003,5045.231000000003,5028.157000000003,5045.231000000003,0,5045.231000000003,0,0,,Keyboard Response,Keyboard Response,6,object-209,nomatch,Sail 1.jpg,Bekymre.mp4,different,different,na,66,foil,1,,,
10,1696570549766,06/10/2023 05:35:49,1696577749766,2,06/10/2023 09:35:49,142915,13,task-n49w,,32059894,owlwjegg,9481529,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 117.0.2045.47,3840x1200,3402x1078,Accepted,,0,experiment list2,23,Not on phone,Accepted,,list2,nsl_list2,1,match,Screen 1,nmofvp,1,continue,,500.7390000000014,500.7390000000014,500.7390000000014,500.7390000000014,500.7390000000014,500.7390000000014,1,500.7390000000014,0,0,,Fixation Timing,,1,object-167,match,East 2.jpg,Øst.mp4,same,different,east,5,target,1,,,
11,1696570550769,06/10/2023 05:35:50,1696577750769,2,06/10/2023 09:35:50,142915,13,task-n49w,,32059894,owlwjegg,9481529,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 117.0.2045.47,3840x1200,3402x1078,Accepted,,0,experiment list2,23,Not on phone,Accepted,,list2,nsl_list2,1,match,Screen 2,pevo7u,2,timedOut,,1003.7480000119176,1002.125,1003.7480000119176,1003.7480000119176,1002.125,1003.7480000119176,0,1003.7480000119176,0,0,,Time Limit,screen,0,screen,match,East 2.jpg,Øst.mp4,same,different,east,5,target,1,,,
12,1696570551071,06/10/2023 05:35:51,1696577751071,2,06/10/2023 09:35:51,142915,13,task-n49w,,32059894,owlwjegg,9481529,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 117.0.2045.47,3840x1200,3402x1078,Accepted,,0,experiment list2,23,Not on phone,Accepted,,list2,nsl_list2,1,match,Screen 3,z1irvt,3,timedOut,,304.2229999761548,300.97299999999814,304.2229999761548,304.2229999761548,300.97299999999814,304.2229999761548,1,304.2229999761548,0,0,,Time Limit,screen,0,screen,match,East 2.jpg,Øst.mp4,same,different,east,5,target,1,,,
