Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-74d9,checkpoint-9nfr,checkpoint-33a1,randomiser-pv2z,Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: picture,Spreadsheet: video,Spreadsheet: correct,Spreadsheet: condition,Spreadsheet: item,Spreadsheet: index,Spreadsheet: trial,Spreadsheet: randomise_trials,Manipulation: Spreadsheet,Store: correct,Store: total
1,1696503328001,05/10/2023 10:55:28,1696510528001,2,05/10/2023 14:55:28,142915,11,task-n49w,,32047040,BLIND,9477675,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 117.0.0.0,1920x1080,1920x923,Accepted,,0,experiment list2,23,Not on phone,Accepted,,list2,nsl_list2,,,,,,5,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,,,,,
2,1696503330210,05/10/2023 10:55:30,1696510530210,2,05/10/2023 14:55:30,142915,11,task-n49w,,32047040,BLIND,9477675,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 117.0.0.0,1920x1080,1920x923,Accepted,,0,experiment list2,23,Not on phone,Accepted,,list2,nsl_list2,1,instructions,Screen 1,9upwou,1,info,Video start,2046.1310000119208,2033.359,2046.1310000119208,2046.1310000119208,2033.359,2046.1310000119208,1,2046.1310000119208,0,0,,Video,Experimental instructions,3,object-161,instructions,,,,,,,,,,,
3,1696503348119,05/10/2023 10:55:48,1696510548119,2,05/10/2023 14:55:48,142915,11,task-n49w,,32047040,BLIND,9477675,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 117.0.0.0,1920x1080,1920x923,Accepted,,0,experiment list2,23,Not on phone,Accepted,,list2,nsl_list2,1,instructions,Screen 1,9upwou,1,continue,,19948.163,19933.73,19948.163,19948.163,19933.73,19948.163,1,19948.163,0,0,,Space To Continue,Continue Button,2,object-48,instructions,,,,,,,,,,,
4,1696503348126,05/10/2023 10:55:48,1696510548126,2,05/10/2023 14:55:48,142915,11,task-n49w,,32047040,BLIND,9477675,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 117.0.0.0,1920x1080,1920x923,Accepted,,0,experiment list2,23,Not on phone,Accepted,,list2,nsl_list2,1,instructions,Screen 1,9upwou,1,continue,,19950.521999999997,19933.73,19950.521999999997,19950.521999999997,19933.73,19950.521999999997,1,19950.521999999997,0,0,,Space To Continue,Continue Button,2,object-48,instructions,,,,,,,,,,,
5,1696503348613,05/10/2023 10:55:48,1696510548613,2,05/10/2023 14:55:48,142915,11,task-n49w,,32047040,BLIND,9477675,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 117.0.0.0,1920x1080,1920x923,Accepted,,0,experiment list2,23,Not on phone,Accepted,,list2,nsl_list2,1,nomatch,Screen 1,8mz8sc,1,continue,,500.0679999999993,500.0679999999993,500.0679999999993,500.0679999999993,500.0679999999993,500.0679999999993,1,500.0679999999993,0,0,,Fixation Timing,,1,object-186,nomatch,Wait 2.jpg,Leir.mp4,different,same,na,71,foil,1,,,
6,1696503349606,05/10/2023 10:55:49,1696510549606,2,05/10/2023 14:55:49,142915,11,task-n49w,,32047040,BLIND,9477675,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 117.0.0.0,1920x1080,1920x923,Accepted,,0,experiment list2,23,Not on phone,Accepted,,list2,nsl_list2,1,nomatch,Screen 2,zhfxqk,2,timedOut,,1001.2650000059621,999.8220000000001,1001.2650000059621,1001.2650000059621,999.8220000000001,1001.2650000059621,0,1001.2650000059621,0,0,,Time Limit,screen,0,screen,nomatch,Wait 2.jpg,Leir.mp4,different,same,na,71,foil,1,,,
7,1696503349906,05/10/2023 10:55:49,1696510549906,2,05/10/2023 14:55:49,142915,11,task-n49w,,32047040,BLIND,9477675,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 117.0.0.0,1920x1080,1920x923,Accepted,,0,experiment list2,23,Not on phone,Accepted,,list2,nsl_list2,1,nomatch,Screen 3,d73ena,3,timedOut,,301.2430000178829,300.02300000000105,301.2430000178829,301.2430000178829,300.02300000000105,301.2430000178829,1,301.2430000178829,0,0,,Time Limit,screen,0,screen,nomatch,Wait 2.jpg,Leir.mp4,different,same,na,71,foil,1,,,
8,1696503349932,05/10/2023 10:55:49,1696510549932,2,05/10/2023 14:55:49,142915,11,task-n49w,,32047040,BLIND,9477675,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 117.0.0.0,1920x1080,1920x923,Accepted,,0,experiment list2,23,Not on phone,Accepted,,list2,nsl_list2,1,nomatch,Screen 4,kfk7dt,4,info,Video start,27.48500001788183,16.34900000000198,27.48500001788183,27.48500001788183,16.34900000000198,27.48500001788183,0,27.48500001788183,0,0,,Video,video,1,object-204,nomatch,Wait 2.jpg,Leir.mp4,different,same,na,71,foil,1,,,
9,1696503353700,05/10/2023 10:55:53,1696510553700,2,05/10/2023 14:55:53,142915,11,task-n49w,,32047040,BLIND,9477675,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 117.0.0.0,1920x1080,1920x923,Accepted,,0,experiment list2,23,Not on phone,Accepted,,list2,nsl_list2,1,nomatch,Screen 4,kfk7dt,4,response,nomatch,3795.920000005961,3783.2040000000015,3795.920000005961,3795.920000005961,3783.2040000000015,3795.920000005961,0,3795.920000005961,0,0,,Keyboard Response,Keyboard Response,6,object-209,nomatch,Wait 2.jpg,Leir.mp4,different,same,na,71,foil,1,,,
10,1696503354189,05/10/2023 10:55:54,1696510554189,2,05/10/2023 14:55:54,142915,11,task-n49w,,32047040,BLIND,9477675,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 117.0.0.0,1920x1080,1920x923,Accepted,,0,experiment list2,23,Not on phone,Accepted,,list2,nsl_list2,2,nomatch,Screen 1,8mz8sc,1,continue,,500.244999999999,500.244999999999,500.244999999999,500.244999999999,500.244999999999,500.244999999999,1,500.244999999999,0,0,,Fixation Timing,,1,object-186,nomatch,Take 2.jpg,Kano.mp4,different,different,na,93,foil,1,,,
