Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-74d9,checkpoint-9nfr,checkpoint-33a1,Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: picture,Spreadsheet: video,Spreadsheet: correct,Spreadsheet: condition,Spreadsheet: item,Spreadsheet: index,Spreadsheet: trial,Spreadsheet: randomise_trials,Manipulation: Spreadsheet,Store: correct,Store: total
11,1696583313975,06/10/2023 09:08:33,1696590513975,2,06/10/2023 13:08:33,146116,4,task-eu79,,32064835,x2vqwljt,9482437,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.5.2,3440x1440,777x678,Accepted,,0,experiment list1,107,Not on phone,Accepted,,nsl_list1,1,match,Screen 2,pevo7u,2,timedOut,,1000,1000,1000,1000,1000,1000,0,1000,0,0,,Time Limit,screen,0,screen,match,Pain 2.jpg,Vondt.mp4,same,different,pain,12,target,1,,,
12,1696583314275,06/10/2023 09:08:34,1696590514275,2,06/10/2023 13:08:34,146116,4,task-eu79,,32064835,x2vqwljt,9482437,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.5.2,3440x1440,777x678,Accepted,,0,experiment list1,107,Not on phone,Accepted,,nsl_list1,1,match,Screen 3,z1irvt,3,timedOut,,300,300,300,300,300,300,1,300,0,0,,Time Limit,screen,0,screen,match,Pain 2.jpg,Vondt.mp4,same,different,pain,12,target,1,,,
13,1696583314534,06/10/2023 09:08:34,1696590514534,2,06/10/2023 13:08:34,146116,4,task-eu79,,32064835,x2vqwljt,9482437,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.5.2,3440x1440,777x678,Accepted,,0,experiment list1,107,Not on phone,Accepted,,nsl_list1,1,match,Screen 4,9wlxvm,4,info,Video start,13.88898900024418,12,13.88898900024418,13.88898900024418,12,13.88898900024418,1,13.88898900024418,0,0,,Video,video,1,object-178,match,Pain 2.jpg,Vondt.mp4,same,different,pain,12,target,1,,,
14,1696583317652,06/10/2023 09:08:37,1696590517652,2,06/10/2023 13:08:37,146116,4,task-eu79,,32064835,x2vqwljt,9482437,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.5.2,3440x1440,777x678,Accepted,,0,experiment list1,107,Not on phone,Accepted,,nsl_list1,1,match,Screen 4,9wlxvm,4,response,match,3377,3367,3377,3377,3367,3377,1,3377,0,0,,Keyboard Response,Keyboard Response,6,object-183,match,Pain 2.jpg,Vondt.mp4,same,different,pain,12,target,1,,,
15,1696583318142,06/10/2023 09:08:38,1696590518142,2,06/10/2023 13:08:38,146116,4,task-eu79,,32064835,x2vqwljt,9482437,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.5.2,3440x1440,777x678,Accepted,,0,experiment list1,107,Not on phone,Accepted,,nsl_list1,2,match,Screen 1,nmofvp,1,continue,,500,500,500,500,500,500,1,500,0,0,,Fixation Timing,,1,object-167,match,Cry 1.jpg,Gråte.mp4,same,different,cry,38,target,1,,,
16,1696583319142,06/10/2023 09:08:39,1696590519142,2,06/10/2023 13:08:39,146116,4,task-eu79,,32064835,x2vqwljt,9482437,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.5.2,3440x1440,777x678,Accepted,,0,experiment list1,107,Not on phone,Accepted,,nsl_list1,2,match,Screen 2,pevo7u,2,timedOut,,1000,1000,1000,1000,1000,1000,0,1000,0,0,,Time Limit,screen,0,screen,match,Cry 1.jpg,Gråte.mp4,same,different,cry,38,target,1,,,
17,1696583319442,06/10/2023 09:08:39,1696590519442,2,06/10/2023 13:08:39,146116,4,task-eu79,,32064835,x2vqwljt,9482437,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.5.2,3440x1440,777x678,Accepted,,0,experiment list1,107,Not on phone,Accepted,,nsl_list1,2,match,Screen 3,z1irvt,3,timedOut,,300,300,300,300,300,300,1,300,0,0,,Time Limit,screen,0,screen,match,Cry 1.jpg,Gråte.mp4,same,different,cry,38,target,1,,,
18,1696583319697,06/10/2023 09:08:39,1696590519697,2,06/10/2023 13:08:39,146116,4,task-eu79,,32064835,x2vqwljt,9482437,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.5.2,3440x1440,777x678,Accepted,,0,experiment list1,107,Not on phone,Accepted,,nsl_list1,2,match,Screen 4,9wlxvm,4,info,Video start,12,12,12,12,12,12,1,12,0,0,,Video,video,1,object-178,match,Cry 1.jpg,Gråte.mp4,same,different,cry,38,target,1,,,
19,1696583321761,06/10/2023 09:08:41,1696590521761,2,06/10/2023 13:08:41,146116,4,task-eu79,,32064835,x2vqwljt,9482437,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.5.2,3440x1440,777x678,Accepted,,0,experiment list1,107,Not on phone,Accepted,,nsl_list1,2,match,Screen 4,9wlxvm,4,response,match,2319,2316,2319,2319,2316,2319,1,2319,0,0,,Keyboard Response,Keyboard Response,6,object-183,match,Cry 1.jpg,Gråte.mp4,same,different,cry,38,target,1,,,
20,1696583322259,06/10/2023 09:08:42,1696590522259,2,06/10/2023 13:08:42,146116,4,task-eu79,,32064835,x2vqwljt,9482437,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.5.2,3440x1440,777x678,Accepted,,0,experiment list1,107,Not on phone,Accepted,,nsl_list1,2,nomatch,Screen 1,8mz8sc,1,continue,,500,500,500,500,500,500,1,500,0,0,,Fixation Timing,,1,object-186,nomatch,Flower 1.jpg,Møte.mp4,different,same,na,81,foil,1,,,
21,1696583323259,06/10/2023 09:08:43,1696590523259,2,06/10/2023 13:08:43,146116,4,task-eu79,,32064835,x2vqwljt,9482437,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.5.2,3440x1440,777x678,Accepted,,0,experiment list1,107,Not on phone,Accepted,,nsl_list1,2,nomatch,Screen 2,zhfxqk,2,timedOut,,1001.0000000000036,1000,1001.0000000000036,1001.0000000000036,1000,1001.0000000000036,0,1001.0000000000036,0,0,,Time Limit,screen,0,screen,nomatch,Flower 1.jpg,Møte.mp4,different,same,na,81,foil,1,,,
22,1696583323559,06/10/2023 09:08:43,1696590523559,2,06/10/2023 13:08:43,146116,4,task-eu79,,32064835,x2vqwljt,9482437,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.5.2,3440x1440,777x678,Accepted,,0,experiment list1,107,Not on phone,Accepted,,nsl_list1,2,nomatch,Screen 3,d73ena,3,timedOut,,301,300,301,301,300,301,1,301,0,0,,Time Limit,screen,0,screen,nomatch,Flower 1.jpg,Møte.mp4,different,same,na,81,foil,1,,,
23,1696583323813,06/10/2023 09:08:43,1696590523813,2,06/10/2023 13:08:43,146116,4,task-eu79,,32064835,x2vqwljt,9482437,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.5.2,3440x1440,777x678,Accepted,,0,experiment list1,107,Not on phone,Accepted,,nsl_list1,2,nomatch,Screen 4,kfk7dt,4,info,Video start,14.26360799971286,12,14.26360799971286,14.26360799971286,12,14.26360799971286,0,14.26360799971286,0,0,,Video,video,1,object-204,nomatch,Flower 1.jpg,Møte.mp4,different,same,na,81,foil,1,,,
24,1696583326531,06/10/2023 09:08:46,1696590526531,2,06/10/2023 13:08:46,146116,4,task-eu79,,32064835,x2vqwljt,9482437,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.5.2,3440x1440,777x678,Accepted,,0,experiment list1,107,Not on phone,Accepted,,nsl_list1,2,nomatch,Screen 4,kfk7dt,4,response,nomatch,2973,2967,2973,2973,2967,2973,0,2973,0,0,,Keyboard Response,Keyboard Response,6,object-209,nomatch,Flower 1.jpg,Møte.mp4,different,same,na,81,foil,1,,,
25,1696583327025,06/10/2023 09:08:47,1696590527025,2,06/10/2023 13:08:47,146116,4,task-eu79,,32064835,x2vqwljt,9482437,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.5.2,3440x1440,777x678,Accepted,,0,experiment list1,107,Not on phone,Accepted,,nsl_list1,3,match,Screen 1,nmofvp,1,continue,,500,500,500,500,500,500,1,500,0,0,,Fixation Timing,,1,object-167,match,Salt 2.jpg,Salt.mp4,same,same,salt,10,target,1,,,
26,1696583328025,06/10/2023 09:08:48,1696590528025,2,06/10/2023 13:08:48,146116,4,task-eu79,,32064835,x2vqwljt,9482437,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.5.2,3440x1440,777x678,Accepted,,0,experiment list1,107,Not on phone,Accepted,,nsl_list1,3,match,Screen 2,pevo7u,2,timedOut,,1000,1000,1000,1000,1000,1000,0,1000,0,0,,Time Limit,screen,0,screen,match,Salt 2.jpg,Salt.mp4,same,same,salt,10,target,1,,,
27,1696583328325,06/10/2023 09:08:48,1696590528325,2,06/10/2023 13:08:48,146116,4,task-eu79,,32064835,x2vqwljt,9482437,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.5.2,3440x1440,777x678,Accepted,,0,experiment list1,107,Not on phone,Accepted,,nsl_list1,3,match,Screen 3,z1irvt,3,timedOut,,300,300,300,300,300,300,1,300,0,0,,Time Limit,screen,0,screen,match,Salt 2.jpg,Salt.mp4,same,same,salt,10,target,1,,,
28,1696583328580,06/10/2023 09:08:48,1696590528580,2,06/10/2023 13:08:48,146116,4,task-eu79,,32064835,x2vqwljt,9482437,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.5.2,3440x1440,777x678,Accepted,,0,experiment list1,107,Not on phone,Accepted,,nsl_list1,3,match,Screen 4,9wlxvm,4,info,Video start,12,12,12,12,12,12,1,12,0,0,,Video,video,1,object-178,match,Salt 2.jpg,Salt.mp4,same,same,salt,10,target,1,,,
29,1696583332367,06/10/2023 09:08:52,1696590532367,2,06/10/2023 13:08:52,146116,4,task-eu79,,32064835,x2vqwljt,9482437,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.5.2,3440x1440,777x678,Accepted,,0,experiment list1,107,Not on phone,Accepted,,nsl_list1,3,match,Screen 4,9wlxvm,4,response,match,4042.0000000000036,4033,4042.0000000000036,4042.0000000000036,4033,4042.0000000000036,1,4042.0000000000036,0,0,,Keyboard Response,Keyboard Response,6,object-183,match,Salt 2.jpg,Salt.mp4,same,same,salt,10,target,1,,,
30,1696583332858,06/10/2023 09:08:52,1696590532858,2,06/10/2023 13:08:52,146116,4,task-eu79,,32064835,x2vqwljt,9482437,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.5.2,3440x1440,777x678,Accepted,,0,experiment list1,107,Not on phone,Accepted,,nsl_list1,4,match,Screen 1,nmofvp,1,continue,,500,500,500,500,500,500,1,500,0,0,,Fixation Timing,,1,object-167,match,Cigar 1.jpg,Sigar.mp4,same,different,cigar,30,target,1,,,
31,1696583333858,06/10/2023 09:08:53,1696590533858,2,06/10/2023 13:08:53,146116,4,task-eu79,,32064835,x2vqwljt,9482437,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.5.2,3440x1440,777x678,Accepted,,0,experiment list1,107,Not on phone,Accepted,,nsl_list1,4,match,Screen 2,pevo7u,2,timedOut,,1000.0000000000036,1000,1000.0000000000036,1000.0000000000036,1000,1000.0000000000036,0,1000.0000000000036,0,0,,Time Limit,screen,0,screen,match,Cigar 1.jpg,Sigar.mp4,same,different,cigar,30,target,1,,,
