Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-74d9,checkpoint-9nfr,checkpoint-33a1,randomiser-pv2z,Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: picture,Spreadsheet: video,Spreadsheet: correct,Spreadsheet: condition,Spreadsheet: item,Spreadsheet: index,Spreadsheet: trial,Spreadsheet: randomise_trials,Manipulation: Spreadsheet,Store: correct,Store: total
1,1694774096049,15/09/2023 10:34:56,1694781296049,2,15/09/2023 14:34:56,142915,10,task-n49w,,31693471,BLIND,9368241,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 116.0.1938.81,3840x1200,1301x838,Accepted,,0,experiment list2,23,Not on phone,Accepted,,list2,nsl_list2,,,,,,5,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,,,,,
2,1694774099121,15/09/2023 10:34:59,1694781299121,2,15/09/2023 14:34:59,142915,10,task-n49w,,31693471,BLIND,9368241,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 116.0.1938.81,3840x1200,1301x838,Accepted,,0,experiment list2,23,Not on phone,Accepted,,list2,nsl_list2,1,instructions,Screen 1,9upwou,1,info,Video start,2056.262000008941,2051.8120000000004,2056.262000008941,2056.262000008941,2051.8120000000004,2056.262000008941,1,2056.262000008941,0,0,,Video,Experimental instructions,3,object-161,instructions,,,,,,,,,,,
3,1694774117855,15/09/2023 10:35:17,1694781317855,2,15/09/2023 14:35:17,142915,10,task-n49w,,31693471,BLIND,9368241,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 116.0.1938.81,3840x1200,1301x838,Accepted,,0,experiment list2,23,Not on phone,Accepted,,list2,nsl_list2,1,instructions,Screen 1,9upwou,1,continue,,20789.811,20785.175000000003,20789.811,20789.811,20785.175000000003,20789.811,1,20789.811,0,0,,Space To Continue,Continue Button,2,object-48,instructions,,,,,,,,,,,
4,1694774117858,15/09/2023 10:35:17,1694781317858,2,15/09/2023 14:35:17,142915,10,task-n49w,,31693471,BLIND,9368241,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 116.0.1938.81,3840x1200,1301x838,Accepted,,0,experiment list2,23,Not on phone,Accepted,,list2,nsl_list2,1,instructions,Screen 1,9upwou,1,continue,,20793.61099999702,20785.175000000003,20793.61099999702,20793.61099999702,20785.175000000003,20793.61099999702,1,20793.61099999702,0,0,,Space To Continue,Continue Button,2,object-48,instructions,,,,,,,,,,,
5,1694774118352,15/09/2023 10:35:18,1694781318352,2,15/09/2023 14:35:18,142915,10,task-n49w,,31693471,BLIND,9368241,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 116.0.1938.81,3840x1200,1301x838,Accepted,,0,experiment list2,23,Not on phone,Accepted,,list2,nsl_list2,1,match,Screen 1,nmofvp,1,continue,,500.41799999999785,500.41799999999785,500.41799999999785,500.41799999999785,500.41799999999785,500.41799999999785,1,500.41799999999785,0,0,,Fixation Timing,,1,object-167,match,Sneeze 1.jpg,Nyse.mp4,same,different,sneeze,20,target,1,,,
6,1694774119362,15/09/2023 10:35:19,1694781319362,2,15/09/2023 14:35:19,142915,10,task-n49w,,31693471,BLIND,9368241,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 116.0.1938.81,3840x1200,1301x838,Accepted,,0,experiment list2,23,Not on phone,Accepted,,list2,nsl_list2,1,match,Screen 2,pevo7u,2,timedOut,,1002.1180000059612,1000.9459999999999,1002.1180000059612,1002.1180000059612,1000.9459999999999,1002.1180000059612,0,1002.1180000059612,0,0,,Time Limit,screen,0,screen,match,Sneeze 1.jpg,Nyse.mp4,same,different,sneeze,20,target,1,,,
7,1694774119662,15/09/2023 10:35:19,1694781319662,2,15/09/2023 14:35:19,142915,10,task-n49w,,31693471,BLIND,9368241,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 116.0.1938.81,3840x1200,1301x838,Accepted,,0,experiment list2,23,Not on phone,Accepted,,list2,nsl_list2,1,match,Screen 3,z1irvt,3,timedOut,,301.1720000059613,300.1680000000015,301.1720000059613,301.1720000059613,300.1680000000015,301.1720000059613,1,301.1720000059613,0,0,,Time Limit,screen,0,screen,match,Sneeze 1.jpg,Nyse.mp4,same,different,sneeze,20,target,1,,,
8,1694774119726,15/09/2023 10:35:19,1694781319726,2,15/09/2023 14:35:19,142915,10,task-n49w,,31693471,BLIND,9368241,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 116.0.1938.81,3840x1200,1301x838,Accepted,,0,experiment list2,23,Not on phone,Accepted,,list2,nsl_list2,1,match,Screen 4,9wlxvm,4,info,Video start,64.20400000595983,49.917999999997846,64.20400000595983,64.20400000595983,49.917999999997846,64.20400000595983,1,64.20400000595983,0,0,,Video,video,1,object-178,match,Sneeze 1.jpg,Nyse.mp4,same,different,sneeze,20,target,1,,,
9,1694774122853,15/09/2023 10:35:22,1694781322853,2,15/09/2023 14:35:22,142915,10,task-n49w,,31693471,BLIND,9368241,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 116.0.1938.81,3840x1200,1301x838,Accepted,,0,experiment list2,23,Not on phone,Accepted,,list2,nsl_list2,1,match,Screen 4,9wlxvm,4,response,match,3191.50400000596,3186.297999999999,3191.50400000596,3191.50400000596,3186.297999999999,3191.50400000596,1,3191.50400000596,0,0,,Keyboard Response,Keyboard Response,6,object-183,match,Sneeze 1.jpg,Nyse.mp4,same,different,sneeze,20,target,1,,,
10,1694774123349,15/09/2023 10:35:23,1694781323349,2,15/09/2023 14:35:23,142915,10,task-n49w,,31693471,BLIND,9368241,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 116.0.1938.81,3840x1200,1301x838,Accepted,,0,experiment list2,23,Not on phone,Accepted,,list2,nsl_list2,2,match,Screen 1,nmofvp,1,continue,,500.4160000000011,500.4160000000011,500.4160000000011,500.4160000000011,500.4160000000011,500.4160000000011,1,500.4160000000011,0,0,,Fixation Timing,,1,object-167,match,Doll 2.jpg,Dukke.mp4,same,same,doll,4,target,1,,,
