Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-74d9,checkpoint-9nfr,checkpoint-33a1,randomiser-pv2z,Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: picture,Spreadsheet: video,Spreadsheet: correct,Spreadsheet: condition,Spreadsheet: item,Spreadsheet: index,Spreadsheet: trial,Spreadsheet: randomise_trials,Manipulation: Spreadsheet,Store: correct,Store: total
1,1699363692800,07/11/2023 13:28:12,1699367292800,1,07/11/2023 15:28:12,142915,21,task-eu79,,32770587,poeinvlv,9696122,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 118.0.2088.61,1280x720,842x606,Accepted,,0,experiment list1,109,Not on phone,Accepted,,,nsl_list1,,,,,,5,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,,,,,
2,1699363695677,07/11/2023 13:28:15,1699367295677,1,07/11/2023 15:28:15,142915,21,task-eu79,,32770587,poeinvlv,9696122,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 118.0.2088.61,1280x720,842x606,Accepted,,0,experiment list1,109,Not on phone,Accepted,,,nsl_list1,1,instructions,Screen 1,9upwou,1,info,Video start,2053.46400000149,2048.3169999999996,2053.46400000149,2053.46400000149,2048.3169999999996,2053.46400000149,1,2053.46400000149,0,0,,Video,Experimental instructions,3,object-161,instructions,,,,,,,,,,,
3,1699363717244,07/11/2023 13:28:37,1699367317244,1,07/11/2023 15:28:37,142915,21,task-eu79,,32770587,poeinvlv,9696122,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 118.0.2088.61,1280x720,842x606,Accepted,,0,experiment list1,109,Not on phone,Accepted,,,nsl_list1,1,instructions,Screen 1,9upwou,1,continue,,23625.042,23613.878,23625.042,23625.042,23613.878,23625.042,1,23625.042,0,0,,Space To Continue,Continue Button,2,object-48,instructions,,,,,,,,,,,
4,1699363717247,07/11/2023 13:28:37,1699367317247,1,07/11/2023 15:28:37,142915,21,task-eu79,,32770587,poeinvlv,9696122,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 118.0.2088.61,1280x720,842x606,Accepted,,0,experiment list1,109,Not on phone,Accepted,,,nsl_list1,1,instructions,Screen 1,9upwou,1,continue,,23628.542,23613.878,23628.542,23628.542,23613.878,23628.542,1,23628.542,0,0,,Space To Continue,Continue Button,2,object-48,instructions,,,,,,,,,,,
5,1699363717734,07/11/2023 13:28:37,1699367317734,1,07/11/2023 15:28:37,142915,21,task-eu79,,32770587,poeinvlv,9696122,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 118.0.2088.61,1280x720,842x606,Accepted,,0,experiment list1,109,Not on phone,Accepted,,,nsl_list1,1,match,Screen 1,nmofvp,1,continue,,499.70400000000154,499.70400000000154,499.70400000000154,499.70400000000154,499.70400000000154,499.70400000000154,1,499.70400000000154,0,0,,Fixation Timing,,1,object-167,match,Lose 1.jpg,Miste.mp4,same,different,lose,41,target,1,,,
6,1699363718733,07/11/2023 13:28:38,1699367318733,1,07/11/2023 15:28:38,142915,21,task-eu79,,32770587,poeinvlv,9696122,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 118.0.2088.61,1280x720,842x606,Accepted,,0,experiment list1,109,Not on phone,Accepted,,,nsl_list1,1,match,Screen 2,pevo7u,2,timedOut,,1000.4599999999991,999.107,1000.4599999999991,1000.4599999999991,999.107,1000.4599999999991,0,1000.4599999999991,0,0,,Time Limit,screen,0,screen,match,Lose 1.jpg,Miste.mp4,same,different,lose,41,target,1,,,
7,1699363719032,07/11/2023 13:28:39,1699367319032,1,07/11/2023 15:28:39,142915,21,task-eu79,,32770587,poeinvlv,9696122,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 118.0.2088.61,1280x720,842x606,Accepted,,0,experiment list1,109,Not on phone,Accepted,,,nsl_list1,1,match,Screen 3,z1irvt,3,timedOut,,301.25300000223433,299.8060000000005,301.25300000223433,301.25300000223433,299.8060000000005,301.25300000223433,1,301.25300000223433,0,0,,Time Limit,screen,0,screen,match,Lose 1.jpg,Miste.mp4,same,different,lose,41,target,1,,,
8,1699363719079,07/11/2023 13:28:39,1699367319079,1,07/11/2023 15:28:39,142915,21,task-eu79,,32770587,poeinvlv,9696122,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 118.0.2088.61,1280x720,842x606,Accepted,,0,experiment list1,109,Not on phone,Accepted,,,nsl_list1,1,match,Screen 4,9wlxvm,4,info,Video start,46.73300000297889,33.24499999999898,46.73300000297889,46.73300000297889,33.24499999999898,46.73300000297889,1,46.73300000297889,0,0,,Video,video,1,object-178,match,Lose 1.jpg,Miste.mp4,same,different,lose,41,target,1,,,
9,1699363722243,07/11/2023 13:28:42,1699367322243,1,07/11/2023 15:28:42,142915,21,task-eu79,,32770587,poeinvlv,9696122,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 118.0.2088.61,1280x720,842x606,Accepted,,0,experiment list1,109,Not on phone,Accepted,,,nsl_list1,1,match,Screen 4,9wlxvm,4,response,nomatch,3212.0469999999987,3197.2819999999992,3212.0469999999987,3212.0469999999987,3197.2819999999992,3212.0469999999987,1,3212.0469999999987,0,0,,Keyboard Response,Keyboard Response,6,object-183,match,Lose 1.jpg,Miste.mp4,same,different,lose,41,target,1,,,
10,1699363722729,07/11/2023 13:28:42,1699367322729,1,07/11/2023 15:28:42,142915,21,task-eu79,,32770587,poeinvlv,9696122,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 118.0.2088.61,1280x720,842x606,Accepted,,0,experiment list1,109,Not on phone,Accepted,,,nsl_list1,2,match,Screen 1,nmofvp,1,continue,,499.7039999999979,499.7039999999979,499.7039999999979,499.7039999999979,499.7039999999979,499.7039999999979,1,499.7039999999979,0,0,,Fixation Timing,,1,object-167,match,Watch 2.jpg,Se-på.mp4,same,different,watch,47,target,1,,,
