Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-74d9,checkpoint-9nfr,checkpoint-33a1,randomiser-pv2z,Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: picture,Spreadsheet: video,Spreadsheet: correct,Spreadsheet: condition,Spreadsheet: item,Spreadsheet: index,Spreadsheet: trial,Spreadsheet: randomise_trials,Manipulation: Spreadsheet,Store: correct,Store: total
1,1696501626444,05/10/2023 10:27:06,1696508826444,2,05/10/2023 14:27:06,142915,11,task-n49w,,32046586,BLIND,9477538,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 117.0.2045.47,1344x840,1296x726,Accepted,,0,experiment list2,23,Not on phone,Accepted,,list2,nsl_list2,,,,,,5,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,,,,,
2,1696501628613,05/10/2023 10:27:08,1696508828613,2,05/10/2023 14:27:08,142915,11,task-n49w,,32046586,BLIND,9477538,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 117.0.2045.47,1344x840,1296x726,Accepted,,0,experiment list2,23,Not on phone,Accepted,,list2,nsl_list2,1,instructions,Screen 1,9upwou,1,info,Video start,2015.9509999046325,1998.971,2015.9509999046325,2015.9509999046325,1998.971,2015.9509999046325,1,2015.9509999046325,0,0,,Video,Experimental instructions,3,object-161,instructions,,,,,,,,,,,
3,1696501646572,05/10/2023 10:27:26,1696508846572,2,05/10/2023 14:27:26,142915,11,task-n49w,,32046586,BLIND,9477538,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 117.0.2045.47,1344x840,1296x726,Accepted,,0,experiment list2,23,Not on phone,Accepted,,list2,nsl_list2,1,instructions,Screen 1,9upwou,1,continue,,19975.350999952316,19966.310999999998,19975.350999952316,19975.350999952316,19966.310999999998,19975.350999952316,1,19975.350999952316,0,0,,Space To Continue,Continue Button,2,object-48,instructions,,,,,,,,,,,
4,1696501646574,05/10/2023 10:27:26,1696508846574,2,05/10/2023 14:27:26,142915,11,task-n49w,,32046586,BLIND,9477538,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 117.0.2045.47,1344x840,1296x726,Accepted,,0,experiment list2,23,Not on phone,Accepted,,list2,nsl_list2,1,instructions,Screen 1,9upwou,1,continue,,19977.150999904632,19966.310999999998,19977.150999904632,19977.150999904632,19966.310999999998,19977.150999904632,1,19977.150999904632,0,0,,Space To Continue,Continue Button,2,object-48,instructions,,,,,,,,,,,
5,1696501647061,05/10/2023 10:27:27,1696508847061,2,05/10/2023 14:27:27,142915,11,task-n49w,,32046586,BLIND,9477538,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 117.0.2045.47,1344x840,1296x726,Accepted,,0,experiment list2,23,Not on phone,Accepted,,list2,nsl_list2,1,nomatch,Screen 1,8mz8sc,1,continue,,497.6570000000029,497.6570000000029,497.6570000000029,497.6570000000029,497.6570000000029,497.6570000000029,1,497.6570000000029,0,0,,Fixation Timing,,1,object-186,nomatch,Think 2.jpg,Kysse.mp4,different,same,na,94,foil,1,,,
6,1696501648056,05/10/2023 10:27:28,1696508848056,2,05/10/2023 14:27:28,142915,11,task-n49w,,32046586,BLIND,9477538,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 117.0.2045.47,1344x840,1296x726,Accepted,,0,experiment list2,23,Not on phone,Accepted,,list2,nsl_list2,1,nomatch,Screen 2,zhfxqk,2,timedOut,,994.9830000953662,994.0609999999979,994.9830000953662,994.9830000953662,994.0609999999979,994.9830000953662,0,994.9830000953662,0,0,,Time Limit,screen,0,screen,nomatch,Think 2.jpg,Kysse.mp4,different,same,na,94,foil,1,,,
7,1696501648357,05/10/2023 10:27:28,1696508848357,2,05/10/2023 14:27:28,142915,11,task-n49w,,32046586,BLIND,9477538,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 117.0.2045.47,1344x840,1296x726,Accepted,,0,experiment list2,23,Not on phone,Accepted,,list2,nsl_list2,1,nomatch,Screen 3,d73ena,3,timedOut,,302.1219999046334,301.41300000000047,302.1219999046334,302.1219999046334,301.41300000000047,302.1219999046334,1,302.1219999046334,0,0,,Time Limit,screen,0,screen,nomatch,Think 2.jpg,Kysse.mp4,different,same,na,94,foil,1,,,
8,1696501648375,05/10/2023 10:27:28,1696508848375,2,05/10/2023 14:27:28,142915,11,task-n49w,,32046586,BLIND,9477538,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 117.0.2045.47,1344x840,1296x726,Accepted,,0,experiment list2,23,Not on phone,Accepted,,list2,nsl_list2,1,nomatch,Screen 4,kfk7dt,4,info,Video start,18.672000047684094,17.16400000000067,18.672000047684094,18.672000047684094,17.16400000000067,18.672000047684094,0,18.672000047684094,0,0,,Video,video,1,object-204,nomatch,Think 2.jpg,Kysse.mp4,different,same,na,94,foil,1,,,
9,1696501652316,05/10/2023 10:27:32,1696508852316,2,05/10/2023 14:27:32,142915,11,task-n49w,,32046586,BLIND,9477538,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 117.0.2045.47,1344x840,1296x726,Accepted,,0,experiment list2,23,Not on phone,Accepted,,list2,nsl_list2,1,nomatch,Screen 4,kfk7dt,4,response,nomatch,3959.5110000000022,3941.6680000000015,3959.5110000000022,3959.5110000000022,3941.6680000000015,3959.5110000000022,0,3959.5110000000022,0,0,,Keyboard Response,Keyboard Response,6,object-209,nomatch,Think 2.jpg,Kysse.mp4,different,same,na,94,foil,1,,,
10,1696501652795,05/10/2023 10:27:32,1696508852795,2,05/10/2023 14:27:32,142915,11,task-n49w,,32046586,BLIND,9477538,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 117.0.2045.47,1344x840,1296x726,Accepted,,0,experiment list2,23,Not on phone,Accepted,,list2,nsl_list2,2,nomatch,Screen 1,8mz8sc,1,continue,,496.0229999999974,496.0229999999974,496.0229999999974,496.0229999999974,496.0229999999974,496.0229999999974,1,496.0229999999974,0,0,,Fixation Timing,,1,object-186,nomatch,Boy 1.jpg,Spise.mp4,different,different,na,75,foil,1,,,
