Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-74d9,checkpoint-9nfr,checkpoint-33a1,randomiser-pv2z,Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: picture,Spreadsheet: video,Spreadsheet: correct,Spreadsheet: condition,Spreadsheet: item,Spreadsheet: index,Spreadsheet: trial,Spreadsheet: randomise_trials,Manipulation: Spreadsheet,Store: correct,Store: total
1,1696838543714,09/10/2023 08:02:23,1696845743714,2,09/10/2023 12:02:23,142915,15,task-n49w,,32107306,00xovi62,9493027,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 117.0.0.0,1280x720,1280x603,Accepted,,0,experiment list2,25,Not on phone,Accepted,,list2,nsl_list2,,,,,,5,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,,,,,
2,1696838546291,09/10/2023 08:02:26,1696845746291,2,09/10/2023 12:02:26,142915,15,task-n49w,,32107306,00xovi62,9493027,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 117.0.0.0,1280x720,1280x603,Accepted,,0,experiment list2,25,Not on phone,Accepted,,list2,nsl_list2,1,instructions,Screen 1,9upwou,1,info,Video start,2008.7289999996274,2000.2659999999998,2008.7289999996274,2008.7289999996274,2000.2659999999998,2008.7289999996274,1,2008.7289999996274,0,0,,Video,Experimental instructions,3,object-161,instructions,,,,,,,,,,,
3,1696838564697,09/10/2023 08:02:44,1696845764697,2,09/10/2023 12:02:44,142915,15,task-n49w,,32107306,00xovi62,9493027,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 117.0.0.0,1280x720,1280x603,Accepted,,0,experiment list2,25,Not on phone,Accepted,,list2,nsl_list2,1,instructions,Screen 1,9upwou,1,continue,,20415.177999999814,20414.085,20415.177999999814,20415.177999999814,20414.085,20415.177999999814,1,20415.177999999814,0,0,,Space To Continue,Continue Button,2,object-48,instructions,,,,,,,,,,,
4,1696838564699,09/10/2023 08:02:44,1696845764699,2,09/10/2023 12:02:44,142915,15,task-n49w,,32107306,00xovi62,9493027,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 117.0.0.0,1280x720,1280x603,Accepted,,0,experiment list2,25,Not on phone,Accepted,,list2,nsl_list2,1,instructions,Screen 1,9upwou,1,continue,,20416.977999999628,20414.085,20416.977999999628,20416.977999999628,20414.085,20416.977999999628,1,20416.977999999628,0,0,,Space To Continue,Continue Button,2,object-48,instructions,,,,,,,,,,,
5,1696838565197,09/10/2023 08:02:45,1696845765197,2,09/10/2023 12:02:45,142915,15,task-n49w,,32107306,00xovi62,9493027,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 117.0.0.0,1280x720,1280x603,Accepted,,0,experiment list2,25,Not on phone,Accepted,,list2,nsl_list2,1,match,Screen 1,nmofvp,1,continue,,500.4250000000029,500.4250000000029,500.4250000000029,500.4250000000029,500.4250000000029,500.4250000000029,1,500.4250000000029,0,0,,Fixation Timing,,1,object-167,match,Sneeze 1.jpg,Nyse.mp4,same,different,sneeze,20,target,1,,,
6,1696838566197,09/10/2023 08:02:46,1696845766197,2,09/10/2023 12:02:46,142915,15,task-n49w,,32107306,00xovi62,9493027,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 117.0.0.0,1280x720,1280x603,Accepted,,0,experiment list2,25,Not on phone,Accepted,,list2,nsl_list2,1,match,Screen 2,pevo7u,2,timedOut,,1000.467999999626,999.8479999999981,1000.467999999626,1000.467999999626,999.8479999999981,1000.467999999626,0,1000.467999999626,0,0,,Time Limit,screen,0,screen,match,Sneeze 1.jpg,Nyse.mp4,same,different,sneeze,20,target,1,,,
7,1696838566496,09/10/2023 08:02:46,1696845766496,2,09/10/2023 12:02:46,142915,15,task-n49w,,32107306,00xovi62,9493027,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 117.0.0.0,1280x720,1280x603,Accepted,,0,experiment list2,25,Not on phone,Accepted,,list2,nsl_list2,1,match,Screen 3,z1irvt,3,timedOut,,300.1199999996279,299.47100000000137,300.1199999996279,300.1199999996279,299.47100000000137,300.1199999996279,1,300.1199999996279,0,0,,Time Limit,screen,0,screen,match,Sneeze 1.jpg,Nyse.mp4,same,different,sneeze,20,target,1,,,
8,1696838566510,09/10/2023 08:02:46,1696845766510,2,09/10/2023 12:02:46,142915,15,task-n49w,,32107306,00xovi62,9493027,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 117.0.0.0,1280x720,1280x603,Accepted,,0,experiment list2,25,Not on phone,Accepted,,list2,nsl_list2,1,match,Screen 4,9wlxvm,4,info,Video start,13.607999999440276,0,13.607999999440276,13.607999999440276,0,13.607999999440276,1,13.607999999440276,0,0,,Video,video,1,object-178,match,Sneeze 1.jpg,Nyse.mp4,same,different,sneeze,20,target,1,,,
9,1696838570081,09/10/2023 08:02:50,1696845770081,2,09/10/2023 12:02:50,142915,15,task-n49w,,32107306,00xovi62,9493027,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 117.0.0.0,1280x720,1280x603,Accepted,,0,experiment list2,25,Not on phone,Accepted,,list2,nsl_list2,1,match,Screen 4,9wlxvm,4,response,match,3585.248999999254,3583.1579999999994,3585.248999999254,3585.248999999254,3583.1579999999994,3585.248999999254,1,3585.248999999254,0,0,,Keyboard Response,Keyboard Response,6,object-183,match,Sneeze 1.jpg,Nyse.mp4,same,different,sneeze,20,target,1,,,
10,1696838570579,09/10/2023 08:02:50,1696845770579,2,09/10/2023 12:02:50,142915,15,task-n49w,,32107306,00xovi62,9493027,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 117.0.0.0,1280x720,1280x603,Accepted,,0,experiment list2,25,Not on phone,Accepted,,list2,nsl_list2,1,nomatch,Screen 1,8mz8sc,1,continue,,499.7999999999993,499.7999999999993,499.7999999999993,499.7999999999993,499.7999999999993,499.7999999999993,1,499.7999999999993,0,0,,Fixation Timing,,1,object-186,nomatch,Wait 2.jpg,Leir.mp4,different,different,na,71,foil,1,,,
