Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-74d9,checkpoint-9nfr,checkpoint-33a1,Randomise questionnaire elements?,Question Key,Response
18,1.70E+12,25.10.2023 10:39,1.70E+12,2,25.10.2023 12:39,142915,16,questionnaire-zt1x,,32478295,nzv6tssh,9612157,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 118.0.0.0,5120x1440,3147x1273,Accepted,,,NSL questionnaire,14,Not on phone,Accepted,,No,8a_deafness-age,
19,1.70E+12,25.10.2023 10:39,1.70E+12,2,25.10.2023 12:39,142915,16,questionnaire-zt1x,,32478295,nzv6tssh,9612157,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 118.0.0.0,5120x1440,3147x1273,Accepted,,,NSL questionnaire,14,Not on phone,Accepted,,No,9_SL-exposure,5
20,1.70E+12,25.10.2023 10:39,1.70E+12,2,25.10.2023 12:39,142915,16,questionnaire-zt1x,,32478295,nzv6tssh,9612157,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 118.0.0.0,5120x1440,3147x1273,Accepted,,,NSL questionnaire,14,Not on phone,Accepted,,No,10_SL-introduction-path,via skole
21,1.70E+12,25.10.2023 10:39,1.70E+12,2,25.10.2023 12:39,142915,16,questionnaire-zt1x,,32478295,nzv6tssh,9612157,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 118.0.0.0,5120x1440,3147x1273,Accepted,,,NSL questionnaire,14,Not on phone,Accepted,,No,10_SL-introduction-path-quantised,4
22,1.70E+12,25.10.2023 10:39,1.70E+12,2,25.10.2023 12:39,142915,16,questionnaire-zt1x,,32478295,nzv6tssh,9612157,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 118.0.0.0,5120x1440,3147x1273,Accepted,,,NSL questionnaire,14,Not on phone,Accepted,,No,11_SL-years,siden jeg var 5 år gammel
23,1.70E+12,25.10.2023 10:39,1.70E+12,2,25.10.2023 12:39,142915,16,questionnaire-zt1x,,32478295,nzv6tssh,9612157,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 118.0.0.0,5120x1440,3147x1273,Accepted,,,NSL questionnaire,14,Not on phone,Accepted,,No,12_SL-peers,ja
24,1.70E+12,25.10.2023 10:39,1.70E+12,2,25.10.2023 12:39,142915,16,questionnaire-zt1x,,32478295,nzv6tssh,9612157,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 118.0.0.0,5120x1440,3147x1273,Accepted,,,NSL questionnaire,14,Not on phone,Accepted,,No,12_SL-peers-quantised,1
25,1.70E+12,25.10.2023 10:39,1.70E+12,2,25.10.2023 12:39,142915,16,questionnaire-zt1x,,32478295,nzv6tssh,9612157,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 118.0.0.0,5120x1440,3147x1273,Accepted,,,NSL questionnaire,14,Not on phone,Accepted,,No,13_college,nei
26,1.70E+12,25.10.2023 10:39,1.70E+12,2,25.10.2023 12:39,142915,16,questionnaire-zt1x,,32478295,nzv6tssh,9612157,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 118.0.0.0,5120x1440,3147x1273,Accepted,,,NSL questionnaire,14,Not on phone,Accepted,,No,13_college-quantised,2
27,1.70E+12,25.10.2023 10:39,1.70E+12,2,25.10.2023 12:39,142915,16,questionnaire-zt1x,,32478295,nzv6tssh,9612157,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 118.0.0.0,5120x1440,3147x1273,Accepted,,,NSL questionnaire,14,Not on phone,Accepted,,No,14_deaf-clubs,ja
