Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-74d9,checkpoint-9nfr,checkpoint-33a1,randomiser-pv2z,Randomise questionnaire elements?,Question Key,Response
1,1.6965E+12,05.10.2023 11:13,1.6965E+12,2,05.10.2023 13:13,142915,11,questionnaire-zt1x,,32044851,BLIND,9476778,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 117.0.2045.47,3840x1200,3792x1078,Accepted,,,NSL questionnaire,14,Not on phone,Accepted,,list1,No,BEGIN QUESTIONNAIRE,
2,1.6965E+12,05.10.2023 11:18,1.6965E+12,2,05.10.2023 13:18,142915,11,questionnaire-zt1x,,32044851,BLIND,9476778,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 117.0.2045.47,3840x1200,3777x1078,Accepted,,,NSL questionnaire,14,Not on phone,Accepted,,list1,No,1_dob-month,9
3,1.6965E+12,05.10.2023 11:18,1.6965E+12,2,05.10.2023 13:18,142915,11,questionnaire-zt1x,,32044851,BLIND,9476778,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 117.0.2045.47,3840x1200,3777x1078,Accepted,,,NSL questionnaire,14,Not on phone,Accepted,,list1,No,1_dob-year,1977
4,1.6965E+12,05.10.2023 11:18,1.6965E+12,2,05.10.2023 13:18,142915,11,questionnaire-zt1x,,32044851,BLIND,9476778,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 117.0.2045.47,3840x1200,3777x1078,Accepted,,,NSL questionnaire,14,Not on phone,Accepted,,list1,No,2_pob,gdansk 
5,1.6965E+12,05.10.2023 11:18,1.6965E+12,2,05.10.2023 13:18,142915,11,questionnaire-zt1x,,32044851,BLIND,9476778,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 117.0.2045.47,3840x1200,3777x1078,Accepted,,,NSL questionnaire,14,Not on phone,Accepted,,list1,No,3_residence,sandefjord
6,1.6965E+12,05.10.2023 11:18,1.6965E+12,2,05.10.2023 13:18,142915,11,questionnaire-zt1x,,32044851,BLIND,9476778,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 117.0.2045.47,3840x1200,3777x1078,Accepted,,,NSL questionnaire,14,Not on phone,Accepted,,list1,No,4_handedness,høyrehendt
7,1.6965E+12,05.10.2023 11:18,1.6965E+12,2,05.10.2023 13:18,142915,11,questionnaire-zt1x,,32044851,BLIND,9476778,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 117.0.2045.47,3840x1200,3777x1078,Accepted,,,NSL questionnaire,14,Not on phone,Accepted,,list1,No,4_handedness-quantised,1
8,1.6965E+12,05.10.2023 11:18,1.6965E+12,2,05.10.2023 13:18,142915,11,questionnaire-zt1x,,32044851,BLIND,9476778,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 117.0.2045.47,3840x1200,3777x1078,Accepted,,,NSL questionnaire,14,Not on phone,Accepted,,list1,No,5_hearinglevel,Betydelig hørselstap (71-90 dB)
9,1.6965E+12,05.10.2023 11:18,1.6965E+12,2,05.10.2023 13:18,142915,11,questionnaire-zt1x,,32044851,BLIND,9476778,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 117.0.2045.47,3840x1200,3777x1078,Accepted,,,NSL questionnaire,14,Not on phone,Accepted,,list1,No,5_hearinglevel-quantised,2
10,1.6965E+12,05.10.2023 11:18,1.6965E+12,2,05.10.2023 13:18,142915,11,questionnaire-zt1x,,32044851,BLIND,9476778,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 117.0.2045.47,3840x1200,3777x1078,Accepted,,,NSL questionnaire,14,Not on phone,Accepted,,list1,No,6_hearing-aids,nei
