Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-74d9,checkpoint-9nfr,checkpoint-33a1,Randomise questionnaire elements?,Question Key,Response
1,1.69928E+12,06.11.2023 13:20,1.69928E+12,1,06.11.2023 14:20,146116,4,questionnaire-zt1x,,32738333,icec2pk8,9687063,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.1,1470x956,1470x817,Accepted,,,NSL questionnaire,14,Not on phone,Accepted,,No,BEGIN QUESTIONNAIRE,
2,1.69928E+12,06.11.2023 13:25,1.69928E+12,1,06.11.2023 14:25,146116,4,questionnaire-zt1x,,32738333,icec2pk8,9687063,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.1,1470x956,1470x817,Accepted,,,NSL questionnaire,14,Not on phone,Accepted,,No,1_dob-month,7
3,1.69928E+12,06.11.2023 13:25,1.69928E+12,1,06.11.2023 14:25,146116,4,questionnaire-zt1x,,32738333,icec2pk8,9687063,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.1,1470x956,1470x817,Accepted,,,NSL questionnaire,14,Not on phone,Accepted,,No,1_dob-year,2000
4,1.69928E+12,06.11.2023 13:25,1.69928E+12,1,06.11.2023 14:25,146116,4,questionnaire-zt1x,,32738333,icec2pk8,9687063,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.1,1470x956,1470x817,Accepted,,,NSL questionnaire,14,Not on phone,Accepted,,No,2_pob,Namsos
5,1.69928E+12,06.11.2023 13:25,1.69928E+12,1,06.11.2023 14:25,146116,4,questionnaire-zt1x,,32738333,icec2pk8,9687063,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.1,1470x956,1470x817,Accepted,,,NSL questionnaire,14,Not on phone,Accepted,,No,3_residence,Trondheim
6,1.69928E+12,06.11.2023 13:25,1.69928E+12,1,06.11.2023 14:25,146116,4,questionnaire-zt1x,,32738333,icec2pk8,9687063,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.1,1470x956,1470x817,Accepted,,,NSL questionnaire,14,Not on phone,Accepted,,No,4_handedness,høyrehendt
7,1.69928E+12,06.11.2023 13:25,1.69928E+12,1,06.11.2023 14:25,146116,4,questionnaire-zt1x,,32738333,icec2pk8,9687063,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.1,1470x956,1470x817,Accepted,,,NSL questionnaire,14,Not on phone,Accepted,,No,4_handedness-quantised,1
8,1.69928E+12,06.11.2023 13:25,1.69928E+12,1,06.11.2023 14:25,146116,4,questionnaire-zt1x,,32738333,icec2pk8,9687063,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.1,1470x956,1470x817,Accepted,,,NSL questionnaire,14,Not on phone,Accepted,,No,5_hearinglevel,Alvorlig hørselstap (>90 dB)
9,1.69928E+12,06.11.2023 13:25,1.69928E+12,1,06.11.2023 14:25,146116,4,questionnaire-zt1x,,32738333,icec2pk8,9687063,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.1,1470x956,1470x817,Accepted,,,NSL questionnaire,14,Not on phone,Accepted,,No,5_hearinglevel-quantised,1
10,1.69928E+12,06.11.2023 13:25,1.69928E+12,1,06.11.2023 14:25,146116,4,questionnaire-zt1x,,32738333,icec2pk8,9687063,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.1,1470x956,1470x817,Accepted,,,NSL questionnaire,14,Not on phone,Accepted,,No,6_hearing-aids,nei
11,1.69928E+12,06.11.2023 13:25,1.69928E+12,1,06.11.2023 14:25,146116,4,questionnaire-zt1x,,32738333,icec2pk8,9687063,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.1,1470x956,1470x817,Accepted,,,NSL questionnaire,14,Not on phone,Accepted,,No,6_hearing-aids-quantised,2
12,1.69928E+12,06.11.2023 13:25,1.69928E+12,1,06.11.2023 14:25,146116,4,questionnaire-zt1x,,32738333,icec2pk8,9687063,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.1,1470x956,1470x817,Accepted,,,NSL questionnaire,14,Not on phone,Accepted,,No,6a_CI,ja
13,1.69928E+12,06.11.2023 13:25,1.69928E+12,1,06.11.2023 14:25,146116,4,questionnaire-zt1x,,32738333,icec2pk8,9687063,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.1,1470x956,1470x817,Accepted,,,NSL questionnaire,14,Not on phone,Accepted,,No,6a_CI-quantised,1
14,1.69928E+12,06.11.2023 13:25,1.69928E+12,1,06.11.2023 14:25,146116,4,questionnaire-zt1x,,32738333,icec2pk8,9687063,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.1,1470x956,1470x817,Accepted,,,NSL questionnaire,14,Not on phone,Accepted,,No,6b_CIage,"Jeg brukte CI, aktivt fra rundt 2-4 års alder frem til 17-19 år, da jeg gradvis begynte å bruke det mindre. Nå bruker jeg det mest til å lytte på musikk, evt. film eller serier."
15,1.69928E+12,06.11.2023 13:25,1.69928E+12,1,06.11.2023 14:25,146116,4,questionnaire-zt1x,,32738333,icec2pk8,9687063,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.1,1470x956,1470x817,Accepted,,,NSL questionnaire,14,Not on phone,Accepted,,No,7_deafnessreason,"Waardenburghs syndrom, medfødt hørselstap."
16,1.69928E+12,06.11.2023 13:25,1.69928E+12,1,06.11.2023 14:25,146116,4,questionnaire-zt1x,,32738333,icec2pk8,9687063,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.1,1470x956,1470x817,Accepted,,,NSL questionnaire,14,Not on phone,Accepted,,No,8_born-deaf,nei
17,1.69928E+12,06.11.2023 13:25,1.69928E+12,1,06.11.2023 14:25,146116,4,questionnaire-zt1x,,32738333,icec2pk8,9687063,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.1,1470x956,1470x817,Accepted,,,NSL questionnaire,14,Not on phone,Accepted,,No,8_born-deaf-quantised,2
18,1.69928E+12,06.11.2023 13:25,1.69928E+12,1,06.11.2023 14:25,146116,4,questionnaire-zt1x,,32738333,icec2pk8,9687063,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.1,1470x956,1470x817,Accepted,,,NSL questionnaire,14,Not on phone,Accepted,,No,8a_deafness-age,"Jeg hadde alvorlig hørselstap, mistet all hørselsrest ved CI-operasjon."
19,1.69928E+12,06.11.2023 13:25,1.69928E+12,1,06.11.2023 14:25,146116,4,questionnaire-zt1x,,32738333,icec2pk8,9687063,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.1,1470x956,1470x817,Accepted,,,NSL questionnaire,14,Not on phone,Accepted,,No,9_SL-exposure,0
20,1.69928E+12,06.11.2023 13:25,1.69928E+12,1,06.11.2023 14:25,146116,4,questionnaire-zt1x,,32738333,icec2pk8,9687063,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.1,1470x956,1470x817,Accepted,,,NSL questionnaire,14,Not on phone,Accepted,,No,10_SL-introduction-path,via foreldre
21,1.69928E+12,06.11.2023 13:25,1.69928E+12,1,06.11.2023 14:25,146116,4,questionnaire-zt1x,,32738333,icec2pk8,9687063,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.1,1470x956,1470x817,Accepted,,,NSL questionnaire,14,Not on phone,Accepted,,No,10_SL-introduction-path-quantised,1
22,1.69928E+12,06.11.2023 13:25,1.69928E+12,1,06.11.2023 14:25,146116,4,questionnaire-zt1x,,32738333,icec2pk8,9687063,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.1,1470x956,1470x817,Accepted,,,NSL questionnaire,14,Not on phone,Accepted,,No,11_SL-years,"Jeg har kunnet tegnspråk i forskjellige grader fra alder av 1-2 til nå, 23 år gammel. ca. 21 år."
23,1.69928E+12,06.11.2023 13:25,1.69928E+12,1,06.11.2023 14:25,146116,4,questionnaire-zt1x,,32738333,icec2pk8,9687063,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.1,1470x956,1470x817,Accepted,,,NSL questionnaire,14,Not on phone,Accepted,,No,12_SL-peers,nei
24,1.69928E+12,06.11.2023 13:25,1.69928E+12,1,06.11.2023 14:25,146116,4,questionnaire-zt1x,,32738333,icec2pk8,9687063,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.1,1470x956,1470x817,Accepted,,,NSL questionnaire,14,Not on phone,Accepted,,No,12_SL-peers-quantised,2
25,1.69928E+12,06.11.2023 13:25,1.69928E+12,1,06.11.2023 14:25,146116,4,questionnaire-zt1x,,32738333,icec2pk8,9687063,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.1,1470x956,1470x817,Accepted,,,NSL questionnaire,14,Not on phone,Accepted,,No,13_college,ja
26,1.69928E+12,06.11.2023 13:25,1.69928E+12,1,06.11.2023 14:25,146116,4,questionnaire-zt1x,,32738333,icec2pk8,9687063,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.1,1470x956,1470x817,Accepted,,,NSL questionnaire,14,Not on phone,Accepted,,No,13_college-quantised,1
27,1.69928E+12,06.11.2023 13:25,1.69928E+12,1,06.11.2023 14:25,146116,4,questionnaire-zt1x,,32738333,icec2pk8,9687063,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.1,1470x956,1470x817,Accepted,,,NSL questionnaire,14,Not on phone,Accepted,,No,14_deaf-clubs,ja
28,1.69928E+12,06.11.2023 13:25,1.69928E+12,1,06.11.2023 14:25,146116,4,questionnaire-zt1x,,32738333,icec2pk8,9687063,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.1,1470x956,1470x817,Accepted,,,NSL questionnaire,14,Not on phone,Accepted,,No,14_deaf-clubs-quantised,1
29,1.69928E+12,06.11.2023 13:25,1.69928E+12,1,06.11.2023 14:25,146116,4,questionnaire-zt1x,,32738333,icec2pk8,9687063,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.1,1470x956,1470x817,Accepted,,,NSL questionnaire,14,Not on phone,Accepted,,No,15_freq-of-use,Hver dag
30,1.69928E+12,06.11.2023 13:25,1.69928E+12,1,06.11.2023 14:25,146116,4,questionnaire-zt1x,,32738333,icec2pk8,9687063,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.1,1470x956,1470x817,Accepted,,,NSL questionnaire,14,Not on phone,Accepted,,No,15_freq-of-use-quantised,1
